# Initial mass = 2.750, Z =  0.0002, Y =  0.250, M_mix = 1.00E-03
# Final mass = 0.803, Mass expelled =   1.9470
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>         
  X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -6.6852212E-02  1.3928891E+00  1.4597414E+00  7.1540290E-01  7.4977738E-01 -2.0381626E-02
      d      2   1.2584027E-17  1.2584027E-17  0.0000000E+00  6.4632919E-18  0.0000000E+00  0.0000000E+00
    he3      3   1.7235627E-06  1.7235627E-06  0.0000000E+00  8.8524041E-07  0.0000000E+00  0.0000000E+00
    he4      4   5.4954857E-02  5.4167813E-01  4.8672327E-01  2.7821171E-01  2.4999915E-01  4.6436891E-02
    li7      7   4.0848908E-11  3.1925459E-10  2.7840569E-10  1.6397260E-10  1.4299950E-10  5.9436776E-02
    be7      7  -2.2174518E-16 -2.2174518E-16  0.0000000E+00 -1.1389071E-16  0.0000000E+00  0.0000000E+00
     b8      8   8.1479890E-16  8.1479890E-16  0.0000000E+00  4.1848949E-16  0.0000000E+00  0.0000000E+00
    c12     12   1.0074357E-02  1.0151009E-02  7.6652737E-05  5.2136676E-03  3.9371691E-05  2.1219594E+00
    c13     13   1.1025972E-04  1.1118859E-04  9.2888070E-07  5.7107660E-05  4.7710762E-07  2.0780783E+00
    c14     14   1.4077801E-07  1.4077801E-07  0.0000000E+00  7.2305106E-08  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   2.5134179E-04  2.7400485E-04  2.2663080E-05  1.4073185E-04  1.1640600E-05  1.0824170E+00
    n15     15  -4.8800811E-08  7.0210646E-09  5.5821875E-08  3.6060945E-09  2.8672188E-08 -9.0042371E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   1.7025573E-04  3.5535207E-04  1.8509633E-04  1.8251265E-04  9.5072355E-05  2.8323871E-01
    o17     17  -1.2995571E-08  6.1721792E-08  7.4717363E-08  3.1700978E-08  3.8377614E-08 -8.3005331E-02
    o18     18  -3.9428988E-07  2.2176904E-08  4.1646678E-07  1.1390297E-08  2.1391281E-07 -1.2737018E+00
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   1.4644571E-06  1.4764502E-06  1.1993104E-08  7.5832071E-07  6.1601044E-09  2.0902650E+00
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   1.4068515E-05  5.2037543E-05  3.7969028E-05  2.6727042E-05  1.9502304E-05  1.3686493E-01
   ne21     21   9.9042711E-07  1.0859952E-06  9.5568112E-08  5.5777883E-07  4.9087333E-08  1.0554926E+00
   ne22     22   1.1920239E-03  1.1950949E-03  3.0710778E-06  6.1381364E-04  1.5774197E-06  2.5900893E+00
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   2.4879147E-13  2.4879147E-13  0.0000000E+00  1.2778198E-13  0.0000000E+00  0.0000000E+00
   na23     23   1.0261565E-05  1.1289405E-05  1.0278401E-06  5.7983602E-06  5.2793689E-07  1.0407232E+00
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24  -5.1786510E-06  1.2933261E-05  1.8111912E-05  6.6426624E-06  9.3029503E-06 -1.4627853E-01
   mg25     25   3.1957810E-05  3.4346285E-05  2.3884761E-06  1.7640623E-05  1.2268100E-06  1.1577367E+00
   mg26     26   3.0007617E-05  3.2742515E-05  2.7348983E-06  1.6816908E-05  1.4047455E-06  1.0781485E+00
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   7.7749473E-06  9.5189635E-06  1.7440159E-06  4.8890424E-06  8.9579135E-07  7.3701698E-01
   al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si28     28   3.3155084E-06  2.3370141E-05  2.0054633E-05  1.2003156E-05  1.0300805E-05  6.6424295E-02
   si29     29   3.2782066E-07  1.3825560E-06  1.0547353E-06  7.1009566E-07  5.4175126E-07  1.1751691E-01
   si30     30   3.7177756E-07  1.0910188E-06  7.1924126E-07  5.6035901E-07  3.6942902E-07  1.8093538E-01
    p31     31   2.8301486E-07  4.8325370E-07  2.0023886E-07  2.4820432E-07  1.0285012E-07  3.8260454E-01
    p32     32   6.0460509E-36  6.0460509E-36  0.0000000E+00  3.1053169E-36  0.0000000E+00  0.0000000E+00
    p33     33   6.9621171E-36  6.9621171E-36  0.0000000E+00  3.5758184E-36  0.0000000E+00  0.0000000E+00
    s32     32   8.8475645E-09  9.6191916E-06  9.6103440E-06  4.9405203E-06  4.9362297E-06  3.7730526E-04
