# Initial mass = 2.750, Z =  0.0002, Y =  0.250, M_mix = 5.00E-04
# Final mass = 0.810, Mass expelled =   1.9403
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>         
  X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -1.0498464E-01  1.3497337E+00  1.4547184E+00  6.9563133E-01  7.4977738E-01 -3.2553192E-02
      d      2   1.2094974E-17  1.2094974E-17  0.0000000E+00  6.2335574E-18  0.0000000E+00  0.0000000E+00
    he3      3   1.9480169E-04  1.9480169E-04  0.0000000E+00  1.0039770E-04  0.0000000E+00  0.0000000E+00
    he4      4   7.8962952E-02  5.6401139E-01  4.8504844E-01  2.9068252E-01  2.4999915E-01  6.5480433E-02
    li7      7   4.1100844E-08  4.1378293E-08  2.7744770E-10  2.1325716E-08  1.4299950E-10  2.1735692E+00
    be7      7   1.6105753E-12  1.6105753E-12  0.0000000E+00  8.3006497E-13  0.0000000E+00  0.0000000E+00
     b8      8   5.7252270E-26  5.7252270E-26  0.0000000E+00  2.9506911E-26  0.0000000E+00  0.0000000E+00
    c12     12   2.2230938E-02  2.2307327E-02  7.6388969E-05  1.1496843E-02  3.9371691E-05  2.4653947E+00
    c13     13   6.9491961E-04  6.9584529E-04  9.2568439E-07  3.5862761E-04  4.7710762E-07  2.8760276E+00
    c14     14   6.2001668E-08  6.2001668E-08  0.0000000E+00  3.1954677E-08  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   1.5373307E-04  1.7631816E-04  2.2585096E-05  9.0871588E-05  1.1640600E-05  8.9245278E-01
    n15     15  -5.0479855E-08  5.1499311E-09  5.5629787E-08  2.6541929E-09  2.8672188E-08 -1.0335283E+00
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   5.3597987E-04  7.2043925E-04  1.8445941E-04  3.7130297E-04  9.5072355E-05  5.9167415E-01
