# Initial mass = 6.000, Z =  0.0002, Y =  0.250, M_mix = 0.00E+00
# Final mass = 1.017, Mass expelled =   4.9827
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>         
  X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -5.0917363E-01  3.2264900E+00  3.7356637E+00  6.4754319E-01  7.4977738E-01 -6.3663587E-02
      d      2   2.3172403E-17  2.3172403E-17  0.0000000E+00  4.6506054E-18  0.0000000E+00  0.0000000E+00
    he3      3   3.3871228E-07  3.3871228E-07  0.0000000E+00  6.7978149E-08  0.0000000E+00  0.0000000E+00
    he4      4   5.0185037E-01  1.7474371E+00  1.2455868E+00  3.5070339E-01  2.4999915E-01  1.4700148E-01
    li7      7   6.0680039E-10  1.3192759E-09  7.1247552E-10  2.6477320E-10  1.4299950E-10  2.6753953E-01
    be7      7   2.1797390E-11  2.1797390E-11  0.0000000E+00  4.3746460E-12  0.0000000E+00  0.0000000E+00
     b8      8   1.2132226E-25  1.2132226E-25  0.0000000E+00  2.4348874E-26  0.0000000E+00  0.0000000E+00
    c12     12   4.3391125E-04  6.3007534E-04  1.9616410E-04  1.2645351E-04  3.9371691E-05  5.0674683E-01
    c13     13   1.0157649E-04  1.0395361E-04  2.3771238E-06  2.0863059E-05  4.7710762E-07  1.6407617E+00
    c14     14   3.4853902E-09  3.4853902E-09  0.0000000E+00  6.9950340E-10  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   7.1125617E-03  7.1705594E-03  5.7997699E-05  1.4391015E-03  1.1640600E-05  2.0921164E+00
    n15     15   1.9368753E-07  3.3654280E-07  1.4285527E-07  6.7542743E-08  2.8672188E-08  3.7211788E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -3.6367963E-04  1.1000541E-04  4.7368504E-04  2.2077631E-05  9.5072355E-05 -6.3410187E-01
    o17     17   3.7639231E-07  5.6760354E-07  1.9121123E-07  1.1391568E-07  3.8377614E-08  4.7250554E-01
    o18     18  -1.0646726E-06  1.1188417E-09  1.0657914E-06  2.2454689E-10  2.1391281E-07 -2.9789300E+00
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   3.8533607E-36  3.8533607E-36  0.0000000E+00  7.7335353E-37  0.0000000E+00  0.0000000E+00
    f19     19  -2.5085077E-08  5.6068017E-09  3.0691879E-08  1.1252619E-09  6.1601044E-09 -7.3833454E-01
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   1.9311628E-06  9.9098732E-05  9.7167569E-05  1.9888705E-05  1.9502304E-05  8.5205194E-03
   ne21     21  -2.3082720E-07  1.3743746E-08  2.4457094E-07  2.7583129E-09  4.9087333E-08 -1.2503259E+00
   ne22     22   3.1901185E-05  3.9760464E-05  7.8592784E-06  7.9797601E-06  1.5774197E-06  7.0404267E-01
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   2.6195060E-10  2.6195060E-10  0.0000000E+00  5.2572401E-11  0.0000000E+00  0.0000000E+00
   na23     23  -1.5626579E-06  1.0677159E-06  2.6303737E-06  2.1428615E-07  5.2793689E-07 -3.9158794E-01
   na24     24  -3.2591856E-32 -3.2591856E-32  0.0000000E+00 -6.5410508E-33  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24  -4.5960485E-05  3.9020256E-07  4.6350688E-05  7.8312034E-08  9.3029503E-06 -2.0747924E+00
   mg25     25   3.2903299E-05  3.9015715E-05  6.1124142E-06  7.8302919E-06  1.2268100E-06  8.0500066E-01
   mg26     26   5.6080921E-06  1.2607044E-05  6.9989524E-06  2.5301815E-06  1.4047455E-06  2.5555402E-01
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   1.4635905E-05  1.9099063E-05  4.4631583E-06  3.8331027E-06  8.9579135E-07  6.3134360E-01
   al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si28     28   5.0058989E-06  5.6328256E-05  5.1322357E-05  1.1304847E-05  1.0300805E-05  4.0393524E-02
   si29     29   8.6683940E-08  2.7858857E-06  2.6992018E-06  5.5911573E-07  5.4175126E-07  1.3701747E-02
   si30     30   1.3091937E-07  1.9715492E-06  1.8406298E-06  3.9568175E-07  3.6942902E-07  2.9815033E-02
    p31     31   3.0056242E-08  5.4249290E-07  5.1243666E-07  1.0887608E-07  1.0285012E-07  2.4727663E-02
    p32     32   1.3279386E-25  1.3279386E-25  0.0000000E+00  2.6651179E-26  0.0000000E+00  0.0000000E+00
    p33     33   3.2072377E-27  3.2072377E-27  0.0000000E+00  6.4367930E-28  0.0000000E+00  0.0000000E+00
    s32     32  -4.3808541E-08  2.4550283E-05  2.4594092E-05  4.9271403E-06  4.9362297E-06 -8.0043246E-04
    s33     33   4.9574567E-10  2.0354635E-07  2.0305060E-07  4.0850910E-08  4.0753871E-08  1.0328118E-03
    s34     34   2.9752982E-09  1.1838637E-06  1.1808884E-06  2.3759654E-07  2.3701368E-07  1.0666923E-03
    s35     35  -1.0972439E-20 -1.0972439E-20  0.0000000E+00 -2.2021230E-21  0.0000000E+00  0.0000000E+00
    s36     36   3.5160990E-09  9.3452135E-09  5.8291145E-09  1.8755457E-09  1.1699497E-09  2.0496044E-01
   cl35     35   6.7593646E-09  2.5904970E-07  2.5229033E-07  5.1990202E-08  5.0636675E-08  1.1456328E-02
   cl36     36   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   cl37     37   8.0001215E-09  9.3240772E-08  8.5240650E-08  1.8713036E-08  1.7108476E-08  3.8932931E-02
   ar36     36  -1.8628725E-08  4.6793880E-06  4.6980167E-06  9.3913377E-07  9.4292932E-07 -1.7516849E-03
   ar37     37   1.3926046E-21  1.3926046E-21  0.0000000E+00  2.7948999E-22  0.0000000E+00  0.0000000E+00
   ar38     38   6.0649086E-09  9.0772073E-07  9.0165582E-07  1.8217580E-07  1.8096949E-07  2.8852741E-03
   ar39     39   6.6090459E-11  6.6090459E-11  0.0000000E+00  1.3264082E-11  0.0000000E+00  0.0000000E+00
   ar40     40   2.1645787E-09  3.6825745E-09  1.5179957E-09  7.3907747E-10  3.0467381E-10  3.8485479E-01
    k39     39   1.6983961E-09  2.4629023E-07  2.4459183E-07  4.9429428E-08  4.9091526E-08  2.9790194E-03
    k40     40  -3.9594782E-11  0.0000000E+00  3.9594782E-11  0.0000000E+00  7.9469868E-12  0.0000000E+00
    k41     41   1.8220909E-09  2.0378454E-08  1.8556364E-08  4.0898716E-09  3.7244097E-09  4.0652197E-02
   ca40     40  -1.3379122E-08  4.2213878E-06  4.2347669E-06  8.4721506E-07  8.4995133E-07 -1.4003824E-03
   ca41     41   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ca42     42   5.5359806E-10  3.0231273E-08  2.9677675E-08  6.0672916E-09  5.9565455E-09  8.0003636E-03
   ca43     43   1.4253398E-10  6.4822583E-09  6.3397243E-09  1.3009623E-09  1.2724332E-09  9.6297115E-03
