#
# Initial mass = 3.000, Z =  0.0070, Y =  0.260, M_mix = 5.00E-04
#
#Initial isotopic abundance ratios: 
#  c12/c13   n14/n15   o16/o17   o16/o18   mg24/mg25 mg24/m26 al26/al27 si28/si29 si28/si30 cl36/cl35 cl37/cl35  s33/s32  s34/s32   s36/s32   ar36/ar40 ar38/ar40  k40/k39  k41/k39  ca42/ca40 ca43/ca40 ca44/ca40 ca46/ca40 ca48/ca40 ti46/ti48 ti47/ti48 ti49/ti48 ti50/ti48 cr53/cr52 cr54/cr52 fe54/fe56 fe57/fe56 fe58/fe56 fe60/fe56 ni60/ni58 ni61/ni58 ni62/ni58
#
  8.940E+01 4.350E+02 2.632E+03 5.000E+02 7.899E+00 7.174E+00 0.000E+00 1.969E+01 2.987E+01 0.000E+00 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.439E+03 6.252E+02 1.578E-04 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 0.000E+00 3.852E-01 1.674E-02 5.339E-02
#
# During TP-AGB
#
  1.886E+01 3.169E+03 2.113E+02 7.516E+02 8.028E+00 7.073E+00 1.119E-05 1.969E+01 2.987E+01 5.232E-15 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.437E+03 6.249E+02 1.269E-04 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 1.369E-29 3.852E-01 1.674E-02 5.339E-02
  1.886E+01 3.169E+03 2.113E+02 7.515E+02 8.028E+00 7.073E+00 1.073E-05 1.969E+01 2.987E+01 4.688E-15 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.437E+03 6.249E+02 1.269E-04 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 1.364E-29 3.852E-01 1.674E-02 5.339E-02
  1.906E+01 3.123E+03 2.129E+02 7.486E+02 8.027E+00 7.074E+00 1.121E-05 1.969E+01 2.987E+01 4.074E-15 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.437E+03 6.249E+02 1.269E-04 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 1.333E-29 3.852E-01 1.674E-02 5.339E-02
  1.932E+01 3.065E+03 2.149E+02 7.449E+02 8.026E+00 7.075E+00 4.611E-05 1.969E+01 2.987E+01 3.515E-15 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.437E+03 6.249E+02 1.269E-04 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 1.299E-29 3.852E-01 1.674E-02 5.339E-02
  2.087E+01 2.966E+03 2.186E+02 7.385E+02 8.026E+00 7.078E+00 2.842E-04 1.969E+01 2.987E+01 3.476E-06 3.197E-01 8.006E-03 4.519E-02 2.107E-04 3.437E+03 6.249E+02 1.319E-04 7.218E-02 6.675E-03 1.393E-03 2.152E-02 4.128E-05 1.929E-03 1.119E-01 1.009E-01 7.340E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.074E-03 3.471E-11 3.852E-01 1.675E-02 5.339E-02
  2.617E+01 2.960E+03 2.191E+02 7.392E+02 8.031E+00 7.081E+00 5.879E-04 1.969E+01 2.986E+01 4.419E-05 3.209E-01 8.011E-03 4.520E-02 2.115E-04 3.397E+03 6.179E+02 1.893E-04 7.230E-02 6.682E-03 1.394E-03 2.152E-02 4.324E-05 1.929E-03 1.119E-01 1.009E-01 7.366E-02 7.050E-02 1.134E-01 2.832E-02 6.369E-02 2.314E-02 3.110E-03 3.009E-07 3.854E-01 1.683E-02 5.348E-02
  3.645E+01 2.920E+03 2.213E+02 7.395E+02 8.034E+00 7.086E+00 1.114E-03 1.969E+01 2.985E+01 9.466E-05 3.231E-01 8.021E-03 4.521E-02 2.131E-04 3.310E+03 6.023E+02 2.892E-04 7.254E-02 6.693E-03 1.396E-03 2.153E-02 4.820E-05 1.929E-03 1.120E-01 1.009E-01 7.406E-02 7.110E-02 1.134E-01 2.844E-02 6.367E-02 2.321E-02 3.162E-03 6.350E-07 3.856E-01 1.695E-02 5.362E-02
