 #pulse    Mcore         M_csh         t_csh         Ddredge       lambda        DMh           THeshell       Tbce       THshell     interpulse       Mtot         MaxL          MaxLHe       maxR	   Mbol		Teff
   1   5.509306E-01  2.613044E-02  3.745663E+02  0.000000E+00  0.000000E+00  3.015578E-02  1.819503E+08  2.588984E+06  4.845104E+07  0.000000E+00  2.499973E+00  2.586393E+03  2.930188E+04  1.422107E+02 -3.811737E+00  3.485941E+03
   2   5.526575E-01  2.587533E-02  4.179095E+02  0.000000E+00  0.000000E+00  1.649797E-03  1.840032E+08  2.602334E+06  4.864104E+07  6.852462E+04  2.499972E+00  2.649077E+03  3.245626E+04  1.446922E+02 -3.837738E+00  3.477116E+03
   3   5.544766E-01  2.569407E-02  3.729438E+02  0.000000E+00  0.000000E+00  1.783133E-03  1.874583E+08  2.647050E+06  4.922651E+07  6.698984E+04  2.499971E+00  2.834400E+03  4.132649E+04  1.520681E+02 -3.911152E+00  3.450692E+03
   4   5.565456E-01  2.549988E-02  3.632332E+02  0.000000E+00  0.000000E+00  2.017379E-03  1.914249E+08  2.700310E+06  4.999960E+07  6.949203E+04  2.499970E+00  3.068265E+03  5.494232E+04  1.615754E+02 -3.997233E+00  3.416165E+03
   5   5.588907E-01  2.588946E-02  2.630734E+02  0.000000E+00  0.000000E+00  2.306163E-03  1.953046E+08  2.757640E+06  5.073209E+07  7.255246E+04  2.499968E+00  3.317311E+03  7.408147E+04  1.713564E+02 -4.081966E+00  3.384093E+03
   6   5.614902E-01  2.565587E-02  2.829558E+02  0.000000E+00  0.000000E+00  2.561927E-03  1.987424E+08  2.808396E+06  5.141382E+07  7.450638E+04  2.499966E+00  3.551667E+03  9.338134E+04  1.805292E+02 -4.156081E+00  3.355909E+03
   7   5.643424E-01  2.538925E-02  2.805217E+02  0.000000E+00  0.000000E+00  2.818584E-03  2.019561E+08  2.857178E+06  5.208283E+07  7.589431E+04  2.499963E+00  3.793442E+03  1.153707E+05  1.897435E+02 -4.227583E+00  3.329483E+03
   8   5.675628E-01  2.550817E-02  2.653659E+02  0.000000E+00  0.000000E+00  3.177047E-03  2.065922E+08  2.922328E+06  5.289276E+07  7.837923E+04  2.499959E+00  4.095438E+03  1.693102E+05  2.013027E+02 -4.310751E+00  3.297769E+03
   9   5.708920E-01  2.485400E-02  2.614861E+02  0.000000E+00  0.000000E+00  3.290713E-03  2.087364E+08  2.959874E+06  5.339935E+07  7.744351E+04  2.499955E+00  4.306829E+03  1.873987E+05  2.094217E+02 -4.365394E+00  3.275810E+03
   9   5.708920E-01  2.485400E-02  2.614861E+02  0.000000E+00  0.000000E+00  3.290713E-03  2.087364E+08  2.959874E+06  5.339935E+07  7.744351E+04  2.499955E+00  4.306829E+03  1.873987E+05  2.094217E+02 -4.365394E+00  3.275810E+03
  10   5.783823E-01  2.450007E-02  2.202038E+02  0.000000E+00  0.000000E+00  7.451415E-03  2.160066E+08  3.071604E+06  5.474488E+07  1.553758E+05  2.499942E+00  4.867351E+03  3.291599E+05  2.304415E+02 -4.498231E+00  3.224748E+03
  11   5.823670E-01  2.358645E-02  2.261280E+02  0.000000E+00  0.000000E+00  3.932655E-03  2.187158E+08  3.121756E+06  5.532927E+07  7.598995E+04  2.499931E+00  5.125137E+03  3.915242E+05  2.401297E+02 -4.554265E+00  3.202039E+03
  12   5.865303E-01  2.309901E-02  1.908167E+02  0.000000E+00  0.000000E+00  4.133821E-03  2.218340E+08  3.178862E+06  5.593956E+07  7.473774E+04  2.499918E+00  5.407194E+03  4.912575E+05  2.503328E+02 -4.612430E+00  3.179497E+03
