# Initial mass = 3.000, Z =  0.0300, Y =  0.300, M_mix = 1.00E-03
# Final mass = 0.691, Mass expelled =   2.3090
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)     Net M(i) Mass(i) 
  p   1  12.000000  0.000000  0.000000  6.43193E-01 -7.54745E-02  1.48513E+00
 he   2  11.106491  0.176491 -0.173756  3.26405E-01  5.80956E-02  7.53669E-01
  c   6   9.079801  0.609800  0.259553  9.21001E-03  9.54701E-03  2.12659E-02
  n   7   8.614604  0.744604  0.394357  3.67984E-03  5.06427E-03  8.49676E-03
  o   8   9.060844  0.330845 -0.019402  1.17441E-02 -1.28835E-03  2.71170E-02
  f   9   5.315044  0.855044  0.504797  2.50399E-06  3.97030E-06  5.78171E-06
 ne  10   8.485570  0.515570  0.165323  3.93887E-03  2.86845E-03  9.09485E-03
 na  11   6.845794  0.535794  0.185547  1.02852E-04  8.23035E-05  2.37486E-04
 mg  12   7.992703  0.352703  0.002456  1.52503E-03  1.37421E-05  3.52130E-03
 al  13   6.842911  0.372911  0.022665  1.19913E-04  1.36214E-05  2.76879E-04
 si  14   7.901249  0.351249  0.001002  1.42764E-03  1.87452E-06  3.29643E-03
  p  15   5.839574  0.369575  0.019328  1.36601E-05  1.32037E-06  3.15411E-05
  s  16   7.510605  0.350605  0.000358  6.63005E-04 -1.41328E-06  1.53088E-03
 cl  17   5.596292  0.366292  0.016045  8.92946E-06  7.13575E-07  2.06181E-05
 ar  18   6.790141  0.350141 -0.000106  1.57223E-04 -7.23405E-07  3.63029E-04
  k  19   5.436032  0.356032  0.005785  6.80876E-06  2.01284E-07  1.57214E-05
 ca  20   6.640007  0.350008 -0.000239  1.11633E-04 -5.90808E-07  2.57762E-04
 sc  21   3.433443  0.383443  0.033196  7.78237E-08  1.29326E-08  1.79695E-07
 ti  22   5.264135  0.354136  0.003889  5.61116E-06  9.31959E-08  1.29562E-05
  v  23   4.305942  0.345942 -0.004305  6.57504E-07 -1.39007E-08  1.51818E-06
 cr  24   5.971241  0.331242 -0.019005  3.10522E-05 -7.74162E-08  7.16995E-05
 mn  25   5.840175  0.360175  0.009928  2.42621E-05  1.17149E-06  5.60212E-05
 fe  26   7.890247  0.350247  0.000000  2.76766E-03 -1.10948E-05  6.39052E-03
 co  27   5.263577  0.393577  0.043330  6.89947E-06  1.48718E-06  1.59309E-05
 ni  28   6.553161  0.353161  0.002914  1.33853E-04  1.52717E-06  3.09066E-04
 cu  29   4.675398  0.425398  0.075151  1.92029E-06  6.98108E-07  4.43395E-06
 zn  30   5.040465  0.410465  0.060218  4.58124E-06  1.35360E-06  1.05781E-05
 ga  31   3.714858  0.634858  0.284611  2.30736E-07  2.55637E-07  5.32770E-07
 ge  32   4.202370  0.622370  0.272123  7.38630E-07  8.61969E-07  1.70550E-06
 as  33   2.853848  0.553848  0.203601  3.41458E-08  2.94216E-08  7.88426E-08
