# Initial mass = 2.500, Z =  0.0300, Y =  0.300, M_mix = 1.00E-03
# Final mass = 0.650, Mass expelled =   1.8500
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>           X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -5.6008339E-02  1.1842903E+00  1.2402986E+00  6.4015687E-01  6.7046791E-01 -2.0091571E-02
      d      2  -1.7622905E-04  2.7840758E-07  1.7650746E-04  1.5049058E-07  9.5414587E-05 -2.8021054E+00
    he3      3  -2.2079365E-04  9.0191723E-04  1.1227109E-03  4.8752280E-04  6.0690352E-04 -9.5124707E-02
    he4      4   4.1274071E-02  5.9663171E-01  5.5535764E-01  3.2250360E-01  3.0020952E-01  3.1110128E-02
    li7      7  -2.9224259E-08  1.9535185E-09  3.1177777E-08  1.0559559E-09  1.6853761E-08 -1.2030511E+00
    be7      7   1.9810129E-17  1.9810129E-17  0.0000000E+00  1.0708177E-17  0.0000000E+00  0.0000000E+00
     b8      8   7.9430815E-24  7.9430815E-24  0.0000000E+00  4.2935573E-24  0.0000000E+00  0.0000000E+00
    c12     12   9.7109526E-03  1.8987425E-02  9.2764720E-03  1.0263473E-02  5.0145797E-03  3.1105977E-01
    c13     13   1.3590106E-04  2.4831100E-04  1.1240994E-04  1.3422215E-04  6.0765407E-05  3.4416777E-01
    c14     14   1.2602593E-08  1.2602593E-08  0.0000000E+00  6.8122121E-09  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   3.1815215E-03  5.9240256E-03  2.7425040E-03  3.2021757E-03  1.4825147E-03  3.3444616E-01
    n15     15  -2.5657928E-06  3.9990896E-06  6.5648824E-06  2.1616700E-06  3.5487767E-06 -2.1528932E-01
