0 0.00000 0.00000 0.00000 0.00000 
1 0.00000 0.00000 0.00000 0.00000 
2 2.95664 0.82596 2.13068 4.12392 49163
3 2.95664 0.82678 2.12986 4.17231 56516
4 2.95664 0.82732 2.12932 4.21788 59880
5 2.95663 0.82762 2.12901 4.25279 63398
6 2.95663 0.82779 2.12884 4.28171 66916
7 2.95661 0.82790 2.12871 4.30694 70415
8 2.95657 0.82798 2.12859 4.32598 73730
9 2.95632 0.82810 2.12822 4.33462 77299
10 2.95451 0.82820 2.12631 4.34272 80819
11 2.94373 0.82977 2.11396 4.34081 85723
12 2.92648 0.83120 2.09528 4.35603 89390
13 2.70829 0.83170 1.87659 4.35188 93086
14 2.41863 0.83211 1.58652 4.34514 97924
15 2.11526 0.83243 1.28283 4.33726 103217
16 1.80569 0.83272 0.97297 4.33012 109145
