# Initial mass = 1.500, Z =  0.0001, Y =  0.240, M_mix = 4.00E-03
# Final mass = 0.661, Mass expelled =   0.8390
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)      Mass(i)
  p   1  12.000000  0.000000  0.000000 7.04380E-01 5.90975E-01
 he   2  11.009336  0.079336  2.241988 2.85804E-01 2.39790E-01
  c   6   9.144789  0.674788  2.837440 1.17142E-02 9.82824E-03
  n   7   6.731275 -1.138725  1.023926 5.27189E-05 4.42312E-05
  o   8   7.810993 -0.919006  1.243645 7.23490E-04 6.07008E-04
  f   9   5.266289  0.846289  3.008940 2.45100E-06 2.05639E-06
 ne  10   8.281038  0.311038  2.473690 2.69343E-03 2.25979E-03
 na  11   6.729345  0.489345  2.651997 8.61451E-05 7.22757E-05
 mg  12   6.655931 -0.984068  1.178583 7.69084E-05 6.45261E-05
 al  13   4.555501 -1.894499  0.268153 6.77520E-07 5.68439E-07
 si  14   5.426877 -2.123123  0.039529 5.24462E-06 4.40023E-06
  p  15   3.730942 -1.679058  0.483593 1.16489E-07 9.77344E-08
  s  16   5.006338 -2.143662  0.018990 2.27361E-06 1.90756E-06
 cl  17   3.118970 -2.111030  0.051621 3.25814E-08 2.73358E-08
 ar  18   4.278198 -2.161802  0.000850 5.29712E-07 4.44429E-07
  k  19   2.941072 -2.138928  0.023723 2.38546E-08 2.00140E-08
 ca  20   4.126522 -2.163478 -0.000827 3.74778E-07 3.14439E-07
 sc  21   1.054723 -1.995277  0.167374 3.56334E-10 2.98964E-10
 ti  22   2.812863 -2.097136  0.065515 2.17393E-08 1.82393E-08
  v  23   1.807981 -2.152020  0.010632 2.28772E-09 1.91940E-09
 cr  24   3.463137 -2.176863 -0.014212 1.05549E-07 8.85553E-08
 mn  25   3.335638 -2.144362  0.018290 8.31490E-08 6.97620E-08
 fe  26   5.377348 -2.162652  0.000000 9.30421E-06 7.80623E-06
 co  27   2.852149 -2.017851  0.144801 2.92991E-08 2.45819E-08
 ni  28   4.053278 -2.146721  0.015930 4.63673E-07 3.89021E-07
 cu  29   2.328546 -1.921454  0.241197 9.46194E-09 7.93857E-09
 zn  30   2.653452 -1.976548  0.186103 2.05796E-08 1.72663E-08
 ga  31   1.549534 -1.530466  0.632185 1.72686E-09 1.44883E-09
 ge  32   2.059944 -1.520056  0.642596 5.82729E-09 4.88910E-09
 as  33   0.658646 -1.641354  0.521297 2.38562E-10 2.00154E-10
 se  34   2.030996 -1.309004  0.853648 5.92584E-09 4.97178E-09
 br  35   1.116603 -1.423397  0.739254 7.30328E-10 6.12745E-10
 kr  36   2.618059 -0.631941  1.530711 2.43019E-08 2.03893E-08
 rb  37   1.735047 -0.784953  1.377699 3.24487E-09 2.72245E-09
 sr  38   2.479554 -0.400446  1.762206 1.84716E-08 1.54977E-08
  y  39   1.899899 -0.310102  1.852550 4.93374E-09 4.13941E-09
 zr  40   2.355627 -0.174373  1.988279 1.44571E-08 1.21295E-08
 nb  41   1.128203 -0.281797  1.880855 8.72155E-10 7.31738E-10
 mo  42   1.573021 -0.366979  1.795672 2.50823E-09 2.10440E-09
 ru  44   1.325809 -0.434191  1.728461 1.49547E-09 1.25470E-09
 rh  45   0.240823 -0.819177  1.343474 1.25202E-10 1.05044E-10
 pd  46   1.310183 -0.339817  1.822834 1.51898E-09 1.27443E-09
 ag  47   0.500284 -0.699716  1.462936 2.38519E-10 2.00118E-10
 cd  48   1.479192 -0.230808  1.931843 2.36781E-09 1.98659E-09
 in  49   0.339411 -0.420589  1.742062 1.75294E-10 1.47072E-10
 sn  50   1.931579 -0.138421  2.024230 7.08618E-09 5.94531E-09
 sb  51   0.415958 -0.594042  1.568610 2.21722E-10 1.86025E-10
 te  52   1.531762 -0.648238  1.514414 3.03361E-09 2.54520E-09
  i  53   0.371360 -1.178640  0.984011 2.08536E-10 1.74962E-10
 xe  54   1.663235 -0.576765  1.585886 4.22497E-09 3.54475E-09
 cs  55   0.446942 -0.633058  1.529594 2.59914E-10 2.18068E-10
 ba  56   2.505478  0.325478  2.488129 3.07313E-08 2.57835E-08
 la  57   1.498022  0.328022  2.490674 3.05555E-09 2.56361E-09
 ce  58   1.987277  0.407277  2.569929 9.50848E-09 7.97762E-09
 pr  59   0.941264  0.181264  2.343916 8.60095E-10 7.21620E-10
 nd  60   1.745748  0.295748  2.458399 5.61280E-09 4.70914E-09
 sm  62   0.954595  0.014595  2.177246 9.46397E-10 7.94027E-10
 eu  63  -0.147788 -0.657788  1.504864 7.55613E-11 6.33960E-11
 gd  64   0.777246 -0.272754  1.889897 6.57934E-10 5.52007E-10
 tb  65  -0.194292 -0.514292  1.648360 7.09981E-11 5.95674E-11
 dy  66   0.930263 -0.199737  1.962914 9.67079E-10 8.11380E-10
 ho  67  -0.113090 -0.583090  1.579562 8.88294E-11 7.45278E-11
 er  68   0.752316 -0.167684  1.994967 6.60772E-10 5.54387E-10
 tm  69  -0.190040 -0.310040  1.852612 7.62121E-11 6.39419E-11
 yb  70   1.088341  0.168341  2.330992 1.48195E-09 1.24336E-09
 lu  71   0.137356  0.047356  2.210007 1.67748E-10 1.40741E-10
 hf  72   1.036198  0.326198  2.488849 1.35568E-09 1.13742E-09
 ta  73   0.082049  0.202049  2.364701 1.52739E-10 1.28148E-10
  w  74   1.044997  0.394997  2.557649 1.42490E-09 1.19549E-09
 re  75   0.095439 -0.164561  1.998091 1.62099E-10 1.36001E-10
 os  76   0.962699 -0.387301  1.775350 1.21990E-09 1.02350E-09
 ir  77   0.187551 -1.132450  1.030202 2.06866E-10 1.73560E-10
 pt  78   0.986682 -0.633318  1.529333 1.32202E-09 1.10917E-09
 au  79   0.199586 -0.600414  1.562238 2.17935E-10 1.82847E-10
 hg  80   1.513253  0.343253  2.505905 4.56993E-09 3.83417E-09
