# Initial mass = 1.750, Z =  0.0001, Y =  0.240, M_mix = 0.00E+00
# Final mass = 0.664, Mass expelled =   1.0860
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)      Mass(i)
  p   1  12.000000  0.000000  0.000000 6.68653E-01 7.26157E-01
 he   2  11.070274  0.140274  2.279906 3.12177E-01 3.39024E-01
  c   6   9.442661  0.972661  3.112293 2.20791E-02 2.39779E-02
  n   7   6.792126 -1.077874  1.061758 5.75720E-05 6.25232E-05
  o   8   7.638709 -1.091290  1.048342 4.61894E-04 5.01617E-04
  f   9   5.523961  1.103961  3.243593 4.21124E-06 4.57340E-06
 ne  10   8.141190  0.171190  2.310822 1.85289E-03 2.01224E-03
 na  11   6.354579  0.114579  2.254211 3.45031E-05 3.74704E-05
 mg  12   6.311134 -1.328866  0.810767 3.30043E-05 3.58427E-05
 al  13   4.527069 -1.922931  0.216702 6.02398E-07 6.54204E-07
 si  14   5.427757 -2.122243  0.017389 4.98870E-06 5.41773E-06
  p  15   3.649636 -1.760364  0.379269 9.17009E-08 9.95872E-08
  s  16   5.025832 -2.124168  0.015464 2.25738E-06 2.45151E-06
 cl  17   3.175633 -2.054367  0.085266 3.52393E-08 3.82699E-08
 ar  18   4.298911 -2.141089 -0.001457 5.27408E-07 5.72765E-07
  k  19   2.974277 -2.105722  0.033910 2.44440E-08 2.65462E-08
 ca  20   4.144676 -2.145324 -0.005692 3.70956E-07 4.02859E-07
 sc  21   1.123657 -1.926343  0.213289 3.96447E-10 4.30542E-10
 ti  22   2.806840 -2.103160  0.036472 2.03524E-08 2.21027E-08
  v  23   1.805141 -2.154859 -0.015226 2.15753E-09 2.34308E-09
 cr  24   3.484589 -2.155411 -0.015779 1.05269E-07 1.14322E-07
 mn  25   3.367354 -2.112646  0.026987 8.49116E-08 9.22140E-08
 fe  26   5.400368 -2.139632  0.000000 9.31306E-06 1.01140E-05
 co  27   3.097312 -1.772688  0.366944 4.89115E-08 5.31179E-08
 ni  28   4.087846 -2.112154  0.027478 4.76620E-07 5.17610E-07
 cu  29   2.442256 -1.807744  0.331888 1.16704E-08 1.26740E-08
 zn  30   2.671125 -1.958875  0.180758 2.03471E-08 2.20970E-08
 ga  31   1.578300 -1.501699  0.637933 1.75153E-09 1.90216E-09
 ge  32   2.076474 -1.503526  0.636106 5.74632E-09 6.24051E-09
 as  33   0.675192 -1.624808  0.514824 2.35257E-10 2.55489E-10
 se  34   2.052621 -1.287379  0.852253 5.91246E-09 6.42094E-09
 br  35   1.195273 -1.344727  0.794906 8.30964E-10 9.02426E-10
 kr  36   2.835699 -0.414301  1.725331 3.80779E-08 4.13526E-08
 rb  37   2.005196 -0.514804  1.624828 5.73772E-09 6.23116E-09
 sr  38   2.558850 -0.321150  1.818482 2.10472E-08 2.28573E-08
  y  39   2.008810 -0.201190  1.938442 6.01841E-09 6.53599E-09
 zr  40   2.431338 -0.098662  2.040971 1.63376E-08 1.77426E-08
 nb  41   1.205523 -0.204477  1.935155 9.89251E-10 1.07433E-09
 mo  42   1.618374 -0.321626  1.818006 2.64310E-09 2.87041E-09
 ru  44   1.364392 -0.395608  1.744025 1.55151E-09 1.68494E-09
 rh  45   0.271898 -0.788102  1.351531 1.27667E-10 1.38647E-10
 pd  46   1.332061 -0.317939  1.821693 1.51644E-09 1.64685E-09
 ag  47   0.520140 -0.679860  1.459772 2.37013E-10 2.57396E-10
 cd  48   1.496869 -0.213131  1.926501 2.34109E-09 2.54243E-09
 in  49   0.362849 -0.397151  1.742481 1.75630E-10 1.90735E-10
 sn  50   1.970926 -0.099074  2.040559 7.36468E-09 7.99804E-09
 sb  51   0.456820 -0.553180  1.586453 2.31242E-10 2.51128E-10
 te  52   1.550083 -0.629917  1.509715 3.00382E-09 3.26215E-09
  i  53   0.375530 -1.174470  0.965163 1.99869E-10 2.17058E-10
 xe  54   1.641751 -0.598249  1.541384 3.81710E-09 4.14536E-09
 cs  55   0.398368 -0.681632  1.458000 2.20622E-10 2.39596E-10
 ba  56   2.300126  0.120126  2.259758 1.81812E-08 1.97448E-08
 la  57   1.221399  0.051399  2.191031 1.53413E-09 1.66606E-09
 ce  58   1.554994 -0.025006  2.114626 3.33597E-09 3.62286E-09
 pr  59   0.495940 -0.264060  1.875572 2.92831E-10 3.18014E-10
 nd  60   1.235189 -0.214811  1.924822 1.64443E-09 1.78585E-09
 sm  62   0.401887 -0.538113  1.601519 2.51628E-10 2.73268E-10
 eu  63  -0.683220 -1.193220  0.946412 2.09056E-11 2.27034E-11
 gd  64   0.208643 -0.841357  1.298275 1.68645E-10 1.83149E-10
 tb  65  -0.753806 -1.073806  1.065826 1.85835E-11 2.01816E-11
 dy  66   0.345493 -0.784507  1.355126 2.38829E-10 2.59368E-10
 ho  67  -0.690548 -1.160548  0.979084 2.23096E-11 2.42282E-11
 er  68   0.142571 -0.777429  1.362204 1.54064E-10 1.67314E-10
 tm  69  -0.793618 -0.913618  1.226014 1.80235E-11 1.95735E-11
 yb  70   0.460458 -0.459542  1.680090 3.31394E-10 3.59894E-10
 lu  71  -0.492527 -0.582527  1.557105 3.73396E-11 4.05508E-11
 hf  72   0.384598 -0.325402  1.814230 2.87046E-10 3.11732E-10
 ta  73  -0.579371 -0.459371  1.680261 3.16172E-11 3.43362E-11
  w  74   0.357728 -0.292272  1.847360 2.77913E-10 3.01813E-10
 re  75  -0.598704 -0.858704  1.280928 3.11195E-11 3.37957E-11
 os  76   0.286889 -1.063111  1.076521 2.44291E-10 2.65301E-10
 ir  77  -0.378544 -1.698544  0.441088 5.33320E-11 5.79186E-11
 pt  78   0.326952 -1.293048  0.846584 2.74726E-10 2.98353E-10
 au  79  -0.471411 -1.271411  0.868222 4.41289E-11 4.79240E-11
 hg  80   0.770778 -0.399222  1.740410 7.84924E-10 8.52428E-10
 tl  81   0.488616 -0.281384  1.858248 4.17639E-10 4.53556E-10
 pb  82   1.444820 -0.595180  1.544453 3.82781E-09 4.15700E-09
 bi  83  -0.402447 -1.052447  1.087186 5.48780E-11 5.95975E-11
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]
   -0.4161   1.9326   2.1885   0.2558  -0.6440
