# Minitial =  1.75 msun, Z = 0.0001, Mfinal = 0.664 msun, c13 pocket included (pmz = 2e-3msun)
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -1.1556959E-01  7.2047418E-01  8.3604378E-01  6.6342008E-01  7.6990002E-01 -6.4645708E-02
      d      2  -3.5037559E-07  3.2263161E-09  3.5360191E-07  2.9708251E-09  3.2562664E-07 -2.0398428E+00
    he3      3   1.8530220E-04  1.8755134E-04  2.2491411E-06  1.7269922E-04  2.0712000E-06  1.9210683E+00
    he4      4   8.8468805E-02  3.3822858E-01  2.4975978E-01  3.1144437E-01  2.2999999E-01  1.3165268E-01
    li7      7   9.0148472E-11  1.5260651E-10  6.2458039E-11  1.4052165E-10  5.7516662E-11  3.8794959E-01
    be7      7   8.6874457E-14  8.6874457E-14  0.0000000E+00  7.9994896E-14  0.0000000E+00  0.0000000E+00
     b8      8   2.2744226E-28  2.2744226E-28  0.0000000E+00  2.0943118E-28  0.0000000E+00  0.0000000E+00
    c12     12   2.1855211E-02  2.1873802E-02  1.8591682E-05  2.0141624E-02  1.7120798E-05  3.0705705E+00
    c13     13   1.1446115E-06  1.3698036E-06  2.2519210E-07  1.2613293E-06  2.0737599E-07  7.8407001E-01
    c14     14   1.4410473E-08  1.4410473E-08  0.0000000E+00  1.3269313E-08  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   5.5595112E-05  6.1089391E-05  5.4942807E-06  5.6251742E-05  5.0595995E-06  1.0460198E+00
    n15     15   9.5867136E-08  1.0901862E-07  1.3151482E-08  1.0038548E-07  1.2110999E-08  9.1849095E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   7.5164833E-04  7.9713267E-04  4.5484368E-05  7.3400803E-04  4.1885865E-05  1.2436334E+00
    o17     17   8.6389468E-07  8.8225426E-07  1.8359586E-08  8.1238886E-07  1.6907064E-08  1.6816957E+00
    o18     18  -3.2571279E-08  7.0012220E-08  1.0258350E-07  6.4467976E-08  9.4467595E-08 -1.6593884E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   6.0761622E-06  6.0788138E-06  2.6518046E-09  5.5974347E-06  2.4420066E-09  3.3602421E+00
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   6.2899424E-05  7.2104485E-05  9.2050595E-06  6.6394554E-05  8.4767998E-06  8.9390051E-01
   ne21     21   1.8067570E-06  1.8299261E-06  2.3169020E-08  1.6850148E-06  2.1336000E-08  1.8974907E+00
   ne22     22   3.9753001E-03  3.9760447E-03  7.4452589E-07  3.6611832E-03  6.8562258E-07  3.7275364E+00
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   1.2173530E-25  1.2173530E-25  0.0000000E+00  1.1209513E-25  0.0000000E+00  0.0000000E+00
   na23     23   1.0824339E-04  1.0845547E-04  2.1207934E-07  9.9866913E-05  1.9530066E-07  2.7087178E+00
   na24     24   2.8891551E-40  2.8891551E-40  0.0000000E+00  2.6603651E-40  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24   4.1410065E-05  4.5800971E-05  4.3909067E-06  4.2174008E-05  4.0435198E-06  1.0182853E+00
   mg25     25   2.4967036E-05  2.5546080E-05  5.7904452E-07  2.3523095E-05  5.3323333E-07  1.6445771E+00
   mg26     26   2.8752222E-05  2.9415261E-05  6.6304051E-07  2.7085876E-05  6.1058398E-07  1.6469975E+00
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   1.1547213E-08  1.1547213E-08  0.0000000E+00  1.0632793E-08  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   6.4654517E-07  1.0503155E-06  4.0377034E-07  9.6714143E-07  3.7182599E-07  4.1515023E-01
   al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si28     28   4.8387892E-07  5.3457247E-06  4.8618458E-06  4.9223986E-06  4.4772000E-06  4.1170299E-02
   si29     29   3.7008874E-08  2.9269845E-07  2.5568957E-07  2.6951975E-07  2.3546065E-07  5.8672257E-02
   si30     30   5.8800467E-08  2.3316754E-07  1.7436707E-07  2.1470308E-07  1.6057200E-07  1.2616847E-01
    p31     31   1.0626688E-07  1.4854795E-07  4.2281073E-08  1.3678449E-07  3.8935998E-08  5.4568553E-01
    p32     32  -2.1264963E-33 -2.1264963E-33  0.0000000E+00 -1.9580997E-33  0.0000000E+00  0.0000000E+00
    p33     33   1.6987342E-29  1.6987342E-29  0.0000000E+00  1.5642120E-29  0.0000000E+00  0.0000000E+00
    s32     32  -7.5710886E-09  2.3222460E-06  2.3298171E-06  2.1383482E-06  2.1454932E-06 -1.4487145E-03
    s33     33   2.4136373E-09  2.1649200E-08  1.9235562E-08  1.9934808E-08  1.7713738E-08  5.1301833E-02
    s34     34   1.2627069E-08  1.2449773E-07  1.1187066E-07  1.1463880E-07  1.0301999E-07  4.6410140E-02
    s35     35   2.1148350E-26  2.1148350E-26  0.0000000E+00  1.9473620E-26  0.0000000E+00  0.0000000E+00
    s36     36   2.9477851E-09  3.5000105E-09  5.5222538E-10  3.2228458E-09  5.0853599E-10  8.0191779E-01
   cl35     35  -8.3218588E-10  2.3068086E-08  2.3900272E-08  2.1241332E-08  2.2009399E-08 -1.5426428E-02
   cl36     36   5.1000107E-11  5.1000107E-11  0.0000000E+00  4.6961424E-11  0.0000000E+00  0.0000000E+00
   cl37     37   6.9678361E-09  1.5042961E-08  8.0751246E-09  1.3851714E-08  7.4362601E-09  2.7014896E-01
   ar36     36  -1.8309294E-08  4.2674964E-07  4.4505893E-07  3.9295549E-07  4.0984804E-07 -1.8279500E-02
   ar37     37   9.2047950E-27  9.2047950E-27  0.0000000E+00  8.4758705E-27  0.0000000E+00  0.0000000E+00
   ar38     38   5.4568901E-09  9.0871985E-08  8.5415095E-08  8.3675864E-08  7.8657465E-08  2.6860271E-02
   ar39     39   2.4866521E-13  2.4866521E-13  0.0000000E+00  2.2897350E-13  0.0000000E+00  0.0000000E+00
   ar40     40   1.6146031E-09  1.7584069E-09  1.4380371E-10  1.6191593E-09  1.3242665E-10  1.0873141E+00
    k39     39   5.4137850E-10  2.3712222E-08  2.3170843E-08  2.1834460E-08  2.1337678E-08  9.9953059E-03
    k40     40   3.0049835E-10  3.0424951E-10  3.7511678E-12  2.8015609E-10  3.4543937E-12  1.9090283E+00
    k41     41   8.6938412E-10  2.6272766E-09  1.7578925E-09  2.4192235E-09  1.6188165E-09  1.7447837E-01
   ca40     40  -1.4517298E-08  3.8666207E-07  4.0117936E-07  3.5604242E-07  3.6943999E-07 -1.6042162E-02
   ca41     41   7.3270404E-11  7.3270404E-11  0.0000000E+00  6.7468142E-11  0.0000000E+00  0.0000000E+00
   ca42     42   6.3311778E-10  3.4445657E-09  2.8114480E-09  3.1717917E-09  2.5890199E-09  8.8169277E-02
   ca43     43   1.5360502E-10  7.5418605E-10  6.0058103E-10  6.9446232E-10  5.5306598E-10  9.8871753E-02
   ca44     44   4.6814108E-10  9.9642827E-09  9.4961417E-09  9.1752144E-09  8.7448528E-09  2.0863734E-02
   ca45     45   1.0826491E-27  1.0826491E-27  0.0000000E+00  9.9691449E-28  0.0000000E+00  0.0000000E+00
   ca46     46   7.0593598E-10  7.2497303E-10  1.9037024E-11  6.6756267E-10  1.7530906E-11  1.5806876E+00
   ca47     47  -2.2347468E-36 -2.2347468E-36  0.0000000E+00 -2.0577781E-36  0.0000000E+00  0.0000000E+00
   ca48     48   4.4572124E-12  9.3312924E-10  9.2867203E-10  8.5923507E-10  8.5520002E-10  2.0443143E-03
   sc45     45   1.9464289E-10  4.6255261E-10  2.6790972E-10  4.2592321E-10  2.4671401E-10  2.3713751E-01
   sc46     46   1.0729899E-28  1.0729899E-28  0.0000000E+00  9.8802018E-29  0.0000000E+00  0.0000000E+00
   sc47     47  -6.1060030E-36 -6.1060030E-36  0.0000000E+00 -5.6224708E-36  0.0000000E+00  0.0000000E+00
   sc48     48   8.1125567E-34  1.6978415E-31  1.6897289E-31  1.5633900E-31  1.5560458E-31  0.0000000E+00
   ti46     46   5.2094995E-11  1.6888873E-09  1.6367923E-09  1.5551449E-09  1.5072972E-09  1.3571953E-02
   ti47     47   3.5215164E-12  1.5116904E-09  1.5081689E-09  1.3919802E-09  1.3888499E-09  9.7775052E-04
   ti48     48  -8.4780183E-10  1.4414042E-08  1.5261843E-08  1.3272598E-08  1.4054399E-08 -2.4856323E-02
   ti49     49   8.1669427E-10  1.9600286E-09  1.1433343E-09  1.8048146E-09  1.0528793E-09  2.3405401E-01
   ti50     50   3.1142773E-09  4.2313548E-09  1.1170777E-09  3.8962753E-09  1.0286999E-09  5.7836097E-01
    v51     51  -3.7321701E-11  2.4245344E-09  2.4618561E-09  2.2325364E-09  2.2670859E-09 -6.6694226E-03
   cr52     52  -2.9454341E-09  9.7973150E-08  1.0091858E-07  9.0214691E-08  9.2934400E-08 -1.2899226E-02
   cr53     53  -2.8654057E-10  1.1376835E-08  1.1663376E-08  1.0475908E-08  1.0740626E-08 -1.0837910E-02
   cr54     54   2.4535505E-09  5.4115881E-09  2.9580376E-09  4.9830464E-09  2.7240119E-09  2.6228595E-01
   mn55     55   4.3681894E-09  9.2502617E-08  8.8134428E-08  8.5177369E-08  8.1161666E-08  2.0973263E-02
   fe54     54  -4.2857721E-08  5.3786636E-07  5.8072408E-07  4.9527290E-07  5.3477999E-07 -3.3330593E-02
   fe55     55   7.3633331E-23  7.3633331E-23  0.0000000E+00  6.7802330E-23  0.0000000E+00  0.0000000E+00
   fe56     56  -3.7822883E-07  9.0750555E-06  9.4532843E-06  8.3564046E-06  8.7053859E-06 -1.7768579E-02
   fe57     57   8.9506955E-08  3.1172539E-07  2.2221843E-07  2.8703997E-07  2.0463759E-07  1.4695697E-01
   fe58     58   1.1766126E-07  1.4775365E-07  3.0092391E-08  1.3605309E-07  2.7711625E-08  6.9104642E-01
   fe59     59   1.8857982E-27  1.8857982E-27  0.0000000E+00  1.7364625E-27  0.0000000E+00  0.0000000E+00
   fe60     60   4.0510160E-09  4.0510160E-09  0.0000000E+00  3.7302175E-09  0.0000000E+00  0.0000000E+00
   co59     59   2.3335376E-08  4.6542809E-08  2.3207432E-08  4.2857099E-08  2.1371372E-08  3.0219036E-01
   co60     60   8.1635596E-15  8.1635596E-15  0.0000000E+00  7.5170905E-15  0.0000000E+00  0.0000000E+00
   ni58     58  -2.5168987E-08  3.0688105E-07  3.3205004E-07  2.8257924E-07  3.0577985E-07 -3.4268629E-02
   ni59     59   4.3130707E-10  4.3130707E-10  0.0000000E+00  3.9715201E-10  0.0000000E+00  0.0000000E+00
   ni60     60   8.9113144E-09  1.4122753E-07  1.3231622E-07  1.3004377E-07  1.2184800E-07  2.8271167E-02
   ni61     61   7.8634530E-09  1.3711176E-08  5.8477232E-09  1.2625393E-08  5.3850795E-09  3.7005281E-01
   ni62     62   1.9040018E-08  3.7990198E-08  1.8950180E-08  3.4981767E-08  1.7450933E-08  3.0202308E-01
   ni63     63   2.1733074E-13  2.1733074E-13  0.0000000E+00  2.0012040E-13  0.0000000E+00  0.0000000E+00
   ni64     64   1.1823099E-08  1.6804742E-08  4.9816431E-09  1.5473981E-08  4.5875197E-09  5.2802414E-01
