# Minitial =  1.00 msun, Z = 0.0001, Mfinal = 0.720 msun, no c13 pocket
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1  -3.7835059E-42 -3.7835059E-42  0.0000000E+00 -1.3512721E-41  0.0000000E+00  0.0000000E+00
      p      1  -5.8398247E-03  2.0969343E-01  2.1553326E-01  7.4890518E-01  7.6990002E-01 -1.2007486E-02
      d      2  -5.4089341E-08  3.7069732E-08  9.1159073E-08  1.3239192E-07  3.2562664E-07 -3.9085844E-01
    he3      3   7.2602626E-05  7.3182455E-05  5.7983175E-07  2.6136593E-04  2.0712000E-06  2.1010270E+00
    he4      4   5.4841042E-03  6.9872521E-02  6.4388417E-02  2.4954474E-01  2.2999999E-01  3.5420593E-02
    li7      7   1.1758103E-10  1.3368280E-10  1.6101769E-11  4.7743864E-10  5.7516662E-11  9.1912389E-01
    be7      7   4.8915295E-12  4.8915295E-12  0.0000000E+00  1.7469750E-11  0.0000000E+00  0.0000000E+00
     b8      8   3.6236930E-27  3.6236930E-27  0.0000000E+00  1.2941762E-26  0.0000000E+00  0.0000000E+00
    c12     12   2.6430414E-04  2.6909710E-04  4.7929620E-06  9.6106116E-04  1.7120798E-05  1.7492270E+00
    c13     13   2.2031949E-07  2.7837433E-07  5.8054837E-08  9.9419412E-07  2.0737599E-07  6.8071276E-01
    c14     14  -1.8229833E-11 -1.8229833E-11  0.0000000E+00 -6.5106552E-11  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   4.4781978E-06  5.8946312E-06  1.4164333E-06  2.1052256E-05  5.0595995E-06  6.1918253E-01
    n15     15   1.4347574E-09  4.8252278E-09  3.3904703E-09  1.7232958E-08  1.2110999E-08  1.5317985E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   1.2397114E-05  2.4123048E-05  1.1725934E-05  8.6153756E-05  4.1885865E-05  3.1320673E-01
    o17     17   7.6002493E-08  8.0735617E-08  4.7331268E-09  2.8834151E-07  1.6907064E-08  1.2318389E+00
    o18     18  -3.8679655E-09  2.2578206E-08  2.6446171E-08  8.0636461E-08  9.4467595E-08 -6.8751402E-02
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   5.8888441E-09  6.5724830E-09  6.8363892E-10  2.3473156E-08  2.4420066E-09  9.8282462E-01
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   2.1755727E-07  2.5906345E-06  2.3730772E-06  9.2522669E-06  8.4767998E-06  3.8016219E-02
   ne21     21   2.8744553E-08  3.4717559E-08  5.9730056E-09  1.2399130E-07  2.1336000E-08  7.6427817E-01
   ne22     22   1.2248479E-06  1.4167877E-06  1.9193982E-07  5.0599565E-06  6.8562258E-07  8.6806166E-01
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   1.7889413E-24  1.7889413E-24  0.0000000E+00  6.3890768E-24  0.0000000E+00  0.0000000E+00
   na23     23   3.6635129E-08  9.1309481E-08  5.4674352E-08  3.2610532E-07  1.9530066E-07  2.2265418E-01
   na24     24  -2.4620814E-42 -2.4620814E-42  0.0000000E+00 -8.7931479E-42  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24   7.6818196E-09  1.1396638E-06  1.1319820E-06  4.0702284E-06  4.0435198E-06  2.8591987E-03
   mg25     25   1.1824994E-09  1.5046099E-07  1.4927849E-07  5.3736073E-07  5.3323333E-07  3.3486604E-03
   mg26     26   1.4600445E-08  1.8553322E-07  1.7093278E-07  6.6261873E-07  6.1058398E-07  3.5518307E-02
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   2.0148819E-10  2.0148819E-10  0.0000000E+00  7.1960077E-10  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   4.1558010E-09  1.0824836E-07  1.0409256E-07  3.8660133E-07  3.7182599E-07  1.6923593E-02
   al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si28     28   7.0582473E-09  1.2604488E-06  1.2533906E-06  4.5016031E-06  4.4772000E-06  2.3606890E-03
   si29     29   7.2370199E-10  6.6640830E-08  6.5917128E-08  2.3800298E-07  2.3546065E-07  4.6640569E-03
   si30     30   2.3811637E-09  4.7333238E-08  4.4952074E-08  1.6904730E-07  1.6057200E-07  2.2338426E-02
    p31     31   3.4766980E-09  1.4376818E-08  1.0900120E-08  5.1345783E-08  3.8935998E-08  1.2015349E-01
    p32     32   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p33     33   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    s32     32  -2.8364866E-10  6.0034648E-07  6.0063013E-07  2.1440949E-06  2.1454932E-06 -2.8315536E-04
    s33     33   1.8160584E-11  4.9771156E-09  4.9589550E-09  1.7775415E-08  1.7713738E-08  1.5095284E-03
    s34     34   5.3598548E-10  2.9376398E-08  2.8840413E-08  1.0491572E-07  1.0301999E-07  7.9190321E-03
    s35     35   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    s36     36   1.5437576E-10  2.9674024E-10  1.4236448E-10  1.0597867E-09  5.0853599E-10  3.1889680E-01
   cl35     35  -1.1416201E-11  6.1501075E-09  6.1615237E-09  2.1964672E-08  2.2009399E-08 -8.8345417E-04
   cl36     36   3.5048848E-14  3.5048848E-14  0.0000000E+00  1.2517447E-13  0.0000000E+00  0.0000000E+00
   cl37     37   5.8133942E-11  2.1399122E-09  2.0817783E-09  7.6425444E-09  7.4362601E-09  1.1883412E-02
   ar36     36  -4.1259085E-10  1.1432423E-07  1.1473682E-07  4.0830088E-07  4.0984804E-07 -1.6425382E-03
   ar37     37   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ar38     38   3.6099124E-11  2.2056231E-08  2.2020131E-08  7.8772260E-08  7.8657465E-08  6.3338171E-04
   ar39     39   1.2006551E-14  1.2006551E-14  0.0000000E+00  4.2880545E-14  0.0000000E+00  0.0000000E+00
   ar40     40   7.2166710E-11  1.0923951E-10  3.7072796E-11  3.9014114E-10  1.3242665E-10  4.6924639E-01
    k39     39   7.5095485E-12  5.9809855E-09  5.9734759E-09  2.1360664E-08  2.1337678E-08  4.6761116E-04
    k40     40  -3.2231016E-13  6.4474625E-13  9.6705640E-13  2.3026654E-12  3.4543937E-12 -1.7614099E-01
    k41     41   7.4666107E-12  4.6065374E-10  4.5318713E-10  1.6451921E-09  1.6188165E-09  7.0190062E-03
   ca40     40  -3.5881698E-10  1.0306579E-07  1.0342460E-07  3.6809215E-07  3.6943999E-07 -1.5873517E-03
   ca41     41  -5.2119319E-16 -5.2119319E-16  0.0000000E+00 -1.8614045E-15  0.0000000E+00  0.0000000E+00
   ca42     42   1.1734669E-11  7.3652989E-10  7.2479522E-10  2.6304641E-09  2.5890199E-09  6.8969834E-03
   ca43     43   3.3395092E-12  1.5817014E-10  1.5483063E-10  5.6489341E-10  5.5306598E-10  9.1895582E-03
   ca44     44   1.5223378E-11  2.4633420E-09  2.4481186E-09  8.7976506E-09  8.7448528E-09  2.6142094E-03
   ca45     45   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ca46     46   2.3571841E-11  2.8479613E-11  4.9077717E-12  1.0171292E-10  1.7530906E-11  7.6357174E-01
   ca47     47   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ca48     48   1.3314350E-12  2.4074437E-10  2.3941293E-10  8.5980140E-10  8.5520002E-10  2.3304624E-03
   sc45     45   4.4195758E-12  7.3487078E-11  6.9067502E-11  2.6245386E-10  2.4671401E-10  2.6859151E-02
   sc46     46   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   sc47     47   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   sc48     48   2.4238694E-34  4.3803839E-32  4.3561452E-32  1.5644230E-31  1.5560458E-31  0.0000000E+00
   ti46     46   1.8088309E-12  4.2377618E-10  4.2196735E-10  1.5134866E-09  1.5072972E-09  1.7796847E-03
   ti47     47   1.6603385E-12  3.9046841E-10  3.8880807E-10  1.3945302E-09  1.3888499E-09  1.7725694E-03
   ti48     48  -9.1020524E-12  3.9254222E-09  3.9345243E-09  1.4019366E-08  1.4054399E-08 -1.0838768E-03
   ti49     49   1.0011769E-11  3.0476499E-10  2.9475322E-10  1.0884466E-09  1.0528793E-09  1.4428517E-02
   ti50     50   8.4829477E-11  3.7281367E-10  2.8798419E-10  1.3314775E-09  1.0286999E-09  1.1204514E-01
    v51     51   2.2906121E-12  6.3696054E-10  6.3466993E-10  2.2748594E-09  2.2670859E-09  1.4866206E-03
   cr52     52  -6.2586381E-11  2.5954366E-08  2.6016952E-08  9.2694172E-08  9.2934400E-08 -1.1240762E-03
   cr53     53  -7.6634254E-12  2.9991714E-09  3.0068348E-09  1.0711327E-08  1.0740626E-08 -1.1863160E-03
   cr54     54   4.0616843E-11  8.0320306E-10  7.6258622E-10  2.8685827E-09  2.7240119E-09  2.2458350E-02
   mn55     55  -8.0554230E-11  2.2640627E-08  2.2721181E-08  8.0859394E-08  8.1161666E-08 -1.6204783E-03
   fe54     54  -5.8741989E-10  1.4912405E-07  1.4971147E-07  5.3258594E-07  5.3477999E-07 -1.7854481E-03
   fe55     55   5.5066300E-26  5.5066300E-26  0.0000000E+00  1.9666538E-25  0.0000000E+00  0.0000000E+00
   fe56     56  -8.6834007E-09  2.4283866E-06  2.4370700E-06  8.6728096E-06  8.7053859E-06 -1.6282212E-03
   fe57     57   1.3962165E-12  5.7289622E-08  5.7288226E-08  2.0460581E-07  2.0463759E-07 -6.7438181E-05
   fe58     58   9.8586650E-10  8.7437266E-09  7.7578601E-09  3.1227600E-08  2.7711625E-08  5.1876634E-02
   fe59     59   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   fe60     60   1.8710883E-10  1.8710883E-10  0.0000000E+00  6.6824590E-10  0.0000000E+00  0.0000000E+00
   co59     59   2.9642067E-10  6.2793291E-09  5.9829084E-09  2.2426178E-08  2.1371372E-08  2.0922843E-02
   co60     60   3.7706100E-16  3.7706100E-16  0.0000000E+00  1.3466465E-15  0.0000000E+00  0.0000000E+00
   ni58     58  -3.3575986E-10  8.5267203E-08  8.5602963E-08  3.0452577E-07  3.0577985E-07 -1.7848242E-03
   ni59     59  -4.6221958E-16 -4.6221958E-16  0.0000000E+00 -1.6507844E-15  0.0000000E+00  0.0000000E+00
   ni60     60   1.4351542E-10  3.4254821E-08  3.4111306E-08  1.2233866E-07  1.2184800E-07  1.7452927E-03
   ni61     61   1.2464008E-10  1.6321913E-09  1.5075512E-09  5.8292553E-09  5.3850795E-09  3.4420963E-02
   ni62     62   5.4970117E-10  5.4350839E-09  4.8853828E-09  1.9411017E-08  1.7450933E-08  4.6229631E-02
   ni63     63   1.1742404E-14  1.1742404E-14  0.0000000E+00  4.1937164E-14  0.0000000E+00  0.0000000E+00
   ni64     64   4.9602988E-10  1.7803045E-09  1.2842746E-09  6.3582308E-09  4.5875197E-09  1.4175835E-01
   cu63     63   1.9133373E-10  1.2513777E-09  1.0600439E-09  4.4692063E-09  3.7865520E-09  7.1986482E-02
   cu64     64   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   cu65     65   1.0532020E-10  5.9279837E-10  4.8747817E-10  2.1171371E-09  1.7413065E-09  8.4873736E-02
   zn64     64  -6.1417538E-12  1.8100225E-09  1.8161642E-09  6.4643668E-09  6.4874670E-09 -1.5491616E-03
   zn65     65   8.5904731E-36  8.5904731E-36  0.0000000E+00  3.0680265E-35  0.0000000E+00  0.0000000E+00
   zn66     66   1.0751933E-10  1.1820367E-09  1.0745174E-09  4.2215600E-09  3.8382519E-09  4.1339505E-02
   zn67     67   2.4232727E-11  1.8452687E-10  1.6029414E-10  6.5902461E-10  5.7258198E-10  6.1063953E-02
   zn68     68   1.9050478E-10  9.3450492E-10  7.4400014E-10  3.3375178E-09  2.6576212E-09  9.8930508E-02
   zn69     69   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   zn70     70   1.4217412E-12  2.6746921E-11  2.5325179E-11  9.5524727E-11  9.0463331E-11  2.3643227E-02
   ga69     69   3.0455624E-11  9.8664854E-11  6.8209230E-11  3.5237452E-10  2.4364818E-10  1.6024132E-01
   ga70     70   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ga71     71   3.1830608E-11  7.8411673E-11  4.6581065E-11  2.8004171E-10  1.6639086E-10  2.2609326E-01
   ge70     70   5.0195945E-11  1.2606435E-10  7.5868409E-11  4.5022988E-10  2.7100733E-10  2.2045329E-01
   ge71     71   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ge72     72   5.7462424E-11  1.6058646E-10  1.0312404E-10  5.7352312E-10  3.6836637E-10  1.9227098E-01
   ge73     73   1.6583835E-11  4.5930398E-11  2.9346563E-11  1.6403716E-10  1.0482800E-10  1.9446494E-01
   ge74     74   8.3261453E-11  2.2288914E-10  1.3962768E-10  7.9603274E-10  4.9875998E-10  2.0303935E-01
   as75     75   7.6660830E-12  2.8136000E-11  2.0469917E-11  1.0048572E-10  7.3119996E-11  1.3806821E-01
   se76     76   2.8597319E-11  4.9908952E-11  2.1311633E-11  1.7824628E-10  7.6126661E-11  3.6948371E-01
   se77     77   1.1468914E-11  2.9051527E-11  1.7582612E-11  1.0375546E-10  6.2806330E-11  2.1800756E-01
   se78     78   8.1179036E-11  1.3666596E-10  5.5486917E-11  4.8809273E-10  1.9820319E-10  3.9139169E-01
   se79     79   5.2841813E-13  5.2841813E-13  0.0000000E+00  1.8872078E-12  0.0000000E+00  0.0000000E+00
   se80     80   1.1893980E-10  2.3771460E-10  1.1877480E-10  8.4898077E-10  4.2427198E-10  3.0125350E-01
   br79     79   1.7769107E-11  3.6762347E-11  1.8993239E-11  1.3129411E-10  6.7845195E-11  2.8672618E-01
   br80     80   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   br81     81   1.6107985E-11  3.5052961E-11  1.8944976E-11  1.2518915E-10  6.7672798E-11  2.6715258E-01
   kr80     80  -1.7781783E-14  4.5087428E-12  4.5265246E-12  1.6102654E-11  1.6169066E-11 -1.7874755E-03
   kr81     81   2.9727160E-19  2.9727160E-19  0.0000000E+00  1.0616844E-18  0.0000000E+00  0.0000000E+00
   kr82     82   6.2474567E-11  8.5722741E-11  2.3248176E-11  3.0615269E-10  8.3044127E-11  5.6662917E-01
   kr83     83   2.0287477E-11  4.3599201E-11  2.3311724E-11  1.5571144E-10  8.3271126E-11  2.7182609E-01
   kr84     84   1.6674673E-10  2.8301966E-10  1.1627294E-10  1.0107846E-09  4.1533516E-10  3.8625991E-01
   kr-5     85   2.3710114E-25  2.3710114E-25  0.0000000E+00  8.4678992E-25  0.0000000E+00  0.0000000E+00
   kr*5     85   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   kr86     86   1.6620983E-09  1.6980979E-09  3.5999547E-11  6.0646359E-09  1.2859293E-10  1.6735877E+00
   rb85     85   5.9561439E-11  8.6837676E-11  2.7276240E-11  3.1013458E-10  9.7432659E-11  5.0284564E-01
   rb86     86   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   rb87     87   2.3625157E-10  2.4774124E-10  1.1489682E-11  8.8479024E-10  4.1041955E-11  1.3336123E+00
   sr86     86   3.9190946E-11  4.7997023E-11  8.8060783E-12  1.7141796E-10  3.1455932E-11  7.3635375E-01
   sr87     87   2.1309617E-11  2.7535238E-11  6.2256216E-12  9.8340149E-11  2.2238360E-11  6.4562809E-01
   sr88     88   7.8501933E-10  8.6051749E-10  7.5498163E-11  3.0732770E-09  2.6968477E-10  1.0567453E+00
   sr89     89   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   sr90     90   8.7462842E-19  8.7462842E-19  0.0000000E+00  3.1236733E-18  0.0000000E+00  0.0000000E+00
    y89     89   2.6336233E-10  2.8310704E-10  1.9744718E-11  1.0110967E-09  7.0529527E-11  1.1564218E+00
    y90     90   2.2118678E-22  2.2118678E-22  0.0000000E+00  7.8995284E-22  0.0000000E+00  0.0000000E+00
    y91     91   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   zr90     90   2.5233421E-10  2.7379740E-10  2.1463180E-11  9.7784791E-10  7.6667998E-11  1.1056572E+00
   zr91     91   7.5385136E-11  8.0117787E-11  4.7326535E-12  2.8613498E-10  1.6905373E-11  1.2285461E+00
   zr92     92   1.6486230E-10  1.7217562E-10  7.3133218E-12  6.1491301E-10  2.6123704E-11  1.3717790E+00
   zr93     93   2.5631565E-11  2.5631565E-11  0.0000000E+00  9.1541309E-11  0.0000000E+00  0.0000000E+00
   zr94     94   2.0599333E-10  2.1356582E-10  7.5724817E-12  7.6273515E-10  2.7049439E-11  1.4502155E+00
   zr95     95   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   zr96     96   2.0513578E-10  2.0638172E-10  1.2459327E-12  7.3707762E-10  4.4505597E-12  2.2190986E+00
   nb93     93   2.6990075E-11  3.0260110E-11  3.2700359E-12  1.0807184E-10  1.1680800E-11  9.6623993E-01
   nb94     94  -2.5267647E-20 -2.5267647E-20  0.0000000E+00 -9.0241605E-20  0.0000000E+00  0.0000000E+00
   nb95     95   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mo94     94  -4.0157764E-15  1.0208411E-12  1.0248568E-12  3.6458614E-12  3.6608611E-12 -1.7831088E-03
   mo95     95   2.1958742E-11  2.3751437E-11  1.7926949E-12  8.4826569E-11  6.4036333E-12  1.1221055E+00
   mo96     96   4.5213847E-11  4.7120731E-11  1.9068826E-12  1.6828834E-10  6.8115192E-12  1.3928101E+00
   mo97     97   2.1869255E-11  2.2978595E-11  1.1093408E-12  8.2066416E-11  3.9626440E-12  1.3161805E+00
