# Minitial =  1.00 msun, Z = 0.0001, Mfinal = 0.720 msun, c13 pocket included (pmz = 2e-3msun)
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1  -9.9798795E-40 -9.9798795E-40  0.0000000E+00 -3.5642433E-39  0.0000000E+00  0.0000000E+00
      p      1  -5.8303624E-03  2.0970289E-01  2.1553326E-01  7.4893898E-01  7.6990002E-01 -1.1987899E-02
      d      2  -5.4149496E-08  3.7009578E-08  9.1159073E-08  1.3217708E-07  3.2562664E-07 -3.9156377E-01
    he3      3   7.2590970E-05  7.3170799E-05  5.7983175E-07  2.6132431E-04  2.0712000E-06  2.1009579E+00
    he4      4   5.4757968E-03  6.9864213E-02  6.4388417E-02  2.4951507E-01  2.2999999E-01  3.5368960E-02
    li7      7   1.1796457E-10  1.3406634E-10  1.6101769E-11  4.7880844E-10  5.7516662E-11  9.2036813E-01
    be7      7   4.8905840E-12  4.8905840E-12  0.0000000E+00  1.7466374E-11  0.0000000E+00  0.0000000E+00
     b8      8   3.6280202E-27  3.6280202E-27  0.0000000E+00  1.2957216E-26  0.0000000E+00  0.0000000E+00
    c12     12   2.5612235E-04  2.6091532E-04  4.7929620E-06  9.3184051E-04  1.7120798E-05  1.7358176E+00
    c13     13   2.1644411E-07  2.7449894E-07  5.8054837E-08  9.8035343E-07  2.0737599E-07  6.7462420E-01
    c14     14  -1.2085609E-10 -1.2085609E-10  0.0000000E+00 -4.3162893E-10  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   4.5820075E-06  5.9984409E-06  1.4164333E-06  2.1423006E-05  5.0595995E-06  6.2676430E-01
    n15     15   8.4319955E-09  1.1822466E-08  3.3904703E-09  4.2223096E-08  1.2110999E-08  5.4237008E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
