# Minitial =  2.00 msun, Z = 0.0001, Mfinal = 0.685 msun, c13 pocket included (pmz = 2e-3msun)
# Initial abundances up to Ge from Kobayashi, Karakas, Umeda (2010); the rest scaled solar from Sneden, Cowan & Gallino (2008)
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -1.7553872E-01  8.3668166E-01  1.0122204E+00  4.6098161E-01  7.6980817E-01 -2.2269893E-01
      d      2  -6.5771164E-05  2.2365229E-07  6.5994820E-05  1.2322440E-07  5.0190014E-05 -2.6099205E+00
    he3      3   1.9441218E-04  2.2419899E-04  2.9786810E-05  1.2352561E-04  2.2653297E-05  7.3662555E-01
    he4      4   1.3203287E-01  4.3442369E-01  3.0239081E-01  2.3935188E-01  2.2997259E-01  1.7360756E-02
    li7      7  -7.4171902E-10  9.4686141E-11  8.3640517E-10  5.2168672E-11  6.3609817E-10 -1.0861144E+00
    be7      7   1.6476076E-13  1.6476076E-13  0.0000000E+00  9.0777273E-14  0.0000000E+00  0.0000000E+00
     b8      8   9.0968159E-29  9.0968159E-29  0.0000000E+00  5.0120196E-29  0.0000000E+00  0.0000000E+00
    c12     12   3.3991300E-02  3.4005255E-02  1.3953416E-05  1.8735677E-02  1.0611775E-05  3.2468812E+00
    c13     13   1.5283766E-06  1.5367177E-06  8.3410701E-09  8.4667641E-07  6.3435039E-09  2.1253881E+00
    c14     14   3.9555932E-08  3.9555932E-08  0.0000000E+00  2.1793902E-08  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   7.1359871E-05  7.1970870E-05  6.1100036E-07  3.9653369E-05  4.6467460E-07  1.9311311E+00
    n15     15   3.3847755E-08  3.4033409E-08  1.8565285E-10  1.8751189E-08  1.4119167E-10  2.1232197E+00
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   9.8245789E-04  1.0896483E-03  1.0719045E-04  6.0035719E-04  8.1519880E-05  8.6714619E-01
    o17     17   1.6296827E-06  1.6315172E-06  1.8344276E-09  8.9890750E-07  1.3951087E-09  2.8091071E+00
    o18     18  -3.3084593E-09  2.2773143E-08  2.6081603E-08  1.2547186E-08  1.9835435E-08 -1.9889536E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   1.2550851E-05  1.2550940E-05  8.8904217E-11  6.9151183E-06  6.7612936E-11  5.0097699E+00
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   1.4668897E-04  1.6997333E-04  2.3284356E-05  9.3649214E-05  1.7708087E-05  7.2333252E-01
   ne21     21   4.3309101E-06  4.3409914E-06  1.0081367E-08  2.3917307E-06  7.6670252E-09  2.4940853E+00
   ne22     22   7.6602893E-03  7.6603377E-03  4.8552394E-08  4.2205718E-03  3.6924796E-08  5.0580530E+00
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   3.2823937E-23  3.2823937E-23  0.0000000E+00  1.8084813E-23  0.0000000E+00  0.0000000E+00
   na23     23   2.3708175E-04  2.3724305E-04  1.6129829E-07  1.3071242E-04  1.2266968E-07  3.0275795E+00
   na24     24   3.5621007E-42  3.5621007E-42  0.0000000E+00  1.9632191E-42  0.0000000E+00  0.0000000E+00
