# Minitial =  3.00 msun, Z = 0.0001, Mfinal = 0.813 msun, c13 pocket (pmz = 5e-4 msun)
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -1.0295296E-01  1.5807022E+00  1.6836551E+00  7.2277188E-01  7.6990002E-01 -2.7433079E-02
      d      2  -7.1110679E-07  9.8954722E-10  7.1209632E-07  4.5246787E-10  3.2562664E-07 -2.8571322E+00
    he3      3   2.1047410E-04  2.1500350E-04  4.5294018E-06  9.8309785E-05  2.0712000E-06  1.6763747E+00
    he4      4   7.6759398E-02  5.7973468E-01  5.0297529E-01  2.6508215E-01  2.2999999E-01  6.1652672E-02
    li7      7   7.1549351E-08  7.1675132E-08  1.2578026E-10  3.2773265E-08  5.7516662E-11  2.7557261E+00
    be7      7   3.9403725E-09  3.9403725E-09  0.0000000E+00  1.8017249E-09  0.0000000E+00  0.0000000E+00
     b8      8   6.3206313E-22  6.3206313E-22  0.0000000E+00  2.8900920E-22  0.0000000E+00  0.0000000E+00
    c12     12   2.2508468E-02  2.2545910E-02  3.7440601E-05  1.0309057E-02  1.7120798E-05  2.7796950E+00
    c13     13   6.2919251E-04  6.2964601E-04  4.5349998E-07  2.8790397E-04  2.0737599E-07  3.1424892E+00
    c14     14   9.8318552E-08  9.8318552E-08  0.0000000E+00  4.4955897E-08  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   1.6773172E-04  1.7879630E-04  1.1064581E-05  8.1754137E-05  5.0595995E-06  1.2083936E+00
    n15     15  -2.0735911E-08  5.7490186E-09  2.6484930E-08  2.6287237E-09  1.2110999E-08 -6.6343504E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   5.7855964E-04  6.7015772E-04  9.1598071E-05  3.0642786E-04  4.1885865E-05  8.6426079E-01
    o17     17   1.1223765E-06  1.1593497E-06  3.6973198E-08  5.3010962E-07  1.6907064E-08  1.4962975E+00
    o18     18  -1.3374765E-07  7.2838738E-08  2.0658638E-07  3.3305319E-08  9.4467595E-08 -4.5276928E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   9.8038095E-07  9.8572127E-07  5.3402998E-09  4.5071846E-07  2.4420066E-09  2.2661586E+00
