# Minitial =  5.50 msun, Z = 0.0001, Mfinal = 0.966 msun
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -4.8766828E-01  3.0028455E+00  3.4905138E+00  6.6229498E-01  7.6990002E-01 -6.5382876E-02
      d      2  -1.4757892E-06  5.1192522E-10  1.4763011E-06  1.1290808E-10  3.2562664E-07 -3.4599948E+00
    he3      3  -7.8472185E-06  1.5430300E-06  9.3902481E-06  3.4032422E-07  2.0712000E-06 -7.8432918E-01
    he4      4   4.5025301E-01  1.4930093E+00  1.0427563E+00  3.2929188E-01  2.2999999E-01  1.5585321E-01
    li7      7  -8.2752374E-11  1.7801226E-10  2.6076463E-10  3.9261636E-11  5.7516662E-11 -1.6582528E-01
    be7      7   6.0179239E-10  6.0179239E-10  0.0000000E+00  1.3272880E-10  0.0000000E+00  0.0000000E+00
     b8      8   1.0741956E-25  1.0741956E-25  0.0000000E+00  2.3692007E-26  0.0000000E+00  0.0000000E+00
    c12     12   2.6803017E-03  2.7579227E-03  7.7620964E-05  6.0827588E-04  1.7120798E-05  1.5505766E+00
    c13     13   4.4336982E-04  4.4431002E-04  9.4018537E-07  9.7995151E-05  2.0737599E-07  2.6744461E+00
    c14     14   1.5406335E-09  1.5406335E-09  0.0000000E+00  3.3979566E-10  0.0000000E+00  0.0000000E+00
    n13     13   2.6153835E-41  2.6153835E-41  0.0000000E+00  5.7677445E-42  0.0000000E+00  0.0000000E+00
    n14     14   3.2736894E-02  3.2759834E-02  2.2938824E-05  7.2253714E-03  5.0595995E-06  3.1547439E+00
    n15     15   1.0434346E-06  1.0983425E-06  5.4907922E-08  2.4224582E-07  1.2110999E-08  1.3010763E+00
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   4.6789838E-04  6.5779733E-04  1.8989893E-04  1.4508102E-04  4.1885865E-05  5.3954309E-01
    o17     17   2.1781882E-06  2.2548402E-06  7.6651958E-08  4.9731807E-07  1.6907064E-08  1.4685661E+00
    o18     18  -4.2640104E-07  1.8889144E-09  4.2828995E-07  4.1661102E-10  9.4467595E-08 -2.3555522E+00
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18  -1.0888349E-31 -1.0888349E-31  0.0000000E+00 -2.4014885E-32  0.0000000E+00  0.0000000E+00
    f19     19  -7.5616597E-09  3.5097218E-09  1.1071382E-08  7.7408951E-10  2.4420066E-09 -4.9895564E-01
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   2.5839396E-05  6.4270862E-05  3.8431466E-05  1.4175312E-05  8.4767998E-06  2.2330071E-01
   ne21     21   1.9444593E-07  2.9117746E-07  9.6731519E-08  6.4220878E-08  2.1336000E-08  4.7856325E-01
   ne22     22   5.7839352E-04  5.8150192E-04  3.1084232E-06  1.2825363E-04  6.8562258E-07  2.2719846E+00
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   4.2283771E-10  4.2283771E-10  0.0000000E+00  9.3259310E-11  0.0000000E+00  0.0000000E+00
   na23     23   1.4261173E-05  1.5146612E-05  8.8543914E-07  3.3406732E-06  1.9530066E-07  1.2331303E+00
   na24     24  -1.3001199E-29 -1.3001199E-29  0.0000000E+00 -2.8674900E-30  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24  -1.2926386E-05  5.4058132E-06  1.8332199E-05  1.1922834E-06  4.0435198E-06 -5.3038001E-01
   mg25     25   1.0588882E-04  1.0830635E-04  2.4175324E-06  2.3887593E-05  5.3323333E-07  1.6512551E+00
   mg26     26   3.3347736E-04  3.3624558E-04  2.7682188E-06  7.4160911E-05  6.1058398E-07  2.0844297E+00
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   5.5119840E-06  5.5119840E-06  0.0000000E+00  1.2157001E-06  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   1.5719450E-05  1.7405206E-05  1.6857563E-06  3.8388193E-06  3.7182599E-07  1.0138580E+00
