# Initial mass = 2.360, Z =  0.0006, Y =  0.300, M_mix = 1.00E-03
# Final mass = 0.752, Mass expelled =   1.6080
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -3.7549257E-02  1.0870029E+00  1.1245521E+00  6.7599684E-01  6.9939989E-01 -1.4780901E-02
      d      2  -3.1409572E-06  4.5668494E-10  3.1414140E-06  2.8400807E-10  1.9537597E-06 -3.8375404E+00
    he3      3   2.0053377E-04  2.2051523E-04  1.9981460E-05  1.3713635E-04  1.2427197E-05  1.0427794E+00
    he4      4   6.6401094E-02  5.4876548E-01  4.8236439E-01  3.4127209E-01  2.9999998E-01  5.5979554E-02
    li7      7  -1.9761859E-09  2.3284363E-10  2.2090294E-09  1.4480327E-10  1.3738758E-09 -9.7716910E-01
    be7      7   1.5176985E-12  1.5176985E-12  0.0000000E+00  9.4384244E-13  0.0000000E+00  0.0000000E+00
     b8      8   2.5512096E-28  2.5512096E-28  0.0000000E+00  1.5865731E-28  0.0000000E+00  0.0000000E+00
    c12     12   1.7896360E-02  1.8061530E-02  1.6516927E-04  1.1232295E-02  1.0272479E-04  2.0387933E+00
    c13     13   4.0022005E-06  6.0028160E-06  2.0006157E-06  3.7330947E-06  1.2442558E-06  4.7715932E-01
    c14     14   5.2189520E-08  5.2189520E-08  0.0000000E+00  3.2456171E-08  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   9.8639168E-05  1.4745058E-04  4.8811416E-05  9.1698130E-05  3.0357596E-05  4.8009309E-01
    n15     15  -6.5967662E-08  5.0870625E-08  1.1683829E-07  3.1635963E-08  7.2665983E-08 -3.6115009E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   3.8794061E-04  7.9202559E-04  4.0408497E-04  4.9255323E-04  2.5131516E-04  2.9223448E-01
    o17     17   1.2945094E-06  1.4576167E-06  1.6310733E-07  9.0647808E-07  1.0144239E-07  9.5113784E-01
    o18     18  -3.1983558E-07  5.9152040E-07  9.1135598E-07  3.6786096E-07  5.6680551E-07 -1.8775037E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   3.3353090E-06  3.3588676E-06  2.3558739E-08  2.0888481E-06  1.4652037E-08  2.1540089E+00
