# Initial mass = 2.360, Z =  0.0006, Y =  0.400, M_mix = 1.00E-04
# Final mass = 0.879, Mass expelled =   1.4810
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>           X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -4.4697046E-02  8.4294319E-01  8.8764024E-01  5.6917167E-01  5.9939992E-01 -2.2473423E-02
      d      2  -2.8931393E-06  1.4743219E-10  2.8932866E-06  9.9549084E-11  1.9537597E-06 -4.2928343E+00
    he3      3   9.7926822E-05  1.1633003E-04  1.8403207E-05  7.8548299E-05  1.2427197E-05  8.0076361E-01
    he4      4   3.7993789E-02  6.3034630E-01  5.9235251E-01  4.2562211E-01  3.9999995E-01  2.6964208E-02
    li7      7   7.0967103E-09  9.1312575E-09  2.0345472E-09  6.1656031E-09  1.3738757E-09  6.5202820E-01
    be7      7   4.2267425E-09  4.2267425E-09  0.0000000E+00  2.8539788E-09  0.0000000E+00  0.0000000E+00
     b8      8   7.0957107E-25  7.0957107E-25  0.0000000E+00  4.7911620E-25  0.0000000E+00  0.0000000E+00
    c12     12   6.2402063E-03  6.3923295E-03  1.5212322E-04  4.3162252E-03  1.0272479E-04  1.6234289E+00
    c13     13   6.5580818E-05  6.7423411E-05  1.8425953E-06  4.5525601E-05  1.2442558E-06  1.5633460E+00
    c14     14   3.2342840E-08  3.2342840E-08  0.0000000E+00  2.1838515E-08  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   9.6659656E-05  1.4161566E-04  4.4955999E-05  9.5621654E-05  3.0357594E-05  4.9828890E-01
    n15     15  -9.8485948E-08  9.1237684E-09  1.0760971E-07  6.1605463E-09  7.2665983E-08 -1.0717120E+00
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   1.0451322E-04  4.7668116E-04  3.7216794E-04  3.2186441E-04  2.5131516E-04  1.0745427E-01
    o17     17   4.5410206E-07  6.0432620E-07  1.5022412E-07  4.0805281E-07  1.0144238E-07  6.0449696E-01
    o18     18  -3.5035924E-07  4.8901245E-07  8.3937169E-07  3.3019074E-07  5.6680551E-07 -2.3466916E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   1.9268708E-07  2.1438501E-07  2.1697931E-08  1.4475694E-07  1.4652037E-08  9.9474144E-01
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20  -3.7490099E-07  7.4943899E-05  7.5318800E-05  5.0603579E-05  5.0860792E-05 -2.2018934E-03
   ne21     21   1.4748950E-07  3.3706598E-07  1.8957648E-07  2.2759352E-07  1.2801597E-07  2.4989575E-01
   ne22     22   9.2899718E-05  9.8991673E-05  6.0919542E-06  6.6841108E-05  4.1137350E-06  1.2108074E+00
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   1.7889898E-14  1.7889898E-14  0.0000000E+00  1.2079608E-14  0.0000000E+00  0.0000000E+00
   na23     23   2.2741451E-06  4.0094474E-06  1.7353024E-06  2.7072570E-06  1.1718038E-06  3.6367461E-01
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24  -4.9760274E-07  3.5430232E-05  3.5927835E-05  2.3923183E-05  2.4261117E-05 -6.0918177E-03
   mg25     25   2.8533991E-06  7.5913304E-06  4.7379312E-06  5.1258139E-06  3.1993995E-06  2.0469439E-01
   mg26     26   1.9316913E-06  7.3569054E-06  5.4252141E-06  4.9675259E-06  3.6635033E-06  1.3224356E-01
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   4.6423202E-07  3.7680129E-06  3.3037809E-06  2.5442357E-06  2.2309555E-06  5.7066400E-02
   al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si28     28   1.1524971E-06  4.0933704E-05  3.9781207E-05  2.7639235E-05  2.6863196E-05  1.2368348E-02
   si29     29   9.5012410E-08  2.1871479E-06  2.0921354E-06  1.4768049E-06  1.4127637E-06  1.9253584E-02
   si30     30   1.1154737E-07  1.5382757E-06  1.4267283E-06  1.0386736E-06  9.6343183E-07  3.2658119E-02
    p31     31   3.1589252E-08  3.7754677E-07  3.4595752E-07  2.5492693E-07  2.3361595E-07  3.7913229E-02
    p32     32   3.8113994E-33  3.8113994E-33  0.0000000E+00  2.5735311E-33  0.0000000E+00  0.0000000E+00
    p33     33   2.1175825E-32  2.1175825E-32  0.0000000E+00  1.4298330E-32  0.0000000E+00  0.0000000E+00
    s32     32  -6.2111212E-08  1.9001214E-05  1.9063325E-05  1.2829990E-05  1.2872958E-05 -1.4520650E-03
    s33     33   2.1997266E-09  1.5959139E-07  1.5739167E-07  1.0775922E-07  1.0628242E-07  5.9929457E-03
    s34     34   1.8484968E-08  9.3384722E-07  9.1536225E-07  6.3055182E-07  6.1811988E-07  8.6480761E-03
    s35     35   2.5488835E-27  2.5488835E-27  0.0000000E+00  1.7210559E-27  0.0000000E+00  0.0000000E+00
    s36     36   2.6258551E-09  7.1443438E-09  4.5184887E-09  4.8239999E-09  3.0512155E-09  1.9893444E-01
   cl35     35  -3.5589665E-10  1.9520394E-07  1.9555983E-07  1.3180551E-07  1.3205637E-07 -8.2582224E-04
   cl36     36   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   cl37     37   1.1602417E-08  7.7675722E-08  6.6073305E-08  5.2448161E-08  4.4617551E-08  7.0224538E-02
   ar36     36  -3.0556293E-08  3.6110609E-06  3.6416172E-06  2.4382587E-06  2.4590877E-06 -3.6942451E-03
   ar37     37   5.0632544E-27  5.0632544E-27  0.0000000E+00  3.4188080E-27  0.0000000E+00  0.0000000E+00
   ar38     38   1.4281170E-08  7.1317538E-07  6.9889421E-07  4.8154993E-07  4.7194470E-07  8.7502254E-03
   ar39     39   1.7592214E-11  1.7592214E-11  0.0000000E+00  1.1878606E-11  0.0000000E+00  0.0000000E+00
   ar40     40   2.2629472E-09  3.4395962E-09  1.1766489E-09  2.3224824E-09  7.9455986E-10  4.6582586E-01
    k39     39   2.0945663E-09  1.9168598E-07  1.8959142E-07  1.2943011E-07  1.2802606E-07  4.7369353E-03
