# Initial mass = 3.000, Z =  0.0006, Y =  0.400, M_mix = 1.00E-03
# Final mass = 0.914, Mass expelled =   2.0860
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>           X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -1.6389716E-01  1.0863606E+00  1.2502577E+00  5.2078646E-01  5.9939992E-01 -6.1056986E-02
      d      2  -4.0752052E-06  4.2827502E-11  4.0752479E-06  2.0530921E-11  1.9537597E-06 -4.9784632E+00
    he3      3  -2.5757758E-05  1.6349979E-07  2.5921257E-05  7.8379571E-08  1.2427197E-05 -2.2001705E+00
    he4      4   1.4501637E-01  9.7935587E-01  8.3433950E-01  4.6948987E-01  3.9999995E-01  6.9566272E-02
    li7      7  -2.5713547E-09  2.9434266E-10  2.8656972E-09  1.4110386E-10  1.3738757E-09 -9.8840857E-01
    be7      7   1.3495061E-09  1.3495061E-09  0.0000000E+00  6.4693484E-10  0.0000000E+00  0.0000000E+00
     b8      8   2.4006364E-25  2.4006364E-25  0.0000000E+00  1.1508324E-25  0.0000000E+00  0.0000000E+00
    c12     12   1.7241342E-03  1.9384025E-03  2.1426840E-04  9.2924380E-04  1.0272479E-04  9.5645446E-01
    c13     13   2.2914175E-04  2.3173708E-04  2.5953298E-06  1.1109161E-04  1.2442558E-06  1.9507716E+00
    c14     14   2.5985146E-06  2.5985146E-06  0.0000000E+00  1.2456925E-06  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   1.3236444E-02  1.3299766E-02  6.3321357E-05  6.3757268E-03  3.0357594E-05  2.3222625E+00
    n15     15   1.0827947E-07  2.5984974E-07  1.5157028E-07  1.2456843E-07  7.2665983E-08  2.3407686E-01
