# Initial mass = 4.000, Z =  0.0006, Y =  0.400, M_mix = 0.00E+00
# Final mass = 0.984, Mass expelled =   3.0160
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>           X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -3.1655419E-01  1.4911153E+00  1.8076695E+00  4.9440163E-01  5.9939992E-01 -8.3636783E-02
      d      2  -5.8921178E-06  2.8078572E-11  5.8921460E-06  9.3098715E-12  1.9537597E-06 -5.3219275E+00
    he3      3  -3.7460148E-05  1.7778737E-08  3.7477927E-05  5.8948069E-09  1.2427197E-05 -3.3239038E+00
    he4      4   2.9924941E-01  1.5055687E+00  1.2063193E+00  4.9919388E-01  3.9999995E-01  9.6209288E-02
    li7      7  -4.1397121E-09  3.6206669E-12  4.1433328E-09  1.2004864E-12  1.3738757E-09 -3.0585904E+00
    be7      7   4.3152346E-11  4.3152346E-11  0.0000000E+00  1.4307808E-11  0.0000000E+00  0.0000000E+00
     b8      8  -1.6233314E-26 -1.6233314E-26  0.0000000E+00 -5.3823987E-27  0.0000000E+00  0.0000000E+00
    c12     12   1.5385507E-03  1.8483481E-03  3.0979729E-04  6.1284751E-04  1.0272479E-04  7.7567720E-01
    c13     13   2.6270832E-04  2.6646073E-04  3.7524253E-06  8.8349050E-05  1.2442558E-06  1.8512923E+00
    c14     14   3.1394976E-08  3.1394976E-08  0.0000000E+00  1.0409475E-08  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   1.5667494E-02  1.5759047E-02  9.1552392E-05  5.2251485E-03  3.0357594E-05  2.2358315E+00
    n15     15   2.0039920E-07  4.1954519E-07  2.1914599E-07  1.3910650E-07  7.2665983E-08  2.8201628E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -4.1668434E-04  3.4123161E-04  7.5791596E-04  1.1314046E-04  2.5131516E-04 -3.4660080E-01
    o17     17   8.9112984E-07  1.1970596E-06  3.0592980E-07  3.9690306E-07  1.0144238E-07  5.9246498E-01
    o18     18  -1.7089086E-06  4.6267687E-10  1.7093713E-06  1.5340745E-10  5.6680551E-07 -3.5675876E+00
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   2.7550566E-08  7.1738164E-08  4.4187598E-08  2.3785864E-08  1.4652037E-08  2.1042092E-01
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   6.7788496E-06  1.6016477E-04  1.5338592E-04  5.3105028E-05  5.0860792E-05  1.8752528E-02
   ne21     21  -3.0964662E-07  7.6423802E-08  3.8607041E-07  2.5339457E-08  1.2801597E-07 -7.0346689E-01
   ne22     22   2.3465291E-04  2.4705910E-04  1.2406198E-05  8.1916151E-05  4.1137350E-06  1.2991333E+00
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   8.0681330E-11  8.0681330E-11  0.0000000E+00  2.6751105E-11  0.0000000E+00  0.0000000E+00
   na23     23   1.5383275E-06  5.0722520E-06  3.5339244E-06  1.6817812E-06  1.1718038E-06  1.5691459E-01
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24  -7.2381066E-05  7.8558094E-07  7.3166644E-05  2.6047113E-07  2.4261117E-05 -1.9691514E+00
