# Initial mass = 1.700, Z =  0.0006, Y =  0.240, M_mix = 2.00E-03
# Final mass = 0.662, Mass expelled =   1.0380
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -5.5650532E-02  7.3212326E-01  7.8777379E-01  7.0532095E-01  7.5899678E-01 -3.1853139E-02
      d      2  -1.8410224E-06  1.8573678E-07  2.0267591E-06  1.7893716E-07  1.9527226E-06 -1.0379400E+00
    he3      3   1.9558088E-04  2.0847241E-04  1.2891523E-05  2.0084046E-04  1.2420602E-05  1.2087086E+00
    he4      4   6.0601175E-02  3.0956841E-01  2.4896723E-01  2.9823542E-01  2.3987257E-01  9.4578624E-02
    li7      7  -8.1708856E-10  6.0812017E-10  1.4252087E-09  5.8585753E-10  1.3731466E-09 -3.6992490E-01
    be7      7   5.0186423E-13  5.0186423E-13  0.0000000E+00  4.8349150E-13  0.0000000E+00  0.0000000E+00
     b8      8   1.3100175E-27  1.3100175E-27  0.0000000E+00  1.2620592E-27  0.0000000E+00  0.0000000E+00
    c12     12   1.3146420E-02  1.3252983E-02  1.0656295E-04  1.2767805E-02  1.0267026E-04  2.0946715E+00
    c13     13   2.2870183E-06  3.5777639E-06  1.2907456E-06  3.4467857E-06  1.2435953E-06  4.4273522E-01
    c14     14   2.3702833E-09  2.3702833E-09  0.0000000E+00  2.2835096E-09  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   8.3997758E-05  1.1548962E-04  3.1491865E-05  1.1126167E-04  3.0341484E-05  5.6430876E-01
    n15     15   2.8594613E-08  1.0397566E-07  7.5381045E-08  1.0016922E-07  7.2627415E-08  1.3963370E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   3.8857182E-04  1.0403348E-03  6.5176300E-04  1.0022492E-03  6.2795443E-04  2.0304757E-01
    o17     17   6.1390274E-06  6.2442600E-06  1.0523264E-07  6.0156640E-06  1.0138854E-07  1.7732947E+00
    o18     18  -1.9991424E-07  3.8806920E-07  5.8798344E-07  3.7386238E-07  5.6650470E-07 -1.8049175E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
