# Initial mass = 2.360, Z =  0.0006, Y =  0.240, M_mix = 2.00E-03
# Final mass = 0.693, Mass expelled =   1.6670
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>           X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -1.2764943E-01  1.1375083E+00  1.2651577E+00  6.8236858E-01  7.5899678E-01 -4.6220936E-02
      d      2  -3.2549169E-06  4.0295840E-11  3.2549572E-06  2.4172673E-11  1.9527226E-06 -4.9073162E+00
    he3      3   2.4431210E-04  2.6501578E-04  2.0703668E-05  1.5897769E-04  1.2420602E-05  1.1071936E+00
    he4      4   9.5940471E-02  4.9577960E-01  3.9983913E-01  2.9740831E-01  2.3987257E-01  9.3372509E-02
    li7      7  -2.2462572E-09  4.2615321E-11  2.2888724E-09  2.5564084E-11  1.3731466E-09 -1.7300867E+00
    be7      7   6.8285194E-14  6.8285194E-14  0.0000000E+00  4.0962930E-14  0.0000000E+00  0.0000000E+00
     b8      8   1.1432992E-28  1.1432992E-28  0.0000000E+00  6.8584243E-29  0.0000000E+00  0.0000000E+00
    c12     12   2.7611345E-02  2.7782485E-02  1.7113914E-04  1.6666159E-02  1.0267026E-04  2.2103910E+00
    c13     13   3.6219785E-06  5.6949043E-06  2.0729258E-06  3.4162597E-06  1.2435953E-06  4.3887180E-01
    c14     14   2.0721322E-08  2.0721322E-08  0.0000000E+00  1.2430308E-08  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   1.1403417E-04  1.6460982E-04  5.0575654E-05  9.8746161E-05  3.0341484E-05  5.1248342E-01
    n15     15  -6.8987070E-08  5.2074220E-08  1.2106129E-07  3.1238290E-08  7.2627415E-08 -3.6641335E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   4.9835548E-04  1.5450810E-03  1.0467255E-03  9.2686334E-04  6.2795443E-04  1.6908759E-01
    o17     17   4.3616787E-06  4.5306815E-06  1.6900267E-07  2.7178658E-06  1.0138854E-07  1.4282392E+00
    o18     18  -3.9405830E-07  5.5023781E-07  9.4429612E-07  3.3007672E-07  5.6650470E-07 -2.3458865E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   8.3955301E-06  8.4199401E-06  2.4410248E-08  5.0509543E-06  1.4644261E-08  2.5377061E+00
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   4.6777321E-05  2.5861210E-04  2.1183478E-04  1.5513625E-04  1.2708448E-04  8.6620748E-02
   ne21     21   2.7695712E-06  2.9828454E-06  2.1327418E-07  1.7893497E-06  1.2794803E-07  1.1456617E+00
   ne22     22   3.0611753E-03  3.0680287E-03  6.8534691E-06  1.8404494E-03  4.1115518E-06  2.6509182E+00
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   7.5531516E-22  7.5531516E-22  0.0000000E+00  4.5309853E-22  0.0000000E+00  0.0000000E+00
   na23     23   3.0003293E-05  3.1955515E-05  1.9522213E-06  1.9169478E-05  1.1711818E-06  1.2139860E+00
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24   2.1383195E-05  1.2425061E-04  1.0286742E-04  7.4535470E-05  6.1712497E-05  8.1989855E-02
   mg25     25   3.8740320E-05  4.4070508E-05  5.3301887E-06  2.6437021E-05  3.1977013E-06  9.1737467E-01
   mg26     26   1.9793113E-05  2.5896497E-05  6.1033843E-06  1.5534793E-05  3.6615588E-06  6.2763947E-01
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
