# Initial mass = 3.000, Z =  0.0006, Y =  0.240, M_mix = 0.00E+00
# Final mass = 0.801, Mass expelled =   2.1990
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>           X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -1.5667689E-01  1.5122426E+00  1.6689194E+00  6.8769562E-01  7.5899678E-01 -4.2843681E-02
      d      2  -4.2936940E-06  4.8635047E-11  4.2937427E-06  2.2116893E-11  1.9527226E-06 -4.9459167E+00
    he3      3  -2.6915386E-05  3.9564216E-07  2.7311029E-05  1.7991914E-07  1.2420602E-05 -1.8390653E+00
    he4      4   1.2268811E-01  6.5013176E-01  5.2744365E-01  2.9564884E-01  2.3987257E-01  9.0795569E-02
    li7      7  -3.0171963E-09  2.1459809E-12  3.0193423E-09  9.7588951E-13  1.3731466E-09 -3.1483164E+00
    be7      7   6.3728224E-12  6.3728224E-12  0.0000000E+00  2.8980548E-12  0.0000000E+00  0.0000000E+00
     b8      8   5.1697858E-20  5.1697858E-20  0.0000000E+00  2.3509714E-20  0.0000000E+00  0.0000000E+00
    c12     12   2.9608376E-02  2.9834133E-02  2.2575640E-04  1.3567137E-02  1.0267026E-04  2.1210437E+00
    c13     13   1.5443147E-03  1.5470491E-03  2.7344786E-06  7.0352398E-04  1.2435953E-06  2.7526000E+00
    c14     14   1.6258019E-08  1.6258019E-08  0.0000000E+00  7.3933695E-09  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   1.5395861E-03  1.6063025E-03  6.6716348E-05  7.3046953E-04  3.0341484E-05  1.3815653E+00
    n15     15  -1.3060925E-07  2.9087488E-08  1.5969674E-07  1.3227599E-08  7.2627415E-08 -7.3961961E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -8.4267411E-04  5.3810299E-04  1.3807771E-03  2.4470349E-04  6.2795443E-04 -4.0928799E-01
    o17     17  -6.4980497E-08  1.5795761E-07  2.2293811E-07  7.1831572E-08  1.0138854E-07 -1.4967354E-01
    o18     18  -1.2390097E-06  6.6485448E-09  1.2456583E-06  3.0234402E-09  5.6650470E-07 -2.2727022E+00
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   4.2298998E-06  4.2621004E-06  3.2200521E-08  1.9381994E-06  1.4644261E-08  2.1217313E+00
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   1.2297591E-05  2.9173720E-04  2.7943961E-04  1.3266812E-04  1.2708448E-04  1.8674029E-02
   ne21     21   3.8835592E-06  4.1648977E-06  2.8133843E-07  1.8939963E-06  1.2794803E-07  1.1703455E+00
   ne22     22   1.8845674E-03  1.8936081E-03  9.0406820E-06  8.6112245E-04  4.1115518E-06  2.3210592E+00
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   2.0116451E-14  2.0116451E-14  0.0000000E+00  9.1479999E-15  0.0000000E+00  0.0000000E+00
   na23     23   2.1463013E-05  2.4038265E-05  2.5752522E-06  1.0931453E-05  1.1711818E-06  9.7005367E-01
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24  -8.9147114E-05  4.6549361E-05  1.3569648E-04  2.1168424E-05  6.1712497E-05 -4.6468461E-01
   mg25     25   1.4602576E-04  1.5305703E-04  7.0312631E-06  6.9603018E-05  3.1977013E-06  1.3377903E+00
   mg26     26   1.4250807E-04  1.5055928E-04  8.0512154E-06  6.8467161E-05  3.6615588E-06  1.2718164E+00
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   3.3191485E-05  3.8094418E-05  4.9029313E-06  1.7323520E-05  2.2297716E-06  8.9037579E-01
   al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si28     28   8.3223567E-06  1.5600656E-04  1.4768420E-04  7.0944319E-05  6.7164321E-05  2.3778968E-02
   si29     29   1.8326159E-06  4.9374216E-06  3.1048057E-06  2.2453032E-06  1.4120138E-06  2.0143606E-01
   si30     30   2.1011685E-06  4.2184856E-06  2.1173171E-06  1.9183656E-06  9.6292047E-07  2.9934090E-01
    p31     31   4.6082084E-07  9.7423447E-07  5.1341362E-07  4.4303525E-07  2.3349197E-07  2.7816632E-01
    p32     32   7.9162363E-34  7.9162363E-34  0.0000000E+00  3.5999257E-34  0.0000000E+00  0.0000000E+00
    p33     33   4.9329731E-34  4.9329731E-34  0.0000000E+00  2.2432801E-34  0.0000000E+00  0.0000000E+00
    s32     32  -6.6085158E-07  2.7629818E-05  2.8290669E-05  1.2564720E-05  1.2866125E-05 -1.0294948E-02
    s33     33   1.0822617E-08  2.4439760E-07  2.3357498E-07  1.1114034E-07  1.0622601E-07  1.9640859E-02
    s34     34   2.0463506E-07  1.5630661E-06  1.3584311E-06  7.1080774E-07  6.1779178E-07  6.0910046E-02
    s35     35   1.2310779E-28  1.2310779E-28  0.0000000E+00  5.5983533E-29  0.0000000E+00  0.0000000E+00
    s36     36   2.3759124E-08  3.0464726E-08  6.7056023E-09  1.3853900E-08  3.0495961E-09  6.5732980E-01
   cl35     35  -6.2593699E-09  2.8395857E-07  2.9021794E-07  1.2913078E-07  1.3198628E-07 -9.4989855E-03
