# Initial mass = 3.000, Z =  0.0006, Y =  0.240, M_mix = 1.00E-03
# Final mass = 0.801, Mass expelled =   2.1990
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>           X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -1.5683615E-01  1.5120833E+00  1.6689194E+00  6.8762314E-01  7.5899678E-01 -4.2889453E-02
      d      2  -4.2936940E-06  4.8639471E-11  4.2937427E-06  2.2118906E-11  1.9527226E-06 -4.9458771E+00
    he3      3  -2.6918864E-05  3.9216448E-07  2.7311029E-05  1.7833766E-07  1.2420602E-05 -1.8428996E+00
    he4      4   1.2242967E-01  6.4987332E-01  5.2744365E-01  2.9553130E-01  2.3987257E-01  9.0622894E-02
    li7      7  -3.0171143E-09  2.2279056E-12  3.0193423E-09  1.0131449E-12  1.3731466E-09 -3.1320455E+00
    be7      7   6.6149143E-12  6.6149143E-12  0.0000000E+00  3.0081467E-12  0.0000000E+00  0.0000000E+00
     b8      8   5.1702821E-20  5.1702821E-20  0.0000000E+00  2.3511971E-20  0.0000000E+00  0.0000000E+00
    c12     12   2.8920339E-02  2.9146096E-02  2.2575640E-04  1.3254250E-02  1.0267026E-04  2.1109107E+00
    c13     13   1.5125939E-03  1.5153284E-03  2.7344786E-06  6.8909890E-04  1.2435953E-06  2.7436025E+00
    c14     14   4.0228556E-08  4.0228556E-08  0.0000000E+00  1.8294024E-08  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   1.5432567E-03  1.6099730E-03  6.6716348E-05  7.3213875E-04  3.0341484E-05  1.3825567E+00
    n15     15  -1.3018860E-07  2.9508136E-08  1.5969674E-07  1.3418889E-08  7.2627415E-08 -7.3338401E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -5.8518781E-04  7.9558929E-04  1.3807771E-03  3.6179597E-04  6.2795443E-04 -2.3946445E-01
    o17     17  -2.4759728E-08  1.9817838E-07  2.2293811E-07  9.0122050E-08  1.0138854E-07 -5.1157851E-02
    o18     18  -1.2291262E-06  1.6532072E-08  1.2456583E-06  7.5179960E-09  5.6650470E-07 -1.8771014E+00
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   5.5289706E-06  5.5611713E-06  3.2200521E-08  2.5289548E-06  1.4644261E-08  2.2372737E+00
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   3.7183519E-05  3.1662313E-04  2.7943961E-04  1.4398506E-04  1.2708448E-04  5.4224890E-02
   ne21     21   5.0931058E-06  5.3744443E-06  2.8133843E-07  2.4440403E-06  1.2794803E-07  1.2810748E+00
   ne22     22   2.6294980E-03  2.6385386E-03  9.0406820E-06  1.1998812E-03  4.1115518E-06  2.4651327E+00
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   3.2821978E-14  3.2821978E-14  0.0000000E+00  1.4925866E-14  0.0000000E+00  0.0000000E+00
   na23     23   3.0389583E-05  3.2964836E-05  2.5752522E-06  1.4990831E-05  1.1711818E-06  1.1072015E+00
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24  -7.7704819E-05  5.7991660E-05  1.3569648E-04  2.6371834E-05  6.1712497E-05 -3.6923283E-01
   mg25     25   1.7892543E-04  1.8595670E-04  7.0312631E-06  8.4564213E-05  3.1977013E-06  1.4223489E+00
