# Initial mass = 4.000, Z =  0.0006, Y =  0.240, M_mix = 0.00E+00
# Final mass = 0.886, Mass expelled =   3.1140
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>           X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -4.1397023E-01  1.9493930E+00  2.3633633E+00  6.2600929E-01  7.5899678E-01 -8.3659187E-02
      d      2  -6.0803600E-06  2.5435803E-11  6.0803854E-06  8.1682083E-12  1.9527226E-06 -5.3785138E+00
    he3      3  -3.8622537E-05  5.2713830E-08  3.8675251E-05  1.6928011E-08  1.2420602E-05 -2.8655369E+00
    he4      4   3.3537155E-01  1.0822865E+00  7.4691492E-01  3.4755504E-01  2.3987257E-01  1.6104299E-01
    li7      7  -4.2690917E-09  6.6106304E-12  4.2757025E-09  2.1228741E-12  1.3731466E-09 -2.8107927E+00
    be7      7   7.0253359E-11  7.0253359E-11  0.0000000E+00  2.2560486E-11  0.0000000E+00  0.0000000E+00
     b8      8   2.1632897E-26  2.1632897E-26  0.0000000E+00  6.9469803E-27  0.0000000E+00  0.0000000E+00
    c12     12   2.9321061E-03  3.2518008E-03  3.1969455E-04  1.0442520E-03  1.0267026E-04  1.0073606E+00
    c13     13   6.5186864E-04  6.5574097E-04  3.8723056E-06  2.1057834E-04  1.2435953E-06  2.2287347E+00
    c14     14   2.4041423E-08  2.4041423E-08  0.0000000E+00  7.7204314E-09  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   6.9881447E-02  6.9975927E-02  9.4477276E-05  2.2471394E-02  3.0341484E-05  2.8695934E+00
    n15     15   1.2466985E-06  1.4728457E-06  2.2614718E-07  4.7297547E-07  7.2627415E-08  8.1373805E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -4.0392170E-04  1.5514022E-03  1.9553239E-03  4.9820234E-04  6.2795443E-04 -1.0052240E-01
    o17     17   3.6567815E-06  3.9724850E-06  3.1570355E-07  1.2756856E-06  1.0138854E-07  1.0997548E+00
    o18     18  -1.7632640E-06  7.1756262E-10  1.7639816E-06  2.3043115E-10  5.6650470E-07 -3.3906624E+00
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   2.9266479E-07  3.3826407E-07  4.5599283E-08  1.0862686E-07  1.4644261E-08  8.7026978E-01
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   9.6230011E-05  4.9194554E-04  3.9571553E-04  1.5797865E-04  1.2708448E-04  9.4505832E-02
