# Initial mass = 5.000, Z =  0.0006, Y =  0.240, M_mix = 0.00E+00
# Final mass = 0.940, Mass expelled =   4.0600
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>           X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -5.9816146E-01  2.4848113E+00  3.0829728E+00  6.1202246E-01  7.5939989E-01 -9.3703188E-02
      d      2  -7.9317551E-06  1.8227048E-11  7.9317733E-06  4.4894206E-12  1.9537597E-06 -5.6386809E+00
    he3      3  -5.0429961E-05  2.1341053E-08  5.0451301E-05  5.2564166E-09  1.2427199E-05 -3.3736837E+00
    he4      4   5.2318329E-01  1.4975228E+00  9.7433954E-01  3.6884797E-01  2.3999996E-01  1.8663621E-01
    li7      7  -5.5745706E-09  3.0199161E-12  5.5775904E-09  7.4382167E-13  1.3738758E-09 -3.2664788E+00
    be7      7   2.6434565E-11  2.6434565E-11  0.0000000E+00  6.5109762E-12  0.0000000E+00  0.0000000E+00
     b8      8   5.5879921E-27  5.5879921E-27  0.0000000E+00  1.3763526E-27  0.0000000E+00  0.0000000E+00
    c12     12   2.5266816E-03  2.9437183E-03  4.1703679E-04  7.2505372E-04  1.0272479E-04  8.4869498E-01
    c13     13   6.7071378E-04  6.7576516E-04  5.0513663E-06  1.6644462E-04  1.2442558E-06  2.1263602E+00
    c14     14   4.5804915E-09  4.5804915E-09  0.0000000E+00  1.1281999E-09  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   6.8256922E-02  6.8380170E-02  1.2324422E-04  1.6842406E-02  3.0357596E-05  2.7441368E+00
    n15     15   1.6669770E-06  1.9619827E-06  2.9500563E-07  4.8324694E-07  7.2665983E-08  8.2283795E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -1.2203254E-04  8.9824380E-04  1.0202763E-03  2.2124230E-04  2.5131516E-04 -5.5350546E-02
    o17     17   2.6733780E-06  3.0852086E-06  4.1183060E-07  7.5990357E-07  1.0144239E-07  8.7453902E-01
    o18     18  -2.3005343E-06  5.5354910E-10  2.3010880E-06  1.3634213E-10  5.6680557E-07 -3.6188042E+00
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   6.4883773E-38  6.4883773E-38  0.0000000E+00  1.5981225E-38  0.0000000E+00  0.0000000E+00
    f19     19   1.6958968E-08  7.6442561E-08  5.9483593E-08  1.8828215E-08  1.4652039E-08  1.0891110E-01
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   9.8090968E-05  3.0457301E-04  2.0648204E-04  7.5017982E-05  5.0860795E-05  1.6878225E-01
   ne21     21  -1.8886647E-07  3.3084626E-07  5.1971273E-07  8.1489226E-08  1.2801598E-07 -1.9616403E-01
   ne22     22   2.5396107E-03  2.5563114E-03  1.6700733E-05  6.2963332E-04  4.1137355E-06  2.1848514E+00
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   1.6524238E-10  1.6524238E-10  0.0000000E+00  4.0700089E-11  0.0000000E+00  0.0000000E+00
   na23     23   7.1460825E-05  7.6218057E-05  4.7572289E-06  1.8772920E-05  1.1718038E-06  1.2046770E+00
   na24     24   1.3385552E-35  1.3385552E-35  0.0000000E+00  3.2969338E-36  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24  -8.0826205E-05  1.7667822E-05  9.8494027E-05  4.3516802E-06  2.4261117E-05 -7.4625385E-01
   mg25     25   3.7647755E-04  3.8946630E-04  1.2988758E-05  9.5927651E-05  3.1993995E-06  1.4768754E+00
   mg26     26   5.4745283E-04  5.6232576E-04  1.4872902E-05  1.3850388E-04  3.6635033E-06  1.5775654E+00
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   1.0836248E-04  1.1741960E-04  9.0571193E-06  2.8921082E-05  2.2309557E-06  1.1127236E+00
   al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si28     28   2.4670211E-05  1.3372803E-04  1.0905782E-04  3.2937936E-05  2.6863196E-05  8.8538721E-02
   si29     29   4.7426906E-06  1.0478157E-05  5.7354659E-06  2.5808265E-06  1.4127638E-06  2.6168925E-01
   si30     30   9.2262762E-06  1.3137567E-05  3.9112915E-06  3.2358539E-06  9.6343194E-07  5.2616787E-01
    p31     31   3.2241192E-06  4.1725411E-06  9.4842210E-07  1.0277195E-06  2.3361595E-07  6.4337206E-01
    p32     32   6.8633354E-28  6.8633354E-28  0.0000000E+00  1.6904766E-28  0.0000000E+00  0.0000000E+00
    p33     33   6.3578220E-26  6.3578220E-26  0.0000000E+00  1.5659659E-26  0.0000000E+00  0.0000000E+00
    s32     32  -1.3930730E-06  5.0867900E-05  5.2260973E-05  1.2529039E-05  1.2872958E-05 -1.1760626E-02
    s33     33   1.6705201E-08  4.4818512E-07  4.3147992E-07  1.1039042E-07  1.0628242E-07  1.6469888E-02
    s34     34   5.6431509E-07  3.0737265E-06  2.5094114E-06  7.5707544E-07  6.1811994E-07  8.8066362E-02
    s35     35   1.5656758E-20  1.5656758E-20  0.0000000E+00  3.8563443E-21  0.0000000E+00  0.0000000E+00
    s36     36   9.4322907E-08  1.0671008E-07  1.2387169E-08  2.6283269E-08  3.0512155E-09  9.3520653E-01
   cl35     35  -3.9621000E-09  5.3215365E-07  5.3611575E-07  1.3107233E-07  1.3205639E-07 -3.2484082E-03
   cl36     36   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   cl37     37   9.7679560E-08  2.7881561E-07  1.8113604E-07  6.8673792E-08  4.4617554E-08  1.8728527E-01
   ar36     36  -5.3495023E-07  9.4483275E-06  9.9832778E-06  2.3271741E-06  2.4590877E-06 -2.3945134E-02
   ar37     37   1.4976030E-22  1.4976030E-22  0.0000000E+00  3.6886770E-23  0.0000000E+00  0.0000000E+00
   ar38     38   1.6578133E-07  2.0817583E-06  1.9159770E-06  5.1274833E-07  4.7194470E-07  3.6013171E-02
   ar39     39   1.0931233E-10  1.0931233E-10  0.0000000E+00  2.6924218E-11  0.0000000E+00  0.0000000E+00
   ar40     40   1.2560361E-07  1.2882931E-07  3.2257135E-09  3.1731357E-08  7.9455992E-10  1.6013621E+00
    k39     39   5.4371981E-08  5.7412558E-07  5.1975360E-07  1.4141024E-07  1.2802606E-07  4.3182477E-02
    k40     40  -8.4143914E-11  0.0000000E+00  8.4143914E-11  0.0000000E+00  2.0726386E-11  0.0000000E+00
    k41     41   1.3621388E-08  5.3053316E-08  3.9431928E-08  1.3067319E-08  9.7128989E-09  1.2883760E-01
   ca40     40  -4.5485467E-07  8.5441452E-06  8.9989999E-06  2.1044691E-06  2.2166396E-06 -2.2552542E-02
   ca41     41   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ca42     42   1.7340234E-08  8.0404853E-08  6.3064618E-08  1.9804149E-08  1.5534118E-08  1.0546957E-01
   ca43     43   5.2950524E-09  1.8766904E-08  1.3471852E-08  4.6223900E-09  3.3183956E-09  1.4393844E-01
   ca44     44   1.8452397E-08  2.3146380E-07  2.1301140E-07  5.7010787E-08  5.2469112E-08  3.6053337E-02
   ca45     45  -8.5764799E-18 -8.5764799E-18  0.0000000E+00 -2.1124334E-18  0.0000000E+00  0.0000000E+00
   ca46     46   3.1764142E-08  3.2191167E-08  4.2702636E-10  7.9288585E-09  1.0518542E-10  1.8772551E+00
   ca47     47  -1.1905640E-31 -1.1905640E-31  0.0000000E+00 -2.9324235E-32  0.0000000E+00  0.0000000E+00
   ca48     48   3.9213770E-09  2.4752756E-08  2.0831379E-08  6.0967378E-09  5.1311990E-09  7.4878655E-02
   sc45     45   8.9132897E-09  1.4922870E-08  6.0095804E-09  3.6755836E-09  1.4802839E-09  3.9498129E-01
   sc46     46   8.1485106E-25  8.1485106E-25  0.0000000E+00  2.0070223E-25  0.0000000E+00  0.0000000E+00
   sc47     47   4.4298333E-29  4.4298333E-29  0.0000000E+00  1.0910919E-29  0.0000000E+00  0.0000000E+00
   sc48     48   7.1353335E-31  4.5038090E-30  3.7902756E-30  1.1093125E-30  9.3362322E-31  0.0000000E+00
   ti46     46   9.5889519E-10  3.7674379E-08  3.6715484E-08  9.2794030E-09  9.0437826E-09  1.1169925E-02
   ti47     47   1.9846809E-09  3.5814967E-08  3.3830286E-08  8.8214200E-09  8.3330987E-09  2.4731919E-02
   ti48     48  -1.2932048E-08  3.2941188E-07  3.4234392E-07  8.1135923E-08  8.4326388E-08 -1.6750313E-02
   ti49     49   8.2557321E-09  3.3902282E-08  2.5646550E-08  8.3503151E-09  6.3172751E-09  1.2117308E-01
   ti50     50   2.5307104E-08  5.0364680E-08  2.5057576E-08  1.2405093E-08  6.1721988E-09  3.0316010E-01
