# Initial mass = 1.150, Z =  0.0010, Y =  0.250, M_mix = 1.00E-03
# Final mass = 0.627, Mass expelled =   0.5230
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)     Net M(i) Mass(i) 
  p   1  12.000000  0.000000  0.000000  7.16052E-01 -2.03595E-02  3.74495E-01
 he   2  10.998745  0.068745  1.215904  2.83540E-01  1.74454E-02  1.48291E-01
  c   6   8.755738  0.285738  1.432897  4.86185E-03  2.44802E-03  2.54275E-03
  n   7   7.175256 -0.694744  0.452415  1.48966E-04  5.01589E-05  7.79090E-05
  o   8   7.772043 -0.957957  0.189202  6.72388E-04  1.25125E-04  3.51659E-04
  f   9   4.435168 -0.024832  1.122327  3.67587E-07  1.77605E-07  1.92248E-07
 ne  10   7.244835 -0.725165  0.421994  2.51907E-04  8.14165E-05  1.31747E-04
 na  11   5.423616 -0.886384  0.260776  4.33151E-06  1.01089E-06  2.26538E-06
 mg  12   6.506760 -1.133240  0.013919  5.54549E-05  6.49408E-07  2.90029E-05
 al  13   5.338817 -1.131183  0.015976  4.18192E-06  5.90487E-08  2.18714E-06
 si  14   6.407604 -1.142396  0.004763  5.10009E-05  4.12638E-08  2.66735E-05
  p  15   4.469217 -1.000782  0.146377  6.48185E-07  9.47060E-08  3.39001E-07
  s  16   6.015403 -1.144597  0.002562  2.36004E-05 -4.34602E-08  1.23430E-05
 cl  17   4.097647 -1.132353  0.014806  3.15343E-07  4.02038E-09  1.64925E-07
 ar  18   5.294446 -1.145554  0.001605  5.59017E-06 -1.67240E-08  2.92366E-06
  k  19   3.943551 -1.136449  0.010710  2.43888E-07  2.09592E-09  1.27553E-07
 ca  20   5.143268 -1.146732  0.000427  3.95966E-06 -1.74632E-08  2.07090E-06
 sc  21   1.998554 -1.051446  0.095713  3.18293E-09  3.16631E-10  1.66467E-09
 ti  22   3.784452 -1.125547  0.021612  2.07001E-07  4.28118E-09  1.08262E-07
  v  23   2.815799 -1.144201  0.002958  2.36787E-08 -1.24079E-12  1.23840E-08
 cr  24   4.474971 -1.165029 -0.017869  1.10262E-06 -3.55271E-09  5.76670E-07
 mn  25   4.334672 -1.145328  0.001832  8.43392E-07 -2.30423E-09  4.41094E-07
 fe  26   6.392841 -1.147159  0.000000  9.80188E-05 -4.84804E-07  5.12638E-05
 co  27   3.790350 -1.079650  0.067509  2.58341E-07  1.83584E-08  1.35112E-07
 ni  28   5.079224 -1.120776  0.026383  5.00374E-06  1.30937E-07  2.61696E-06
