# Initial mass = 2.000, Z =  0.0010, Y =  0.250, M_mix = 1.00E-03
# Final mass = 0.668, Mass expelled =   1.3320
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)     Net M(i) Mass(i) 
  p   1  12.000000  0.000000  0.000000  6.95868E-01 -7.87377E-02  9.26896E-01
 he   2  11.029659  0.099659  1.232923  2.95877E-01  6.08632E-02  3.94108E-01
  c   6   9.145527  0.675527  1.808790  1.15924E-02  1.51998E-02  1.54410E-02
  n   7   7.236696 -0.633304  0.499959  1.66766E-04  1.51457E-04  2.22132E-04
  o   8   7.824606 -0.905393  0.227870  7.37506E-04  4.05412E-04  9.82359E-04
  f   9   5.208518  0.748518  1.881782  2.11979E-06  2.78627E-06  2.82356E-06
 ne  10   7.907930 -0.062069  1.071194  1.12699E-03  1.37296E-03  1.50114E-03
 na  11   5.914790 -0.395210  0.738054  1.30436E-05  1.41790E-05  1.73740E-05
 mg  12   6.611747 -1.028253  0.105011  6.86292E-05  1.92021E-05  9.14141E-05
 al  13   5.440473 -1.029527  0.103737  5.13586E-06  1.42104E-06  6.84097E-06
 si  14   6.423095 -1.126905  0.006359  5.13631E-05  5.87570E-07  6.84157E-05
  p  15   4.429671 -1.040329  0.092935  5.75088E-07  1.43837E-07  7.66018E-07
  s  16   6.027800 -1.132200  0.001064  2.35992E-05 -1.12192E-07  3.14342E-05
 cl  17   4.138506 -1.091494  0.041770  3.36687E-07  3.86684E-08  4.48467E-07
 ar  18   5.305425 -1.134575 -0.001311  5.57168E-06 -6.72208E-08  7.42148E-06
  k  19   3.960201 -1.119799  0.013465  2.46276E-07  8.51938E-09  3.28040E-07
 ca  20   5.154646 -1.135354 -0.002090  3.95020E-06 -5.70826E-08  5.26166E-06
 sc  21   2.024436 -1.025564  0.107700  3.28315E-09  9.39910E-10  4.37316E-09
 ti  22   3.792542 -1.117458  0.015805  2.04948E-07  8.16891E-09  2.72991E-07
  v  23   2.817760 -1.142240 -0.008976  2.31155E-08 -7.53403E-10  3.07898E-08
 cr  24   4.488935 -1.151065 -0.017801  1.10655E-06 -3.81078E-09  1.47393E-06
 mn  25   4.364912 -1.115088  0.018176  8.78722E-07  4.11906E-08  1.17046E-06
 fe  26   6.406736 -1.133264  0.000000  9.83530E-05 -7.89616E-07  1.31006E-04
 co  27   3.941956 -0.928044  0.205219  3.55944E-07  1.76763E-07  4.74117E-07
 ni  28   5.078037 -1.121963  0.011301  4.84942E-06  1.27923E-07  6.45943E-06
 cu  29   3.333498 -0.916502  0.216762  9.45479E-08  4.90237E-08  1.25938E-07
 zn  30   3.579101 -1.050900  0.082364  1.71319E-07  3.82814E-08  2.28197E-07
 ga  31   2.238766 -0.841234  0.292029  8.34082E-09  5.40447E-09  1.11100E-08
 ge  32   2.711077 -0.868923  0.264340  2.57822E-08  1.69751E-08  3.43419E-08
 as  33   1.358547 -0.941453  0.191811  1.18093E-09  5.55521E-10  1.57300E-09
 se  34   2.558982 -0.781018  0.352246  1.97449E-08  1.56736E-08  2.63003E-08
 br  35   1.743186 -0.796814  0.336450  3.05367E-09  2.18169E-09  4.06749E-09
 kr  36   2.660011 -0.589989  0.543275  2.64431E-08  2.51162E-08  3.52222E-08
 rb  37   1.839569 -0.520431  0.612833  4.07793E-09  4.09910E-09  5.43180E-09
 sr  38   2.766844 -0.113156  1.020107  3.53601E-08  4.26009E-08  4.70996E-08
  y  39   2.167580 -0.002420  1.130843  9.02771E-09  1.11298E-08  1.20249E-08
 zr  40   2.579426  0.049426  1.182689  2.39112E-08  2.97458E-08  3.18497E-08
 nb  41   1.408019 -0.001981  1.131283  1.64108E-09  2.02338E-09  2.18592E-09
 mo  42   1.839983 -0.100017  1.033247  4.58195E-09  5.67289E-09  6.10315E-09
 ru  44   1.535737 -0.224263  0.909001  2.39567E-09  2.89821E-09  3.19103E-09
 rh  45   0.528183 -0.531817  0.601447  2.39712E-10  2.38877E-10  3.19297E-10
 pd  46   1.548904 -0.101096  1.032168  2.60013E-09  3.18105E-09  3.46338E-09
 ag  47   0.785240 -0.414760  0.718504  4.54150E-10  4.88566E-10  6.04928E-10
 cd  48   1.739696  0.029696  1.162959  4.26159E-09  5.31834E-09  5.67644E-09
 in  49   0.619300 -0.140700  0.992563  3.29896E-10  3.96380E-10  4.39421E-10
 sn  50   2.199311  0.129311  1.262575  1.29678E-08  1.64509E-08  1.72731E-08
 sb  51   0.693577 -0.316423  0.816840  4.15095E-10  5.04390E-10  5.52907E-10
 te  52   1.802201 -0.377799  0.755465  5.58624E-09  6.99275E-09  7.44087E-09
  i  53   0.797843 -0.752157  0.381107  5.50028E-10  4.26167E-10  7.32637E-10
 xe  54   1.959253 -0.280747  0.852517  8.25204E-09  9.56586E-09  1.09917E-08
 cs  55   0.771221 -0.308779  0.824485  5.41787E-10  6.12903E-10  7.21661E-10
 ba  56   2.756791  0.576791  1.710055  5.41519E-08  7.07185E-08  7.21303E-08
 la  57   1.755465  0.585465  1.718728  5.46075E-09  7.13401E-09  7.27373E-09
 ce  58   2.264537  0.684537  1.817800  1.77865E-08  2.33307E-08  2.36917E-08
