#
# Initial mass = 2.250, Z =  0.0010, Y =  0.250, M_mix = 1.00E-03
#
#Initial isotopic abundance ratios: 
#  c12/c13   n14/n15   o16/o17   o16/o18   mg24/mg25 mg24/m26 al26/al27 si28/si29 si28/si30 cl36/cl35 cl37/cl35  s33/s32  s34/s32   s36/s32   ar36/ar40 ar38/ar40  k40/k39  k41/k39  ca42/ca40 ca43/ca40 ca44/ca40 ca46/ca40 ca48/ca40 ti46/ti48 ti47/ti48 ti49/ti48 ti50/ti48 cr53/cr52 cr54/cr52 fe54/fe56 fe57/fe56 fe58/fe56 fe60/fe56 ni60/ni58 ni61/ni58 ni62/ni58
#
  8.940E+01 4.350E+02 2.632E+03 5.000E+02 7.899E+00 7.174E+00 0.000E+00 1.969E+01 2.987E+01 0.000E+00 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.439E+03 6.252E+02 1.578E-04 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 0.000E+00 3.852E-01 1.674E-02 5.339E-02
#
# During TP-AGB
#
  1.706E+01 3.713E+03 6.761E+01 8.596E+02 7.934E+00 7.148E+00 1.174E-06 1.969E+01 2.987E+01 5.677E-18 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.436E+03 6.247E+02 1.112E-04 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 2.131E-30 3.852E-01 1.674E-02 5.339E-02
  1.706E+01 3.717E+03 6.762E+01 8.598E+02 7.935E+00 7.147E+00 1.580E-05 1.969E+01 2.987E+01 2.153E-17 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.436E+03 6.247E+02 1.112E-04 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 1.009E-29 3.852E-01 1.674E-02 5.339E-02
  1.706E+01 3.722E+03 6.764E+01 8.598E+02 7.937E+00 7.148E+00 4.005E-04 1.969E+01 2.988E+01 1.415E-11 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.436E+03 6.247E+02 1.112E-04 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 3.152E-24 3.852E-01 1.674E-02 5.339E-02
  7.681E+01 3.638E+03 6.902E+01 8.663E+02 7.940E+00 7.152E+00 7.389E-04 1.970E+01 2.985E+01 7.548E-05 3.222E-01 8.017E-03 4.524E-02 2.139E-04 3.300E+03 6.008E+02 2.089E-04 7.237E-02 6.694E-03 1.396E-03 2.153E-02 4.494E-05 1.930E-03 1.120E-01 1.009E-01 7.389E-02 7.078E-02 1.134E-01 2.848E-02 6.367E-02 2.319E-02 3.218E-03 9.464E-06 3.857E-01 1.701E-02 5.380E-02
  2.060E+02 3.474E+03 7.230E+01 8.956E+02 7.914E+00 7.143E+00 8.824E-04 1.970E+01 2.976E+01 2.218E-04 3.298E-01 8.052E-03 4.533E-02 2.251E-04 3.025E+03 5.521E+02 5.329E-04 7.294E-02 6.739E-03 1.406E-03 2.155E-02 5.888E-05 1.930E-03 1.121E-01 1.010E-01 7.508E-02 7.271E-02 1.134E-01 2.904E-02 6.360E-02 2.346E-02 3.547E-03 2.075E-05 3.872E-01 1.770E-02 5.481E-02
  3.879E+02 3.402E+03 7.695E+01 9.521E+02 7.790E+00 7.091E+00 1.048E-03 1.968E+01 2.962E+01 4.030E-04 3.408E-01 8.106E-03 4.546E-02 2.426E-04 2.706E+03 4.956E+02 1.022E-03 7.389E-02 6.802E-03 1.419E-03 2.159E-02 8.230E-05 1.932E-03 1.124E-01 1.011E-01 7.684E-02 7.613E-02 1.134E-01 2.984E-02 6.350E-02 2.387E-02 4.017E-03 3.109E-05 3.893E-01 1.867E-02 5.625E-02
  5.929E+02 3.327E+03 8.249E+01 1.016E+03 7.525E+00 6.991E+00 1.222E-03 1.966E+01 2.946E+01 5.947E-04 3.533E-01 8.170E-03 4.561E-02 2.623E-04 2.425E+03 4.459E+02 1.589E-03 7.508E-02 6.873E-03 1.433E-03 2.163E-02 1.102E-04 1.933E-03 1.127E-01 1.012E-01 7.899E-02 8.041E-02 1.134E-01 3.078E-02 6.340E-02 2.437E-02 4.556E-03 3.976E-05 3.917E-01 1.976E-02 5.784E-02
