#
# Initial mass = 2.000, Z =  0.0010, Y =  0.250, M_mix = 1.00E-03
#
#Initial isotopic abundance ratios: 
#  c12/c13   n14/n15   o16/o17   o16/o18   mg24/mg25 mg24/m26 al26/al27 si28/si29 si28/si30 cl36/cl35 cl37/cl35  s33/s32  s34/s32   s36/s32   ar36/ar40 ar38/ar40  k40/k39  k41/k39  ca42/ca40 ca43/ca40 ca44/ca40 ca46/ca40 ca48/ca40 ti46/ti48 ti47/ti48 ti49/ti48 ti50/ti48 cr53/cr52 cr54/cr52 fe54/fe56 fe57/fe56 fe58/fe56 fe60/fe56 ni60/ni58 ni61/ni58 ni62/ni58
#
  8.940E+01 4.350E+02 2.632E+03 5.000E+02 7.899E+00 7.174E+00 0.000E+00 1.969E+01 2.987E+01 0.000E+00 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.439E+03 6.252E+02 1.578E-04 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 0.000E+00 3.852E-01 1.674E-02 5.339E-02
#
# During TP-AGB
#
  1.749E+01 3.493E+03 7.309E+01 8.401E+02 7.922E+00 7.156E+00 3.329E-06 1.969E+01 2.987E+01 5.782E-15 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.435E+03 6.246E+02 9.988E-05 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 1.208E-28 3.852E-01 1.674E-02 5.339E-02
  1.748E+01 3.506E+03 7.304E+01 8.404E+02 7.927E+00 7.154E+00 9.073E-06 1.969E+01 2.987E+01 1.568E-14 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.435E+03 6.246E+02 9.988E-05 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 4.098E-28 3.852E-01 1.674E-02 5.339E-02
  1.749E+01 3.505E+03 7.309E+01 8.403E+02 7.927E+00 7.153E+00 1.404E-05 1.969E+01 2.987E+01 1.275E-14 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.435E+03 6.246E+02 9.987E-05 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 4.203E-28 3.852E-01 1.674E-02 5.339E-02
  1.757E+01 3.486E+03 7.332E+01 8.388E+02 7.928E+00 7.154E+00 1.535E-04 1.969E+01 2.987E+01 9.594E-15 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.435E+03 6.246E+02 9.987E-05 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 4.030E-28 3.852E-01 1.674E-02 5.339E-02
  3.577E+01 3.447E+03 7.409E+01 8.389E+02 7.932E+00 7.158E+00 7.201E-04 1.969E+01 2.988E+01 6.731E-06 3.198E-01 8.007E-03 4.519E-02 2.107E-04 3.435E+03 6.246E+02 1.124E-04 7.223E-02 6.675E-03 1.393E-03 2.152E-02 4.131E-05 1.929E-03 1.119E-01 1.009E-01 7.343E-02 7.027E-02 1.134E-01 2.824E-02 6.370E-02 2.310E-02 3.075E-03 1.000E-10 3.852E-01 1.676E-02 5.339E-02
  1.284E+02 3.179E+03 7.686E+01 8.581E+02 7.929E+00 7.160E+00 1.011E-03 1.969E+01 2.977E+01 8.796E-05 3.255E-01 8.028E-03 4.530E-02 2.223E-04 2.710E+03 4.942E+02 2.351E-04 7.252E-02 6.715E-03 1.402E-03 2.155E-02 5.930E-05 1.930E-03 1.121E-01 1.010E-01 7.411E-02 7.219E-02 1.134E-01 2.871E-02 6.366E-02 2.325E-02 3.368E-03 3.755E-05 3.867E-01 1.756E-02 5.501E-02
  2.759E+02 2.967E+03 8.172E+01 9.032E+02 7.898E+00 7.144E+00 1.292E-03 1.968E+01 2.963E+01 2.066E-04 3.346E-01 8.062E-03 4.544E-02 2.391E-04 2.208E+03 4.040E+02 6.357E-04 7.318E-02 6.769E-03 1.414E-03 2.160E-02 8.523E-05 1.932E-03 1.123E-01 1.011E-01 7.523E-02 7.532E-02 1.134E-01 2.938E-02 6.359E-02 2.350E-02 3.754E-03 6.927E-05 3.890E-01 1.862E-02 5.704E-02
