# Initial mass = 1.850, Z =  0.0010, Y =  0.250, M_mix = 1.00E-03
# Final mass = 0.648, Mass expelled =   1.2020
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>           X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -8.2278907E-02  8.1793022E-01  9.0020913E-01  6.8047440E-01  7.4898839E-01 -4.1663267E-02
      d      2   7.5065698E-18  7.5065698E-18  0.0000000E+00  6.2450660E-18  0.0000000E+00  0.0000000E+00
    he3      3   2.5580602E-04  2.5580602E-04  0.0000000E+00  2.1281699E-04  0.0000000E+00  0.0000000E+00
    he4      4   6.3453823E-02  3.6392415E-01  3.0047032E-01  3.0276549E-01  2.4999611E-01  8.3173156E-02
    li7      7  -5.6410165E-10  2.1712118E-10  7.8122281E-10  1.8063326E-10  6.4998984E-10 -5.5610889E-01
    be7      7   1.2668695E-17  1.2668695E-17  0.0000000E+00  1.0539680E-17  0.0000000E+00  0.0000000E+00
     b8      8   2.9132502E-28  2.9132502E-28  0.0000000E+00  2.4236690E-28  0.0000000E+00  0.0000000E+00
    c12     12   1.6259884E-02  1.6474977E-02  2.1509212E-04  1.3706303E-02  1.7896006E-04  1.8841642E+00
    c13     13   4.2611746E-06  6.8676691E-06  2.6064943E-06  5.7135348E-06  2.1686449E-06  4.2071646E-01
    c14     14   2.3576010E-09  2.3576010E-09  0.0000000E+00  1.9613984E-09  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   1.3830833E-04  2.0190226E-04  6.3593943E-05  1.6797193E-04  5.2911178E-05  5.0168931E-01
    n15     15  -1.4108579E-08  1.4253088E-07  1.5663946E-07  1.1857810E-07  1.3032654E-07 -4.1028410E-02
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   4.4864614E-04  9.6803746E-04  5.1939132E-04  8.0535561E-04  4.3214185E-04  2.7036136E-01
    o17     17   5.5779519E-06  5.7876132E-06  2.0966132E-07  4.8149859E-06  1.7444158E-07  1.4409451E+00
    o18     18  -4.6827347E-07  7.0035696E-07  1.1686304E-06  5.8265971E-07  9.7231907E-07 -2.2239386E-01
