# Initial mass = 2.250, Z =  0.0028, Y =  0.250, M_mix = 2.00E-03
# Final mass = 0.664, Mass expelled =   1.5860
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)         Net M(i)      Mass(i)
  p   1  12.000000  0.000000  0.000000  6.97377E-01 -8.84477E-02  1.10604E+00
 he   2  11.022846  0.092846  0.780287  2.91903E-01  6.61789E-02  4.62959E-01
  c   6   9.145628  0.675628  1.363069  1.16202E-02  1.76253E-02  1.84297E-02
  n   7   7.637254 -0.232746  0.454695  4.20345E-04  4.31049E-04  6.66668E-04
  o   8   8.149313 -0.580687  0.106754  1.56104E-03  5.52358E-04  2.47581E-03
  f   9   5.295099  0.835099  1.522540  2.59307E-06  3.98829E-06  4.11261E-06
 ne  10   8.146051  0.176052  0.863492  1.95425E-03  2.67209E-03  3.09944E-03
 na  11   6.346564  0.036564  0.724005  3.53273E-05  4.53775E-05  5.60291E-05
 mg  12   7.019733 -0.620266  0.067174  1.75969E-04  3.83439E-05  2.79087E-04
 al  13   5.851012 -0.618988  0.068453  1.32463E-05  2.93940E-06  2.10086E-05
 si  14   6.867282 -0.682718  0.004723  1.43146E-04  9.01549E-07  2.27030E-04
  p  15   4.879169 -0.590830  0.096611  1.62246E-06  4.98970E-07  2.57322E-06
  s  16   6.473953 -0.686047  0.001394  6.60680E-05 -3.86681E-07  1.04784E-04
 cl  17   4.584812 -0.645188  0.042253  9.42914E-07  1.29259E-07  1.49546E-06
 ar  18   5.751919 -0.688081 -0.000640  1.56107E-05 -2.07625E-07  2.47585E-05
  k  19   4.407795 -0.672205  0.015236  6.91762E-07  3.19051E-08  1.09714E-06
 ca  20   5.601474 -0.688526 -0.001085  1.10761E-05 -1.65146E-07  1.75667E-05
 sc  21   2.481621 -0.568379  0.119062  9.42793E-09  3.50681E-09  1.49527E-08
 ti  22   4.253036 -0.656964  0.030477  5.93034E-07  5.76758E-08  9.40551E-07
  v  23   3.269027 -0.690973 -0.003532  6.54802E-08 -1.30854E-09  1.03852E-07
 cr  24   4.935346 -0.704654 -0.017213  3.09972E-06 -1.03769E-08  4.91616E-06
 mn  25   4.814340 -0.665660  0.021780  2.47868E-06  1.66386E-07  3.93118E-06
 fe  26   6.852559 -0.687441  0.000000  2.75138E-04 -3.01690E-06  4.36369E-04
 co  27   4.330964 -0.539036  0.148405  8.73635E-07  3.94253E-07  1.38558E-06
 ni  28   5.519568 -0.680431  0.007010  1.34327E-05  1.95978E-07  2.13042E-05
 cu  29   3.730840 -0.519160  0.168281  2.36557E-07  1.18760E-07  3.75180E-07
 zn  30   4.044998 -0.585002  0.102439  5.01930E-07  1.62913E-07  7.96061E-07
 ga  31   2.785933 -0.294066  0.393374  2.94657E-08  2.77114E-08  4.67326E-08
 ge  32   3.292130 -0.287870  0.399570  9.84720E-08  9.82786E-08  1.56177E-07
 as  33   1.920924 -0.379076  0.308365  4.32057E-09  3.46032E-09  6.85243E-09
 se  34   3.206703 -0.133297  0.554144  8.79261E-08  1.04023E-07  1.39451E-07
 br  35   2.380886 -0.159114  0.528327  1.32881E-08  1.47880E-08  2.10749E-08
 kr  36   3.316707  0.066707  0.754148  1.20212E-07  1.56964E-07  1.90656E-07
 rb  37   2.457161  0.097161  0.784602  1.69423E-08  2.24275E-08  2.68705E-08
 sr  38   3.609607  0.729607  1.417048  2.46728E-07  3.76312E-07  3.91310E-07
  y  39   2.998895  0.828895  1.516335  6.13526E-08  9.43211E-08  9.73052E-08
 zr  40   3.403708  0.873708  1.561149  1.59891E-07  2.46573E-07  2.53587E-07
 nb  41   2.207305  0.797305  1.484746  1.03599E-08  1.58890E-08  1.64308E-08
 mo  42   2.646144  0.706144  1.393585  2.93867E-08  4.51729E-08  4.66073E-08
 ru  44   2.362251  0.602251  1.289692  1.61020E-08  2.45616E-08  2.55378E-08
 rh  45   1.303840  0.243840  0.931281  1.43314E-09  2.00485E-09  2.27296E-09
 pd  46   2.366778  0.716778  1.404219  1.71321E-08  2.62302E-08  2.71714E-08
 ag  47   1.571541  0.371541  1.058982  2.78254E-09  4.02518E-09  4.41311E-09
 cd  48   2.548555  0.838555  1.525996  2.75024E-08  4.24250E-08  4.36189E-08
 in  49   1.410811  0.650811  1.338252  2.04564E-09  3.10090E-09  3.24439E-09
 sn  50   2.989217  0.919217  1.606658  8.01146E-08  1.24321E-07  1.27062E-07
 sb  51   1.469178  0.459178  1.146619  2.48136E-09  3.77370E-09  3.93544E-09
 te  52   2.592286  0.412286  1.099727  3.45259E-08  5.32641E-08  5.47580E-08
  i  53   1.491800 -0.058200  0.629241  2.72448E-09  3.29930E-09  4.32102E-09
 xe  54   2.723011  0.483011  1.170452  4.80020E-08  7.13776E-08  7.61312E-08
 cs  55   1.538195  0.458195  1.145635  3.17500E-09  4.67297E-09  5.03555E-09
 ba  56   3.571907  1.391907  2.079348  3.54545E-07  5.57601E-07  5.62308E-07
 la  57   2.579720  1.409720  2.097160  3.65130E-08  5.74438E-08  5.79096E-08
 ce  58   3.106414  1.526414  2.213855  1.23854E-07  1.95229E-07  1.96432E-07
 pr  59   2.071246  1.311246  1.998687  1.14865E-08  1.80337E-08  1.82177E-08
 nd  60   2.868948  1.418948  2.106389  7.37974E-08  1.16172E-07  1.17043E-07
 sm  62   2.071536  1.131536  1.818977  1.22653E-08  1.92323E-08  1.94527E-08
 eu  63   1.006512  0.496512  1.183953  1.06723E-09  1.58105E-09  1.69263E-09
 gd  64   1.923525  0.873525  1.560966  9.12270E-09  1.40682E-08  1.44686E-08
 tb  65   0.903913  0.583914  1.271354  8.81278E-10  1.32236E-09  1.39771E-09
 dy  66   2.055764  0.925764  1.613205  1.27828E-08  1.97768E-08  2.02735E-08
 ho  67   1.035435  0.565435  1.252876  1.23806E-09  1.85311E-09  1.96356E-09
 er  68   1.913931  0.993931  1.681372  9.49135E-09  1.47431E-08  1.50533E-08
 tm  69   0.956379  0.836379  1.523820  1.05707E-09  1.62598E-09  1.67651E-09
 yb  70   2.226363  1.306363  1.993804  2.01612E-08  3.16920E-08  3.19757E-08
 lu  71   1.267621  1.177621  1.865062  2.24173E-09  3.50655E-09  3.55539E-09
 hf  72   2.222489  1.512489  2.199930  2.06116E-08  3.24826E-08  3.26899E-08
 ta  73   1.308786  1.428786  2.116227  2.54887E-09  4.01136E-09  4.04251E-09
  w  74   2.156858  1.506858  2.194299  1.82518E-08  2.87613E-08  2.89474E-08
 re  75   1.223636  0.963636  1.651077  2.15595E-09  3.34245E-09  3.41934E-09
 os  76   2.146140  0.796140  1.483581  1.84258E-08  2.82572E-08  2.92234E-08
 ir  77   1.363881  0.043881  0.731322  3.07384E-09  3.96382E-09  4.87511E-09
 pt  78   2.127731  0.507731  1.195172  1.81112E-08  2.70115E-08  2.87244E-08
 au  79   1.347446  0.547446  1.234887  3.03283E-09  4.52807E-09  4.81007E-09
 hg  80   2.644660  1.474660  2.162101  6.12318E-08  9.64876E-08  9.71136E-08
 tl  81   2.341188  1.571188  2.258629  3.10199E-08  4.89245E-08  4.91976E-08
 pb  82   4.013128  1.973128  2.660569  1.47749E-06  2.33815E-06  2.34330E-06
 bi  83   1.956844  1.306844  1.994285  1.30905E-08  2.05498E-08  2.07616E-08
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]
   -0.7765   1.4982   2.1301   0.6319   0.5304
