# Initial mass = 2.000, Z =  0.0028, Y =  0.250, M_mix = 1.00E-03
# Final mass = 0.659, Mass expelled =   1.3410
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)         Net M(i)      Mass(i)
  p   1  12.000000  0.000000  0.000000  7.06737E-01 -6.22326E-02  9.47735E-01
 he   2  11.007017  0.077017  0.768893  2.85233E-01  4.70108E-02  3.82498E-01
  c   6   9.080593  0.610593  1.302469  1.01384E-02  1.29155E-02  1.35956E-02
  n   7   7.600447 -0.269553  0.422323  3.91372E-04  3.25608E-04  5.24829E-04
  o   8   8.123404 -0.606596  0.085280  1.49037E-03  3.72263E-04  1.99858E-03
  f   9   5.039573  0.579573  1.271450  1.45908E-06  1.85150E-06  1.95662E-06
 ne  10   7.865142 -0.104858  0.587018  1.03720E-03  1.02955E-03  1.39088E-03
 na  11   5.983330 -0.326670  0.365207  1.55120E-05  1.17954E-05  2.08016E-05
 mg  12   6.968461 -0.671539  0.020338  1.58473E-04  8.95794E-06  2.12512E-04
 al  13   5.829438 -0.640562  0.051315  1.27735E-05  1.85137E-06  1.71293E-05
 si  14   6.860829 -0.689171  0.002705  1.42928E-04  4.69576E-07  1.91666E-04
  p  15   4.829173 -0.640827  0.051050  1.46544E-06  2.11326E-07  1.96515E-06
  s  16   6.468764 -0.691236  0.000640  6.61595E-05 -2.04185E-07  8.87199E-05
 cl  17   4.567184 -0.662816  0.029061  9.17562E-07  7.52945E-08  1.23045E-06
 ar  18   5.747462 -0.692538 -0.000661  1.56587E-05 -1.11178E-07  2.09983E-05
  k  19   4.397796 -0.682204  0.009672  6.85090E-07  1.80289E-08  9.18706E-07
 ca  20   5.597135 -0.692865 -0.000988  1.11132E-05 -8.99172E-08  1.49028E-05
 sc  21   2.428123 -0.621877  0.069999  8.44712E-09  1.64981E-09  1.13276E-08
 ti  22   4.232901 -0.677099  0.014778  5.73766E-07  2.29289E-08  7.69421E-07
  v  23   3.262709 -0.697291 -0.005415  6.54006E-08 -1.21313E-09  8.77022E-08
 cr  24   4.929938 -0.710062 -0.018185  3.10246E-06 -5.10727E-09  4.16040E-06
 mn  25   4.804401 -0.675599  0.016277  2.45511E-06  1.09084E-07  3.29231E-06
 fe  26   6.848124 -0.691876  0.000000  2.75998E-04 -1.39797E-06  3.70113E-04
 co  27   4.293065 -0.576935  0.114941  8.11374E-07  2.49859E-07  1.08805E-06
 ni  28   5.513300 -0.686699  0.005177  1.34179E-05  1.45887E-07  1.79934E-05
 cu  29   3.686541 -0.563459  0.128417  2.16484E-07  7.34969E-08  2.90306E-07
 zn  30   3.992393 -0.637608  0.054269  4.50638E-07  6.89645E-08  6.04306E-07
 ga  31   2.610536 -0.469464  0.222412  1.99393E-08  1.06557E-08  2.67386E-08
 ge  32   3.090639 -0.489361  0.202516  6.27498E-08  3.51934E-08  8.41476E-08
 as  33   1.758916 -0.541084  0.150792  3.01525E-09  1.17535E-09  4.04345E-09
 se  34   2.944184 -0.395816  0.296061  4.86843E-08  3.53307E-08  6.52857E-08
 br  35   2.135852 -0.404148  0.287728  7.65982E-09  4.95606E-09  1.02718E-08
 kr  36   3.018968 -0.231032  0.460844  6.13761E-08  5.38181E-08  8.23053E-08
 rb  37   2.095139 -0.264861  0.427015  7.46002E-09  6.24721E-09  1.00039E-08
 sr  38   3.197418  0.317418  1.009295  9.67875E-08  1.17111E-07  1.29792E-07
  y  39   2.582387  0.412387  1.104263  2.38296E-08  2.94323E-08  3.19555E-08
 zr  40   3.018612  0.488612  1.180488  6.67604E-08  8.35951E-08  8.95257E-08
 nb  41   1.824727  0.414727  1.106604  4.35080E-09  5.37624E-09  5.83442E-09
 mo  42   2.291522  0.351522  1.043398  1.31619E-08  1.64373E-08  1.76502E-08
 ru  44   2.028678  0.268678  0.960554  7.57004E-09  9.32602E-09  1.01514E-08
 rh  45   1.005918 -0.054082  0.637794  7.31401E-10  7.54120E-10  9.80809E-10
 pd  46   2.030999  0.380999  1.072876  8.01346E-09  9.95021E-09  1.07461E-08
 ag  47   1.262079  0.062079  0.753956  1.38283E-09  1.52637E-09  1.85438E-09
 cd  48   2.211811  0.501811  1.193687  1.28357E-08  1.62032E-08  1.72126E-08
 in  49   1.084198  0.324198  1.016074  9.77251E-10  1.18917E-09  1.31049E-09
 sn  50   2.668257  0.598257  1.290133  3.87741E-08  4.96785E-08  5.19961E-08
 sb  51   1.168118  0.158118  0.849995  1.25725E-09  1.54921E-09  1.68597E-09
 te  52   2.293091  0.113091  0.804967  1.75687E-08  2.22964E-08  2.35596E-08
  i  53   1.273795 -0.276205  0.415672  1.67135E-09  1.37740E-09  2.24129E-09
