# Initial mass = 3.500, Z =  0.0028, Y =  0.250, M_mix = 1.00E-03
# Final mass = 0.846, Mass expelled =   2.6540
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)     Net M(i) Mass(i) 
  p   1  12.000000  0.000000  0.000000  7.16922E-01 -9.61349E-02  1.90271E+00
 he   2  10.991482  0.061481  0.764658  2.79177E-01  7.69665E-02  7.40935E-01
  c   6   8.839281  0.369281  1.072457  5.90028E-03  1.43134E-02  1.56593E-02
  n   7   8.162445  0.292445  0.995622  1.44811E-03  3.44900E-03  3.84328E-03
  o   8   7.655646 -1.074354 -0.371177  5.14933E-04 -1.85205E-03  1.36663E-03
  f   9   4.824419  0.364419  1.067596  9.01860E-07  2.18549E-06  2.39354E-06
 ne  10   7.836715 -0.133285  0.569891  9.85480E-04  1.90034E-03  2.61546E-03
 na  11   5.984106 -0.325894  0.377283  1.57637E-05  2.40125E-05  4.18367E-05
 mg  12   7.116150 -0.523849  0.179327  2.25870E-04  1.96600E-04  5.99458E-04
 al  13   6.070524 -0.399476  0.303701  2.25741E-05  2.96748E-05  5.99116E-05
 si  14   6.873688 -0.676312  0.026865  1.49345E-04  1.79599E-05  3.96361E-04
  p  15   4.969874 -0.500126  0.203051  2.05534E-06  1.98383E-06  5.45487E-06
  s  16   6.461427 -0.698573  0.004604  6.59888E-05 -8.57355E-07  1.75134E-04
 cl  17   4.560845 -0.669155  0.034022  9.17298E-07  1.48317E-07  2.43451E-06
 ar  18   5.739131 -0.700869  0.002308  1.55825E-05 -4.22133E-07  4.13560E-05
  k  19   4.398471 -0.681529  0.021647  6.96045E-07  6.47547E-08  1.84730E-06
 ca  20   5.586903 -0.703097  0.000080  1.10108E-05 -4.49567E-07  2.92228E-05
 sc  21   2.532370 -0.517630  0.185546  1.08935E-08  9.75796E-09  2.89114E-08
 ti  22   4.222704 -0.687296  0.015881  5.68528E-07  3.14768E-08  1.50887E-06
  v  23   3.259842 -0.700158  0.003018  6.59067E-08 -1.05778E-09  1.74916E-07
 cr  24   4.920723 -0.719277 -0.016100  3.08109E-06 -6.68160E-08  8.17722E-06
 mn  25   4.774607 -0.705393 -0.002217  2.32536E-06 -1.28462E-07  6.17152E-06
 fe  26   6.836823 -0.703176  0.000000  2.72784E-04 -1.12951E-05  7.23970E-04
 co  27   4.508421 -0.361579  0.341598  1.35142E-06  1.92779E-06  3.58668E-06
 ni  28   5.575297 -0.624703  0.078474  1.56998E-05  6.34496E-06  4.16673E-05
