# Initial mass = 3.000, Z =  0.0028, Y =  0.250, M_mix = 2.00E-03
# Final mass = 0.748, Mass expelled =   2.2520
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)     Net M(i) Mass(i) 
  p   1  12.000000  0.000000  0.000000  7.06884E-01 -1.04180E-01  1.59190E+00
 he   2  11.004806  0.074805  0.771238  2.83844E-01  7.58181E-02  6.39216E-01
  c   6   9.059097  0.589097  1.285530  9.65082E-03  2.05916E-02  2.17337E-02
  n   7   8.036087  0.166087  0.862520  1.06738E-03  2.06918E-03  2.40375E-03
  o   8   8.112026 -0.617973  0.078459  1.45213E-03  5.39052E-04  3.27020E-03
  f   9   5.376064  0.916064  1.612497  3.16709E-06  6.95574E-06  7.13228E-06
 ne  10   8.127909  0.157909  0.854342  1.89984E-03  3.67164E-03  4.27844E-03
 na  11   6.184170 -0.125830  0.570602  2.46375E-05  4.03592E-05  5.54836E-05
 mg  12   7.117507 -0.522492  0.173940  2.23404E-04  1.61269E-04  5.03106E-04
 al  13   5.981013 -0.488987  0.207446  1.81124E-05  1.51322E-05  4.07890E-05
 si  14   6.873520 -0.676480  0.019952  1.47197E-04  1.04019E-05  3.31487E-04
  p  15   4.975677 -0.494323  0.202110  2.05382E-06  1.67992E-06  4.62520E-06
  s  16   6.466697 -0.693303  0.003129  6.58591E-05 -1.01957E-06  1.48315E-04
 cl  17   4.579540 -0.650460  0.045972  9.44236E-07  1.86516E-07  2.12642E-06
 ar  18   5.743406 -0.696594 -0.000162  1.55163E-05 -5.07291E-07  3.49428E-05
  k  19   4.405711 -0.674289  0.022143  6.97836E-07  5.89790E-08  1.57153E-06
 ca  20   5.591354 -0.698646 -0.002213  1.09685E-05 -4.76772E-07  2.47011E-05
 sc  21   2.571842 -0.478158  0.218275  1.17630E-08  1.02379E-08  2.64902E-08
 ti  22   4.239028 -0.670972  0.025461  5.82039E-07  5.71350E-08  1.31075E-06
  v  23   3.262715 -0.697285 -0.000852  6.54152E-08 -2.00451E-09  1.47315E-07
 cr  24   4.927611 -0.712389 -0.015956  3.08652E-06 -4.44757E-08  6.95084E-06
 mn  25   4.783273 -0.696727 -0.000295  2.33902E-06 -7.82620E-08  5.26746E-06
 fe  26   6.843567 -0.696433  0.000000  2.73174E-04 -8.70699E-06  6.15188E-04
 co  27   4.589131 -0.280869  0.415564  1.60464E-06  2.20603E-06  3.61365E-06
 ni  28   5.547091 -0.652909  0.043523  1.45066E-05  2.69668E-06  3.26688E-05
 cu  29   3.976767 -0.273233  0.423199  4.22418E-07  5.87190E-07  9.51286E-07
 zn  30   4.095455 -0.534545  0.161887  5.71453E-07  3.87889E-07  1.28691E-06
 ga  31   2.911076 -0.168924  0.527508  3.98419E-08  6.27151E-08  8.97239E-08
 ge  32   3.381818 -0.198182  0.498250  1.22710E-07  1.94133E-07  2.76344E-07
 as  33   1.989663 -0.310337  0.386096  5.13051E-09  6.73738E-09  1.15539E-08
 se  34   3.289512 -0.050488  0.645944  1.07847E-07  1.92566E-07  2.42870E-07
 br  35   2.457742 -0.082258  0.614174  1.60767E-08  2.72779E-08  3.62048E-08
 kr  36   3.881118  0.631118  1.327550  4.46930E-07  9.58646E-07  1.00649E-06
 rb  37   3.085711  0.725712  1.422144  7.30134E-08  1.58117E-07  1.64426E-07
 sr  38   3.531801  0.651801  1.348234  2.09070E-07  4.49531E-07  4.70827E-07
  y  39   2.968625  0.798625  1.495058  5.80021E-08  1.26383E-07  1.30621E-07
 zr  40   3.386049  0.856049  1.552482  1.55613E-07  3.40481E-07  3.50441E-07
 nb  41   2.231933  0.821933  1.518365  1.11139E-08  2.42589E-08  2.50284E-08
 mo  42   2.717235  0.777235  1.473667  3.50850E-08  7.69747E-08  7.90115E-08
 ru  44   2.181555  0.421555  1.117987  1.07663E-08  2.28595E-08  2.42457E-08
 rh  45   1.099493  0.039493  0.735926  9.07448E-10  1.66289E-09  2.04357E-09
 pd  46   2.131225  0.481225  1.177657  1.00957E-08  2.13990E-08  2.27355E-08
 ag  47   1.351912  0.151912  0.848345  1.70096E-09  3.27972E-09  3.83055E-09
 cd  48   2.364509  0.654509  1.350941  1.82476E-08  3.93984E-08  4.10936E-08
 in  49   1.266357  0.506357  1.202790  1.48681E-09  3.14455E-09  3.34830E-09
