# Initial mass = 5.500, Z =  0.0028, Y =  0.250, M_mix = 0.00E+00
# Final mass = 0.947, Mass expelled =   4.5530
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)         Net M(i)      Mass(i)
  p   1  12.000000  0.000000  0.000000  6.63425E-01 -4.08493E-01  3.02058E+00
 he   2  11.104973  0.174973  0.839441  3.35498E-01  3.88470E-01  1.52752E+00
  c   6   7.777389 -0.692611 -0.028143  4.73479E-04 -1.53277E-04  2.15575E-03
  n   7   8.666707  0.796707  1.461175  4.27941E-03  1.88077E-02  1.94841E-02
  o   8   7.831075 -0.898924 -0.234456  7.13674E-04 -2.27237E-03  3.24936E-03
  f   9   3.376773 -1.083227 -0.418759  2.97723E-08 -2.21356E-07  1.35553E-07
 ne  10   7.385890 -0.584110  0.080358  3.22955E-04  2.43610E-04  1.47042E-03
 na  11   5.915087 -0.394913  0.269555  1.24439E-05  2.60793E-05  5.66572E-05
 mg  12   6.994053 -0.645947  0.018522  1.57790E-04  2.73078E-05  7.18420E-04
 al  13   5.948636 -0.521364  0.143105  1.57776E-05  1.99636E-05  7.18356E-05
 si  14   6.896881 -0.653119  0.011349  1.45782E-04  1.45877E-05  6.63744E-04
  p  15   4.831932 -0.638068  0.026400  1.38440E-06  3.48512E-07  6.30316E-06
  s  16   6.496034 -0.663966  0.000502  6.61297E-05 -8.29110E-07  3.01089E-04
 cl  17   4.581100 -0.648900  0.015568  8.89374E-07  1.27306E-07  4.04932E-06
 ar  18   5.775705 -0.664295  0.000174  1.56867E-05 -2.49776E-07  7.14216E-05
  k  19   4.422888 -0.657112  0.007357  6.81357E-07  4.42146E-08  3.10222E-06
 ca  20   5.625058 -0.664942 -0.000474  1.11249E-05 -2.52021E-07  5.06516E-05
 sc  21   2.444562 -0.605438  0.059030  8.23534E-09  4.63728E-09  3.74955E-08
 ti  22   4.247581 -0.662419  0.002049  5.57120E-07  2.05728E-09  2.53657E-06
  v  23   3.291943 -0.668057 -0.003589  6.56674E-08 -2.90410E-09  2.98984E-07
 cr  24   4.956996 -0.683004 -0.018536  3.09954E-06 -3.06145E-08  1.41122E-05
 mn  25   4.818380 -0.661620  0.002848  2.38004E-06  2.85581E-08  1.08363E-05
 fe  26   6.875532 -0.664468  0.000000  2.75961E-04 -4.91389E-06  1.25645E-03
 co  27   4.378712 -0.491288  0.173181  9.27690E-07  1.37791E-06  4.22377E-06
 ni  28   5.558046 -0.641953  0.022515  1.39625E-05  2.97508E-06  6.35714E-05
 cu  29   3.814034 -0.435966  0.228503  2.72556E-07  5.04831E-07  1.24095E-06
 zn  30   4.007555 -0.622445  0.042023  4.38051E-07  1.76841E-07  1.99445E-06
 ga  31   2.574121 -0.505878  0.158590  1.72119E-08  2.37607E-08  7.83658E-08
 ge  32   3.018004 -0.561996  0.102473  4.98324E-08  6.06767E-08  2.26887E-07
 as  33   1.706972 -0.593028  0.071440  2.51139E-09  1.69647E-09  1.14343E-08
 se  34   2.773896 -0.566104  0.098365  3.08770E-08  3.88791E-08  1.40583E-07
 br  35   1.985229 -0.554770  0.109698  5.08312E-09  5.09525E-09  2.31435E-08
 kr  36   2.724346 -0.525654  0.138814  2.92356E-08  3.63892E-08  1.33110E-07
 rb  37   1.923997 -0.436003  0.228465  4.72208E-09  8.74485E-09  2.14996E-08
 sr  38   2.306682 -0.573318  0.091150  1.16847E-08  1.01449E-08  5.32004E-08
  y  39   1.579328 -0.590672  0.073796  2.22122E-09  1.54662E-09  1.01132E-08
 zr  40   1.912171 -0.617829  0.046640  4.90471E-09  2.19540E-09  2.23311E-08
 nb  41   0.780333 -0.629667  0.034801  3.68730E-10  1.23183E-10  1.67883E-09
 mo  42   1.192317 -0.747683 -0.083215  9.83215E-10  3.58693E-10  4.47658E-09
 ru  44   0.980814 -0.779186 -0.114718  6.36456E-10  9.53666E-11  2.89778E-09
 rh  45   0.392068 -0.667932 -0.003464  1.67048E-10 -9.09051E-12  7.60569E-10
 pd  46   0.937930 -0.712070 -0.047602  6.07135E-10  6.22162E-11  2.76429E-09
 ag  47   0.533711 -0.666289 -0.001820  2.42626E-10 -8.97749E-12  1.10467E-09
 cd  48   1.016639 -0.693361 -0.028893  7.68740E-10  7.28295E-11  3.50007E-09
 in  49   0.077322 -0.682678 -0.018210  9.02950E-11 -8.19067E-13  4.11113E-10
 sn  50   1.353230 -0.716770 -0.052302  1.76217E-09  1.54331E-10  8.02318E-09
 sb  51   0.104486 -0.905514 -0.241046  1.01935E-10 -2.24210E-13  4.64110E-10
 te  52   1.054810 -1.125190 -0.460722  9.52778E-10  4.92051E-11  4.33800E-09
  i  53   0.876751 -0.673249 -0.008781  6.28866E-10 -6.98750E-11  2.86323E-09
 xe  54   1.542203 -0.697797 -0.033329  3.01146E-09  6.48122E-11  1.37112E-08
 cs  55   0.413113 -0.666887 -0.002419  2.26457E-10 -9.81726E-12  1.03106E-09
 ba  56   1.530090 -0.649910  0.014559  3.06323E-09  4.35035E-10  1.39469E-08
 la  57   0.511811 -0.658189  0.006280  2.97074E-10  1.54050E-11  1.35258E-09
 ce  58   0.919981 -0.660019  0.004449  7.67009E-10  3.72289E-11  3.49219E-09
 pr  59   0.096501 -0.663499  0.000970  1.15816E-10 -8.83460E-13  5.27311E-10
 nd  60   0.762856 -0.687144 -0.022675  5.49888E-10  3.63820E-12  2.50364E-09
 sm  62   0.146954 -0.793046 -0.128578  1.38809E-10 -8.24063E-13  6.31998E-10
 eu  63  -0.168814 -0.678814 -0.014345  6.78047E-11 -1.16172E-11  3.08715E-10
 gd  64   0.385298 -0.664702 -0.000234  2.51316E-10 -5.10081E-12  1.14424E-09
 tb  65  -0.354788 -0.674788 -0.010320  4.62101E-11 -5.90483E-12  2.10394E-10
 dy  66   0.464945 -0.665055 -0.000587  3.11982E-10 -5.33917E-12  1.42046E-09
 ho  67  -0.204327 -0.674327 -0.009858  6.78119E-11 -8.32462E-12  3.08748E-10
 er  68   0.249257 -0.670743 -0.006275  1.95424E-10 -7.13374E-13  8.89768E-10
 tm  69  -0.551263 -0.671263 -0.006795  3.12454E-11 -2.80859E-12  1.42260E-10
 yb  70   0.200492 -0.719508 -0.055040  1.80705E-10  8.09208E-12  8.22751E-10
 lu  71  -0.575632 -0.665632 -0.001164  3.05954E-11 -9.20458E-13  1.39301E-10
 hf  72   0.052515 -0.657485  0.006983  1.32575E-10  8.27755E-12  6.03613E-10
 ta  73  -0.784989 -0.664989 -0.000521  1.95387E-11 -4.44388E-13  8.89599E-11
  w  74  -0.008365 -0.658365  0.006104  1.18688E-10  6.09879E-12  5.40388E-10
 re  75  -0.412561 -0.672561 -0.008093  4.73988E-11 -4.91857E-12  2.15807E-10
 os  76   0.682405 -0.667595 -0.003126  6.02583E-10 -3.00935E-11  2.74356E-09
 ir  77   0.644114 -0.675887 -0.011418  5.57490E-10 -7.78295E-11  2.53825E-09
 pt  78   0.925251 -0.694749 -0.030281  1.08091E-09  4.09806E-12  4.92140E-09
 au  79   0.130491 -0.669509 -0.005040  1.75072E-10 -1.24653E-11  7.97104E-10
 hg  80   0.488028 -0.681972 -0.017504  4.06134E-10  5.21143E-11  1.84913E-09
 tl  81   0.124118 -0.645882  0.018586  1.79017E-10  3.10885E-11  8.15066E-10
 pb  82   1.382452 -0.657548  0.006920  3.28984E-09  1.79218E-10  1.49786E-08
 bi  83  -0.010597 -0.660597  0.003871  1.34227E-10  3.04795E-12  6.11135E-10
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]
    0.1818   0.0705   0.0084  -0.0621  -0.0015
