# Initial mass = 7.000, Z =  0.0028, Y =  0.250, M_mix = 0.00E+00
# Final mass = 1.109, Mass expelled =   5.8910
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)         Net M(i)      Mass(i)
  p   1  12.000000  0.000000  0.000000  6.51896E-01 -5.96458E-01  3.84032E+00
 he   2  11.130655  0.200655  0.856374  3.49750E-01  5.86589E-01  2.06038E+00
  c   6   7.354379 -1.115622 -0.459903  1.75661E-04 -1.95276E-03  1.03482E-03
  n   7   8.354858  0.484859  1.140577  2.05079E-03  1.12060E-02  1.20812E-02
  o   8   7.688571 -1.041428 -0.385709  5.05106E-04 -4.16883E-03  2.97558E-03
  f   9   2.262899 -2.197101 -1.541382  2.25074E-09 -4.48536E-07  1.32591E-08
 ne  10   7.329091 -0.640909  0.014810  2.78439E-04  5.29550E-05  1.64028E-03
 na  11   5.375762 -0.934237 -0.278519  3.53199E-06 -1.87570E-05  2.08069E-05
 mg  12   6.967927 -0.672073 -0.016354  1.45996E-04 -3.41489E-05  8.60062E-04
 al  13   6.074886 -0.395113  0.260605  2.07338E-05  5.50270E-05  1.22143E-04
 si  14   6.901819 -0.648181  0.007537  1.44886E-04  1.35986E-05  8.53524E-04
  p  15   4.822649 -0.647351  0.008368  1.33157E-06  1.39724E-07  7.84428E-06
  s  16   6.504486 -0.655514  0.000205  6.62575E-05 -3.19968E-07  3.90323E-04
 cl  17   4.583515 -0.646485  0.009234  8.78792E-07  1.02373E-07  5.17696E-06
 ar  18   5.784261 -0.655739 -0.000020  1.57208E-05 -1.22585E-07  9.26111E-05
  k  19   4.427909 -0.652091  0.003628  6.77302E-07  3.33180E-08  3.98998E-06
 ca  20   5.634146 -0.655854 -0.000135  1.11627E-05 -1.03246E-07  6.57595E-05
 sc  21   2.414815 -0.635185  0.020534  7.55651E-09  2.00102E-09  4.45154E-08
 ti  22   4.254956 -0.655044  0.000675  5.56814E-07  8.62201E-10  3.28019E-06
  v  23   3.300980 -0.659020 -0.003302  6.58830E-08 -2.48752E-09  3.88117E-07
 cr  24   4.965283 -0.674717 -0.018998  3.10435E-06 -1.12886E-08  1.82877E-05
 mn  25   4.830334 -0.649666  0.006053  2.40395E-06  1.77791E-07  1.41617E-05
 fe  26   6.884281 -0.655719  0.000000  2.76684E-04 -2.10083E-06  1.62994E-03
 co  27   4.266979 -0.603021  0.052698  7.04783E-07  4.69697E-07  4.15188E-06
 ni  28   5.551135 -0.648865  0.006854  1.35033E-05  1.14382E-06  7.95477E-05
 cu  29   3.684610 -0.565390  0.090329  1.98800E-07  2.18695E-07  1.17113E-06
 zn  30   3.989952 -0.640048  0.015671  4.13340E-07  8.32370E-08  2.43499E-06
 ga  31   2.490508 -0.589492  0.066227  1.39509E-08  1.15326E-08  8.21847E-08
 ge  32   2.946704 -0.633296  0.022423  4.15525E-08  2.97310E-08  2.44786E-07
 as  33   1.669452 -0.630548  0.025171  2.26350E-09  7.34698E-10  1.33343E-08
 se  34   2.703202 -0.636798  0.018921  2.57827E-08  2.02939E-08  1.51886E-07
