#
# Initial mass = 2.500, Z =  0.0028, Y =  0.250, M_mix = 4.00E-03
#
#Initial isotopic abundance ratios: 
#  c12/c13   n14/n15   o16/o17   o16/o18   mg24/mg25 mg24/m26 al26/al27 si28/si29 si28/si30 cl36/cl35 cl37/cl35  s33/s32  s34/s32   s36/s32   ar36/ar40 ar38/ar40  k40/k39  k41/k39  ca42/ca40 ca43/ca40 ca44/ca40 ca46/ca40 ca48/ca40 ti46/ti48 ti47/ti48 ti49/ti48 ti50/ti48 cr53/cr52 cr54/cr52 fe54/fe56 fe57/fe56 fe58/fe56 fe60/fe56 ni60/ni58 ni61/ni58 ni62/ni58
#
  8.940E+01 4.350E+02 2.632E+03 5.000E+02 7.899E+00 7.174E+00 0.000E+00 1.969E+01 2.987E+01 0.000E+00 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.439E+03 6.252E+02 1.578E-04 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 0.000E+00 3.852E-01 1.674E-02 5.339E-02
#
# During TP-AGB
#
  1.853E+01 3.289E+03 1.133E+02 7.925E+02 7.984E+00 7.107E+00 2.805E-06 1.969E+01 2.987E+01 7.986E-16 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.436E+03 6.248E+02 1.161E-04 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 2.385E-30 3.852E-01 1.674E-02 5.339E-02
  1.861E+01 3.272E+03 1.136E+02 7.912E+02 7.984E+00 7.107E+00 3.256E-06 1.969E+01 2.987E+01 8.447E-16 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.436E+03 6.248E+02 1.161E-04 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 3.001E-30 3.852E-01 1.674E-02 5.339E-02
  1.888E+01 3.208E+03 1.147E+02 7.868E+02 7.983E+00 7.108E+00 1.790E-05 1.969E+01 2.987E+01 6.737E-16 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.436E+03 6.248E+02 1.161E-04 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 2.898E-30 3.852E-01 1.674E-02 5.339E-02
  1.909E+01 3.160E+03 1.156E+02 7.833E+02 7.984E+00 7.109E+00 1.565E-04 1.969E+01 2.987E+01 4.840E-15 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.436E+03 6.248E+02 1.161E-04 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 1.308E-29 3.852E-01 1.674E-02 5.339E-02
  2.859E+01 3.087E+03 1.162E+02 7.791E+02 7.987E+00 7.112E+00 4.826E-04 1.969E+01 2.986E+01 3.122E-05 3.213E-01 8.011E-03 4.520E-02 2.126E-04 3.331E+03 6.059E+02 1.803E-04 7.229E-02 6.684E-03 1.394E-03 2.153E-02 4.867E-05 1.929E-03 1.120E-01 1.009E-01 7.367E-02 7.139E-02 1.134E-01 2.832E-02 6.369E-02 2.313E-02 3.107E-03 1.052E-07 3.854E-01 1.682E-02 5.349E-02
  5.536E+01 2.991E+03 1.187E+02 7.898E+02 7.980E+00 7.120E+00 7.909E-04 1.969E+01 2.983E+01 9.754E-05 3.266E-01 8.029E-03 4.522E-02 2.198E-04 2.967E+03 5.403E+02 4.004E-04 7.272E-02 6.717E-03 1.401E-03 2.157E-02 7.943E-05 1.930E-03 1.122E-01 1.011E-01 7.452E-02 7.604E-02 1.134E-01 2.859E-02 6.366E-02 2.325E-02 3.202E-03 3.365E-07 3.859E-01 1.705E-02 5.381E-02
  9.568E+01 2.941E+03 1.223E+02 8.142E+02 7.929E+00 7.134E+00 1.059E-03 1.969E+01 2.978E+01 1.908E-04 3.348E-01 8.058E-03 4.527E-02 2.322E-04 2.475E+03 4.516E+02 7.710E-04 7.346E-02 6.771E-03 1.412E-03 2.165E-02 1.332E-04 1.931E-03 1.127E-01 1.012E-01 7.590E-02 8.408E-02 1.134E-01 2.903E-02 6.362E-02 2.343E-02 3.351E-03 7.408E-07 3.867E-01 1.742E-02 5.433E-02
