#
# Initial mass = 4.000, Z =  0.0028, Y =  0.250, M_mix = 1.00E-04
#
#Initial isotopic abundance ratios: 
#  c12/c13   n14/n15   o16/o17   o16/o18   mg24/mg25 mg24/m26 al26/al27 si28/si29 si28/si30 cl36/cl35 cl37/cl35  s33/s32  s34/s32   s36/s32   ar36/ar40 ar38/ar40  k40/k39  k41/k39  ca42/ca40 ca43/ca40 ca44/ca40 ca46/ca40 ca48/ca40 ti46/ti48 ti47/ti48 ti49/ti48 ti50/ti48 cr53/cr52 cr54/cr52 fe54/fe56 fe57/fe56 fe58/fe56 fe60/fe56 ni60/ni58 ni61/ni58 ni62/ni58
#
  8.940E+01 4.350E+02 2.632E+03 5.000E+02 7.899E+00 7.174E+00 0.000E+00 1.969E+01 2.987E+01 0.000E+00 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.439E+03 6.252E+02 1.578E-04 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 0.000E+00 3.852E-01 1.674E-02 5.339E-02
#
# During TP-AGB
#
  1.861E+01 3.318E+03 1.817E+02 7.658E+02 8.285E+00 6.986E+00 4.110E-04 1.969E+01 2.988E+01 1.060E-10 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.438E+03 6.251E+02 1.443E-04 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 2.404E-23 3.852E-01 1.674E-02 5.339E-02
  1.861E+01 3.318E+03 1.817E+02 7.658E+02 8.285E+00 6.986E+00 4.086E-04 1.969E+01 2.988E+01 1.044E-10 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.438E+03 6.251E+02 1.443E-04 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 2.400E-23 3.852E-01 1.674E-02 5.339E-02
  1.861E+01 3.319E+03 1.817E+02 7.658E+02 8.285E+00 6.986E+00 4.624E-04 1.969E+01 2.988E+01 1.872E-10 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.438E+03 6.251E+02 1.443E-04 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 1.089E-21 3.852E-01 1.674E-02 5.339E-02
  2.033E+01 3.322E+03 1.818E+02 7.659E+02 8.285E+00 6.986E+00 5.414E-04 1.970E+01 2.988E+01 4.082E-06 3.197E-01 8.006E-03 4.519E-02 2.107E-04 3.438E+03 6.251E+02 1.483E-04 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.128E-05 1.929E-03 1.119E-01 1.009E-01 7.340E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.074E-03 1.278E-11 3.852E-01 1.675E-02 5.339E-02
  2.535E+01 3.335E+03 1.820E+02 7.667E+02 8.284E+00 6.985E+00 5.907E-04 1.970E+01 2.989E+01 1.990E-05 3.200E-01 8.009E-03 4.519E-02 2.109E-04 3.423E+03 6.224E+02 1.659E-04 7.218E-02 6.675E-03 1.393E-03 2.152E-02 4.164E-05 1.929E-03 1.119E-01 1.009E-01 7.346E-02 7.031E-02 1.134E-01 2.825E-02 6.370E-02 2.311E-02 3.078E-03 1.076E-09 3.852E-01 1.677E-02 5.340E-02
  3.373E+01 3.385E+03 1.824E+02 7.684E+02 8.279E+00 6.984E+00 6.199E-04 1.971E+01 2.989E+01 5.200E-05 3.207E-01 8.014E-03 4.519E-02 2.116E-04 3.393E+03 6.170E+02 2.037E-04 7.220E-02 6.678E-03 1.393E-03 2.152E-02 4.250E-05 1.929E-03 1.119E-01 1.009E-01 7.360E-02 7.046E-02 1.134E-01 2.828E-02 6.369E-02 2.314E-02 3.090E-03 8.743E-09 3.853E-01 1.680E-02 5.343E-02
  4.458E+01 3.482E+03 1.830E+02 7.711E+02 8.269E+00 6.982E+00 6.403E-04 1.972E+01 2.990E+01 9.784E-05 3.218E-01 8.021E-03 4.520E-02 2.127E-04 3.352E+03 6.098E+02 2.606E-04 7.225E-02 6.682E-03 1.394E-03 2.152E-02 4.377E-05 1.929E-03 1.119E-01 1.009E-01 7.382E-02 7.065E-02 1.134E-01 2.835E-02 6.368E-02 2.319E-02 3.116E-03 4.046E-08 3.854E-01 1.687E-02 5.348E-02
