#
# Initial mass = 6.500, Z =  0.0028, Y =  0.250, M_mix = 0.00E+00
#
#Initial isotopic abundance ratios: 
#  c12/c13   n14/n15   o16/o17   o16/o18   mg24/mg25 mg24/m26 al26/al27 si28/si29 si28/si30 cl36/cl35 cl37/cl35  s33/s32  s34/s32   s36/s32   ar36/ar40 ar38/ar40  k40/k39  k41/k39  ca42/ca40 ca43/ca40 ca44/ca40 ca46/ca40 ca48/ca40 ti46/ti48 ti47/ti48 ti49/ti48 ti50/ti48 cr53/cr52 cr54/cr52 fe54/fe56 fe57/fe56 fe58/fe56 fe60/fe56 ni60/ni58 ni61/ni58 ni62/ni58
#
  8.940E+01 4.350E+02 2.632E+03 5.000E+02 7.899E+00 7.174E+00 0.000E+00 1.969E+01 2.987E+01 0.000E+00 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.439E+03 6.252E+02 1.578E-04 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 0.000E+00 3.852E-01 1.674E-02 5.339E-02
#
# During TP-AGB
#
  2.676E+00 4.477E+04 2.833E+02 1.160E+06 9.240E+00 6.920E+00 1.456E-03 1.970E+01 2.986E+01 1.976E-04 3.301E-01 7.994E-03 4.519E-02 2.109E-04 3.435E+03 6.249E+02 7.467E-04 7.661E-02 6.685E-03 1.392E-03 2.152E-02 4.294E-05 1.930E-03 1.120E-01 1.007E-01 7.495E-02 7.045E-02 1.129E-01 2.899E-02 6.355E-02 2.333E-02 3.144E-03 1.080E-13 3.852E-01 1.730E-02 5.343E-02
  2.549E+00 4.057E+04 2.769E+02 1.328E+06 9.038E+00 6.912E+00 2.006E-03 1.970E+01 2.986E+01 1.970E-04 3.301E-01 7.994E-03 4.519E-02 2.109E-04 3.435E+03 6.249E+02 7.467E-04 7.662E-02 6.685E-03 1.392E-03 2.152E-02 4.294E-05 1.930E-03 1.120E-01 1.007E-01 7.495E-02 7.045E-02 1.129E-01 2.899E-02 6.355E-02 2.333E-02 3.144E-03 1.080E-13 3.852E-01 1.730E-02 5.343E-02
  2.662E+00 3.741E+04 2.473E+02 8.544E+05 8.389E+00 6.873E+00 2.990E-03 1.970E+01 2.986E+01 1.962E-04 3.301E-01 7.994E-03 4.519E-02 2.109E-04 3.435E+03 6.249E+02 7.467E-04 7.662E-02 6.685E-03 1.392E-03 2.152E-02 4.294E-05 1.930E-03 1.120E-01 1.007E-01 7.495E-02 7.045E-02 1.129E-01 2.899E-02 6.355E-02 2.333E-02 3.144E-03 1.079E-13 3.852E-01 1.730E-02 5.343E-02
  2.876E+00 3.585E+04 2.218E+02 6.145E+05 7.291E+00 6.787E+00 4.535E-03 1.970E+01 2.986E+01 1.953E-04 3.301E-01 7.994E-03 4.519E-02 2.109E-04 3.435E+03 6.249E+02 7.466E-04 7.662E-02 6.685E-03 1.392E-03 2.152E-02 4.294E-05 1.930E-03 1.120E-01 1.007E-01 7.495E-02 7.045E-02 1.129E-01 2.899E-02 6.355E-02 2.333E-02 3.144E-03 1.079E-13 3.852E-01 1.730E-02 5.343E-02
  2.978E+00 3.318E+04 2.057E+02 4.947E+05 6.009E+00 6.645E+00 6.745E-03 1.970E+01 2.986E+01 1.942E-04 3.301E-01 7.994E-03 4.519E-02 2.109E-04 3.435E+03 6.249E+02 7.464E-04 7.662E-02 6.685E-03 1.392E-03 2.152E-02 4.294E-05 1.930E-03 1.120E-01 1.007E-01 7.495E-02 7.045E-02 1.129E-01 2.899E-02 6.355E-02 2.333E-02 3.144E-03 1.080E-13 3.852E-01 1.730E-02 5.343E-02
  2.982E+00 3.116E+04 1.956E+02 4.696E+05 4.790E+00 6.444E+00 9.787E-03 1.970E+01 2.986E+01 1.930E-04 3.301E-01 7.994E-03 4.519E-02 2.109E-04 3.435E+03 6.249E+02 7.464E-04 7.662E-02 6.685E-03 1.392E-03 2.152E-02 4.294E-05 1.930E-03 1.120E-01 1.007E-01 7.495E-02 7.045E-02 1.129E-01 2.899E-02 6.355E-02 2.333E-02 3.144E-03 1.084E-13 3.852E-01 1.730E-02 5.343E-02
  2.958E+00 2.901E+04 1.868E+02 4.180E+05 3.682E+00 6.163E+00 1.406E-02 1.971E+01 2.987E+01 1.925E-04 3.300E-01 7.994E-03 4.519E-02 2.109E-04 3.435E+03 6.249E+02 7.468E-04 7.662E-02 6.685E-03 1.392E-03 2.152E-02 4.294E-05 1.930E-03 1.120E-01 1.007E-01 7.495E-02 7.045E-02 1.129E-01 2.899E-02 6.355E-02 2.333E-02 3.144E-03 7.526E-12 3.852E-01 1.730E-02 5.343E-02
