# Initial mass = 1.000, Z =  0.0028, Y =  0.250, M_mix = 0.00E+00
# Final mass = 0.651, Mass expelled =   0.3490
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>           X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -7.5385273E-03  2.5314820E-01  2.6068673E-01  7.2535300E-01  7.4716753E-01 -1.2868561E-02
      d      2   1.3036190E-18  1.3036190E-18  0.0000000E+00  3.7352978E-18  0.0000000E+00  0.0000000E+00
    he3      3   9.9517449E-05  9.9517449E-05  0.0000000E+00  2.8515028E-04  0.0000000E+00  0.0000000E+00
    he4      4   7.4336827E-03  9.4654880E-02  8.7221198E-02  2.7121744E-01  2.4998912E-01  3.5396494E-02
    li7      7  -2.9389274E-10  3.4107756E-10  6.3497030E-10  9.7729957E-10  1.8199209E-09 -2.7002481E-01
    be7      7   1.1216114E-17  1.1216114E-17  0.0000000E+00  3.2137863E-17  0.0000000E+00  0.0000000E+00
     b8      8   5.2642965E-28  5.2642965E-28  0.0000000E+00  1.5083944E-27  0.0000000E+00  0.0000000E+00
    c12     12  -3.7337828E-05  1.3748693E-04  1.7482476E-04  3.9394537E-04  5.0107419E-04 -1.0446605E-01
    c13     13   3.6985737E-06  5.8171067E-06  2.1185331E-06  1.6667927E-05  6.0720358E-06  4.3854731E-01
    c14     14   5.6882610E-24  5.6882610E-24  0.0000000E+00  1.6298742E-23  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   4.4502725E-05  9.6191259E-05  5.1688534E-05  2.7561965E-04  1.4814714E-04  2.6961690E-01
    n15     15  -4.2123780E-08  8.5191239E-08  1.2731502E-07  2.4410096E-07  3.6490411E-07 -1.7460927E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -5.7267898E-06  4.1642936E-04  4.2215615E-04  1.1932073E-03  1.2099633E-03 -6.0563008E-03
    o17     17   2.7516950E-07  4.4558016E-07  1.7041067E-07  1.2767340E-06  4.8842276E-07  4.1730455E-01
    o18     18  -1.2826564E-07  8.2158567E-07  9.4985131E-07  2.3541136E-06  2.7224175E-06 -6.3127324E-02
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19  -5.4565596E-10  2.6807468E-08  2.7353124E-08  7.6812228E-08  7.8398187E-08 -8.8756494E-03
