# Initial mass = 3.250, Z =  0.0028, Y =  0.250, M_mix = 5.00E-04
# Final mass = 0.802, Mass expelled =   2.4480
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>           X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -8.1698060E-02  1.7472186E+00  1.8289167E+00  7.1373314E-01  7.4716753E-01 -1.9882130E-02
      d      2   1.5928124E-17  1.5928124E-17  0.0000000E+00  6.5065870E-18  0.0000000E+00  0.0000000E+00
    he3      3   2.3736563E-04  2.3736563E-04  0.0000000E+00  9.6963093E-05  0.0000000E+00  0.0000000E+00
    he4      4   5.9883416E-02  6.7180675E-01  6.1192334E-01  2.7443090E-01  2.4998912E-01  4.0511914E-02
    li7      7   1.6074333E-08  2.0529136E-08  4.4548023E-09  8.3860856E-09  1.8199209E-09  6.6350681E-01
    be7      7   2.3514869E-15  2.3514869E-15  0.0000000E+00  9.6057486E-16  0.0000000E+00  0.0000000E+00
     b8      8   1.7909437E-26  1.7909437E-26  0.0000000E+00  7.3159469E-27  0.0000000E+00  0.0000000E+00
    c12     12   1.8801466E-02  2.0027995E-02  1.2265294E-03  8.1813708E-03  5.0107419E-04  1.2129241E+00
    c13     13   1.0276488E-04  1.1762801E-04  1.4863129E-05  4.8050664E-05  6.0720358E-06  8.9836508E-01
    c14     14   3.0780782E-08  3.0780782E-08  0.0000000E+00  1.2573850E-08  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   6.8590685E-04  1.0485414E-03  3.6263457E-04  4.2832576E-04  1.4814714E-04  4.6108091E-01
    n15     15  -7.0435260E-07  1.8885967E-07  8.9321225E-07  7.7148563E-08  3.6490411E-07 -6.7485094E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   2.7712807E-04  3.2388764E-03  2.9617483E-03  1.3230705E-03  1.2099633E-03  3.8810745E-02
    o17     17   1.3775584E-05  1.4971145E-05  1.1955611E-06  6.1156643E-06  4.8842276E-07  1.0976478E+00
    o18     18  -2.7190117E-06  3.9449214E-06  6.6639332E-06  1.6114876E-06  2.7224175E-06 -2.2772776E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   3.1355639E-06  3.3274671E-06  1.9190307E-07  1.3592595E-06  7.8398187E-08  1.2389964E+00
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
