# Initial mass = 7.000, Z =  0.0028, Y =  0.250, M_mix = 0.00E+00
# Final mass = 1.109, Mass expelled =   5.8910
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>           X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -5.9142542E-01  3.8098392E+00  4.4012647E+00  6.4672202E-01  7.4716753E-01 -6.2700346E-02
      d      2   2.5852071E-17  2.5852071E-17  0.0000000E+00  4.3884016E-18  0.0000000E+00  0.0000000E+00
    he3      3   1.2010655E-06  1.2010655E-06  0.0000000E+00  2.0388146E-07  0.0000000E+00  0.0000000E+00
    he4      4   5.8624804E-01  2.0588338E+00  1.4725858E+00  3.4948805E-01  2.4998912E-01  1.4551121E-01
    li7      7   2.4156659E-09  1.3136091E-08  1.0720425E-08  2.2298579E-09  1.8199209E-09  8.8224672E-02
    be7      7   2.2952706E-11  2.2952706E-11  0.0000000E+00  3.8962327E-12  0.0000000E+00  0.0000000E+00
     b8      8   6.6049016E-24  6.6049016E-24  0.0000000E+00  1.1211852E-24  0.0000000E+00  0.0000000E+00
    c12     12  -2.0953298E-03  8.5629779E-04  2.9516276E-03  1.4535696E-04  5.0107419E-04 -5.3746623E-01
    c13     13   1.5660335E-04  1.9237128E-04  3.5767935E-05  3.2655120E-05  6.0720358E-06  7.3061693E-01
    c14     14   5.5260890E-10  5.5260890E-10  0.0000000E+00  9.3805630E-11  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   1.1201683E-02  1.2074359E-02  8.7267550E-04  2.0496282E-03  1.4814714E-04  1.1409819E+00
    n15     15  -1.2998585E-06  8.4964569E-07  2.1495041E-06  1.4422777E-07  3.6490411E-07 -4.0312988E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -4.1700006E-03  2.9574090E-03  7.1274098E-03  5.0202163E-04  1.2099633E-03 -3.8204980E-01
    o17     17   1.6577380E-05  1.9454483E-05  2.8771028E-06  3.3024078E-06  4.8842276E-07  8.3003485E-01
    o18     18  -1.5985393E-05  5.1279688E-08  1.6036673E-05  8.7047516E-09  2.7224175E-06 -2.4951985E+00
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19  -4.4855182E-07  1.3260511E-08  4.6181233E-07  2.2509781E-09  7.8398187E-08 -1.5419348E+00
