# Initial mass = 2.250, Z =  0.0007, Y =  0.250, M_mix = 2.00E-03
# Final mass = 0.694, Mass expelled =   1.5561
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)     Net M(i) Mass(i) 
  p   1  12.000000  0.000000  0.000000  6.86548E-01 -1.07273E-01  1.06831E+00
 he   2  11.044126  0.114125  1.902883  3.01801E-01  8.02358E-02  4.69620E-01
  c   6   9.230479  0.760479  2.549236  1.39081E-02  2.15471E-02  2.16419E-02
  n   7   6.975363 -0.894637  0.894120  9.01402E-05  7.05704E-05  1.40263E-04
  o   8   7.780756 -0.949244  0.839514  6.57748E-04  6.59397E-04  1.02349E-03
  f   9   5.508266  1.048266  2.837023  4.17047E-06  6.47990E-06  6.48948E-06
 ne  10   8.221663  0.251663  2.040420  2.28978E-03  3.49971E-03  3.56303E-03
 na  11   6.258904 -0.051095  1.737662  2.84220E-05  4.38105E-05  4.42262E-05
 mg  12   6.714117 -0.925883  0.862874  8.57083E-05  9.70823E-05  1.33367E-04
 al  13   5.197346 -1.272654  0.516103  2.89488E-06  3.46126E-06  4.50460E-06
 si  14   5.942102 -1.607898  0.180860  1.67418E-05  2.07490E-06  2.60513E-05
  p  15   4.101486 -1.368514  0.420244  2.66498E-07  2.54745E-07  4.14686E-07
  s  16   5.694616 -1.465384  0.323374  1.08108E-05 -9.84946E-08  1.68222E-05
 cl  17   3.583009 -1.646991  0.141766  9.24427E-08  3.85008E-08  1.43846E-07
 ar  18   4.992827 -1.447173  0.341585  2.67629E-06 -8.58709E-08  4.16446E-06
  k  19   3.508073 -1.571927  0.216830  8.57904E-08  6.87983E-09  1.33495E-07
 ca  20   4.825086 -1.464914  0.323843  1.82475E-06 -6.72308E-08  2.83941E-06
 sc  21   1.698211 -1.351789  0.436968  1.52830E-09  8.40785E-10  2.37813E-09
 ti  22   3.531300 -1.378700  0.410057  1.10802E-07  9.56392E-09  1.72414E-07
