# Initial mass = 2.750, Z =  0.0007, Y =  0.250, M_mix = 1.00E-03
# Final mass = 0.780, Mass expelled =   1.9697
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)     Net M(i) Mass(i) 
  p   1  12.000000  0.000000  0.000000  7.00923E-01 -1.07474E-01  1.38061E+00
 he   2  11.018276  0.088276  1.893147  2.90317E-01  7.89436E-02  5.71838E-01
  c   6   9.163736  0.693736  2.498608  1.21766E-02  2.38642E-02  2.39842E-02
  n   7   6.953082 -0.916918  0.887954  8.74254E-05  8.39826E-05  1.72202E-04
  o   8   7.693524 -1.036475  0.768396  5.49323E-04  6.21118E-04  1.08200E-03
  f   9   5.275052  0.815052  2.619924  2.48869E-06  4.88984E-06  4.90197E-06
 ne  10   7.995252  0.025252  1.830124  1.38798E-03  2.65375E-03  2.73391E-03
 na  11   5.988537 -0.321463  1.483408  1.55699E-05  3.01419E-05  3.06681E-05
 mg  12   6.891391 -0.748609  1.056262  1.31612E-04  2.13307E-04  2.59237E-04
 al  13   5.339756 -1.130243  0.674628  4.10243E-06  6.75987E-06  8.08056E-06
 si  14   6.014408 -1.535592  0.269279  2.01887E-05  9.41573E-06  3.97657E-05
  p  15   4.339622 -1.130378  0.674493  4.70792E-07  7.24862E-07  9.27320E-07
  s  16   5.685588 -1.474411  0.330460  1.08101E-05 -1.26061E-07  2.12927E-05
 cl  17   3.569258 -1.660742  0.144129  9.14370E-08  4.67544E-08  1.80104E-07
 ar  18   4.982000 -1.458000  0.346872  2.66505E-06 -1.30831E-07  5.24936E-06
  k  19   3.517039 -1.562961  0.241911  8.94139E-08  1.58458E-08  1.76119E-07
 ca  20   4.811818 -1.478182  0.326689  1.80690E-06 -1.20257E-07  3.55905E-06
 sc  21   1.797222 -1.252778  0.552094  1.95984E-09  1.91429E-09  3.86030E-09
 ti  22   3.505723 -1.404277  0.400595  1.06652E-07  3.93250E-09  2.10073E-07
  v  23   2.410052 -1.549948  0.254924  9.10624E-09 -1.87583E-10  1.79366E-08
 cr  24   3.995770 -1.644229  0.160642  3.58056E-07 -9.60569E-09  7.05263E-07
 mn  25   3.160582 -2.319418 -0.514547  5.52923E-08 -6.11969E-10  1.08909E-07
 fe  26   5.735128 -1.804872  0.000000  2.11020E-05 -1.32161E-06  4.15646E-05
 co  27   3.643066 -1.226933  0.577938  1.80150E-07  2.58084E-07  3.54843E-07
 ni  28   4.541922 -1.658078  0.146794  1.42141E-06  7.39447E-07  2.79975E-06
 cu  29   3.153726 -1.096274  0.708597  6.29541E-08  1.15596E-07  1.24001E-07
 zn  30   3.259097 -1.370903  0.433969  8.25933E-08  5.27052E-08  1.62684E-07
 ga  31   2.014739 -1.065261  0.739611  5.01564E-09  8.02276E-09  9.87931E-09
