# Initial mass = 3.000, Z =  0.0007, Y =  0.250, M_mix = 1.00E-04
# Final mass = 0.822, Mass expelled =   2.1778
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)     Net M(i) Mass(i) 
  p   1  12.000000  0.000000  0.000000  7.26930E-01 -6.21898E-02  1.58307E+00
 he   2  10.975242  0.045241  1.856549  2.72684E-01  4.88815E-02  5.93838E-01
  c   6   8.810971  0.340971  2.152279  5.60509E-03  1.20738E-02  1.22065E-02
  n   7   7.018112 -0.851888  0.959420  1.05315E-04  1.31812E-04  2.29350E-04
  o   8   7.450233 -1.279767  0.531541  3.25355E-04  1.98978E-04  7.08544E-04
  f   9   4.449748 -0.010252  1.801055  3.85911E-07  8.27003E-07  8.40420E-07
 ne  10   7.055537 -0.914463  0.896845  1.65383E-04  2.71542E-04  3.60164E-04
 na  11   5.036541 -1.273458  0.537849  1.80349E-06  3.34581E-06  3.92755E-06
 mg  12   6.274357 -1.365643  0.445665  3.29674E-05  2.10133E-05  7.17949E-05
 al  13   4.736312 -1.733687  0.077621  1.06028E-06  8.48829E-07  2.30902E-06
 si  14   5.906825 -1.643175  0.168133  1.63436E-05  2.03658E-06  3.55923E-05
  p  15   3.817128 -1.652872  0.158436  1.46608E-07  9.54334E-08  3.19277E-07
  s  16   5.670019 -1.489981  0.321327  1.08164E-05 -1.25689E-07  2.35554E-05
 cl  17   3.483006 -1.746994  0.064314  7.77486E-08  2.18830E-08  1.69317E-07
 ar  18   4.973201 -1.466799  0.344509  2.70850E-06 -5.00327E-08  5.89845E-06
  k  19   3.475547 -1.604453  0.206855  8.42819E-08  6.34340E-09  1.83545E-07
 ca  20   4.805440 -1.484560  0.326748  1.84662E-06 -4.64515E-08  4.02149E-06
 sc  21   1.590279 -1.459721  0.351587  1.26212E-09  5.97021E-10  2.74858E-09
 ti  22   3.482158 -1.427842  0.383466  1.04768E-07  2.43659E-10  2.28158E-07
  v  23   2.393986 -1.566014  0.245294  9.10112E-09 -2.18538E-10  1.98200E-08
 cr  24   3.983765 -1.656235  0.155073  3.61216E-07 -3.73751E-09  7.86640E-07
 mn  25   3.152251 -2.327749 -0.516441  5.62544E-08  1.41868E-09  1.22508E-07
 fe  26   5.728692 -1.811308  0.000000  2.15630E-05 -4.57279E-07  4.69588E-05
 co  27   3.362081 -1.507919  0.303389  9.78298E-08  1.06070E-07  2.13049E-07
 ni  28   4.442794 -1.757206  0.054102  1.17331E-06  2.77257E-07  2.55518E-06
 cu  29   2.768998 -1.481002  0.330306  2.69227E-08  4.93380E-08  5.86310E-08
 zn  30   3.137505 -1.492496  0.318812  6.47401E-08  1.93924E-08  1.40988E-07
 ga  31   1.651139 -1.428861  0.382447  2.25190E-09  2.85143E-09  4.90408E-09
 ge  32   2.082033 -1.497967  0.313341  6.32764E-09  7.53208E-09  1.37800E-08
 as  33   0.702416 -1.597584  0.213724  2.72307E-10  2.26956E-10  5.93018E-10
 se  34   1.860765 -1.479235  0.332072  4.13242E-09  5.17618E-09  8.99940E-09
 br  35   1.040090 -1.499910  0.311398  6.31962E-10  6.97807E-10  1.37626E-09
 kr  36   1.872712 -1.377288  0.434020  4.50794E-09  6.18132E-09  9.81719E-09
 rb  37   1.149502 -1.210498  0.600810  8.69637E-10  1.41439E-09  1.89385E-09
 sr  38   1.434272 -1.445728  0.365580  1.71755E-09  2.12190E-09  3.74039E-09
  y  39   0.733903 -1.436097  0.375211  3.47430E-10  4.34588E-10  7.56616E-10
 zr  40   1.085917 -1.444082  0.367225  8.01786E-10  9.89170E-10  1.74609E-09
 nb  41  -0.083898 -1.493898  0.317410  5.52305E-11  6.18004E-11  1.20278E-10
 mo  42   0.388934 -1.551066  0.260242  1.69421E-10  2.14160E-10  3.68957E-10
 ru  44   0.067450 -1.692550  0.118757  8.51343E-11  8.00563E-11  1.85402E-10
 rh  45  -0.678626 -1.738626  0.072682  1.55542E-11  4.94001E-12  3.38732E-11
 pd  46  -0.019341 -1.669340  0.141967  7.34033E-11  5.82825E-11  1.59854E-10
 ag  47  -0.535003 -1.735003  0.076305  2.26946E-11  7.56012E-12  4.94232E-11
 cd  48   0.064276 -1.645724  0.165584  9.39978E-11  7.58730E-11  2.04704E-10
 in  49  -0.940528 -1.700528  0.110780  9.49543E-12  5.19378E-12  2.06787E-11
 sn  50   0.463975 -1.606025  0.205283  2.49169E-10  2.46832E-10  5.42629E-10
 sb  51  -0.873491 -1.883491 -0.072183  1.17502E-11  8.13437E-12  2.55891E-11
 te  52   0.145924 -2.034076 -0.222769  1.28768E-10  1.19205E-10  2.80425E-10
  i  53  -0.237252 -1.787252  0.024056  5.29977E-11  5.15689E-12  1.15416E-10
 xe  54   0.562456 -1.677544  0.133764  3.45725E-10  2.39925E-10  7.52903E-10
 cs  55  -0.624957 -1.704957  0.106351  2.27309E-11  1.03745E-11  4.95023E-11
