# Initial mass = 6.000, Z =  0.0007, Y =  0.250, M_mix = 0.00E+00
# Final mass = 1.016, Mass expelled =   4.9842
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)     Net M(i) Mass(i) 
  p   1  12.000000  0.000000  0.000000  6.53477E-01 -5.08437E-01  3.25706E+00
 he   2  11.129774  0.199774  1.961917  3.49888E-01  4.96677E-01  1.74391E+00
  c   6   7.284918 -1.185082  0.577062  1.50061E-04  4.44278E-04  7.47934E-04
  n   7   8.270819  0.400819  2.162962  1.69408E-03  8.22039E-03  8.44363E-03
  o   8   6.665941 -2.064058 -0.301915  4.80622E-05 -9.26686E-04  2.39552E-04
  f   9   2.068937 -2.391063 -0.628919  1.44350E-09 -2.35119E-08  7.19468E-09
 ne  10   6.572639 -1.397360  0.364783  4.89024E-05  4.09132E-05  2.43740E-04
 na  11   4.371511 -1.938488 -0.176345  3.50607E-07  4.16073E-07  1.74750E-06
 mg  12   6.146653 -1.493347  0.268796  2.20861E-05 -6.14191E-06  1.10081E-04
 al  13   5.340873 -1.129127  0.633017  3.83458E-06  1.57704E-05  1.91123E-05
 si  14   5.947164 -1.602837  0.159307  1.61222E-05  3.55757E-06  8.03562E-05
  p  15   3.762607 -1.707393  0.054750  1.16245E-07  6.70809E-08  5.79388E-07
  s  16   5.717849 -1.442151  0.319993  1.08555E-05 -9.26520E-08  5.41061E-05
 cl  17   3.498202 -1.731798  0.030346  7.23812E-08  2.33314E-08  3.60763E-07
 ar  18   5.022012 -1.417988  0.344155  2.72444E-06 -3.50728E-08  1.35792E-05
  k  19   3.514187 -1.565813  0.196331  8.28155E-08  7.20925E-09  4.12769E-07
 ca  20   4.855283 -1.434717  0.327427  1.86191E-06 -3.01006E-08  9.28015E-06
 sc  21   1.564106 -1.485894  0.276250  1.06823E-09  4.00018E-10  5.32427E-09
 ti  22   3.528134 -1.381866  0.380278  1.04699E-07  2.14243E-10  5.21840E-07
  v  23   2.441634 -1.518366  0.243778  9.13021E-09 -3.55158E-10  4.55068E-08
 cr  24   4.031451 -1.608549  0.153595  3.62403E-07 -2.63901E-09  1.80629E-06
 mn  25   3.221851 -2.258149 -0.496005  5.93600E-08  1.87256E-08  2.95862E-07
 fe  26   5.777856 -1.762144  0.000000  2.17075E-05 -3.25970E-07  1.08195E-04
 co  27   3.187595 -1.682405  0.079739  5.88469E-08  4.84635E-08  2.93305E-07
 ni  28   4.454614 -1.745386  0.016758  1.08385E-06  1.88686E-07  5.40215E-06
 cu  29   2.481556 -1.768444 -0.006300  1.24857E-08  4.09626E-08  6.22315E-08
 zn  30   3.149753 -1.480247  0.281896  5.98631E-08  2.00753E-08  2.98370E-07
 ga  31   1.537126 -1.542874  0.219269  1.55694E-09  3.06224E-09  7.76011E-09
 ge  32   1.987592 -1.592408  0.169735  4.57655E-09  8.51081E-09  2.28104E-08
 as  33   0.655922 -1.644078  0.118066  2.19939E-10  2.58418E-10  1.09622E-09
 se  34   1.777337 -1.562663  0.199481  3.06560E-09  6.52939E-09  1.52795E-08
 br  35   0.975388 -1.564612  0.197531  4.89470E-10  8.86856E-10  2.43962E-09
 kr  36   1.821251 -1.428749  0.333395  3.59961E-09  9.61979E-09  1.79412E-08
 rb  37   1.085380 -1.274620  0.487523  6.74455E-10  2.26427E-09  3.36162E-09
 sr  38   1.390140 -1.489861  0.272283  1.39480E-09  3.24775E-09  6.95199E-09
  y  39   0.664993 -1.505007  0.257137  2.66498E-10  5.91260E-10  1.32828E-09
 zr  40   0.966759 -1.563241  0.198902  5.47820E-10  9.98085E-10  2.73045E-09
 nb  41  -0.191345 -1.601345  0.160798  3.87676E-11  5.93877E-11  1.93226E-10
 mo  42   0.226116 -1.713884  0.048260  1.04686E-10  1.67493E-10  5.21774E-10
 ru  44  -0.024076 -1.784076 -0.021933  6.19893E-11  6.78646E-11  3.08967E-10
