# Initial mass = 2.500, Z =  0.0007, Y =  0.250, M_mix = 2.00E-03
# Final mass = 0.736, Mass expelled =   1.7635
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>         
  X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -1.0560119E-01  1.2160883E+00  1.3216895E+00  6.8956864E-01  7.4949098E-01 -3.6188956E-02
      d      2   1.1945965E-17  1.1945965E-17  0.0000000E+00  6.7738197E-18  0.0000000E+00  0.0000000E+00
    he3      3   2.5482086E-04  2.5482086E-04  0.0000000E+00  1.4449318E-04  0.0000000E+00  0.0000000E+00
    he4      4   7.8461707E-02  5.1941288E-01  4.4095117E-01  2.9452699E-01  2.5005037E-01  7.1097642E-02
    li7      7   2.7957767E-10  5.3180704E-10  2.5222938E-10  3.0155495E-10  1.4303181E-10  3.2393384E-01
    be7      7   5.1929422E-15  5.1929422E-15  0.0000000E+00  2.9445972E-15  0.0000000E+00  0.0000000E+00
     b8      8   6.1107765E-29  6.1107765E-29  0.0000000E+00  3.4650444E-29  0.0000000E+00  0.0000000E+00
    c12     12   2.2032874E-02  2.2139434E-02  1.0656062E-04  1.2553907E-02  6.0427374E-05  2.3175454E+00
    c13     13   3.4762752E-06  4.3178093E-06  8.4153407E-07  2.4483631E-06  4.7720908E-07  7.1016717E-01
    c14     14   1.9613758E-08  1.9613758E-08  0.0000000E+00  1.1121752E-08  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   6.7951434E-05  1.4684642E-04  7.8894984E-05  8.3267543E-05  4.4739012E-05  2.6978934E-01
    n15     15  -2.5609433E-08  2.4963258E-08  5.0572691E-08  1.4155123E-08  2.8678276E-08 -3.0663937E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   6.6653243E-04  1.0787830E-03  4.1225055E-04  6.1171124E-04  2.3377509E-04  4.1774824E-01
    o17     17   2.0093164E-06  2.0770069E-06  6.7690415E-08  1.1777424E-06  3.8385231E-08  1.4868863E+00
    o18     18  -1.4668494E-07  2.3061405E-07  3.7729899E-07  1.3076699E-07  2.1395509E-07 -2.1382451E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   7.1582867E-06  7.1691520E-06  1.0865355E-08  4.0651839E-06  6.1614212E-09  2.8193994E+00
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   7.5118485E-05  1.4362819E-04  6.8509704E-05  8.1442682E-05  3.8849827E-05  3.2146302E-01
   ne21     21   3.9192896E-06  4.0058703E-06  8.6580762E-08  2.2714819E-06  4.9097391E-08  1.6652509E+00
   ne22     22   3.8095526E-03  3.8123350E-03  2.7822643E-06  2.1617399E-03  1.5777398E-06  3.1367683E+00
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22  -3.9029119E-19 -3.9029119E-19  0.0000000E+00 -2.2131005E-19  0.0000000E+00  0.0000000E+00
   na23     23   3.7577702E-05  3.8048973E-05  4.7127273E-07  2.1575224E-05  2.6724481E-07  1.9070461E+00
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24   2.5308171E-05  6.1548431E-05  3.6240261E-05  3.4900317E-05  2.0550780E-05  2.3000106E-01
   mg25     25   7.6779383E-05  7.8943260E-05  2.1638798E-06  4.4763852E-05  1.2270722E-06  1.5620574E+00
   mg26     26   6.3041785E-05  6.5519496E-05  2.4777116E-06  3.7152062E-05  1.4050370E-06  1.4222952E+00
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   7.2634143E-06  8.4466010E-06  1.1831866E-06  4.7895464E-06  6.7095010E-07  8.5360420E-01
   al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si28     28   5.1278294E-06  3.0685853E-05  2.5558023E-05  1.7400054E-05  1.4493198E-05  7.9386361E-02
   si29     29   5.2417340E-07  1.4797129E-06  9.5553946E-07  8.3905388E-07  5.4185813E-07  1.8990426E-01
   si30     30   7.6668744E-07  1.4182722E-06  6.5158474E-07  8.0421466E-07  3.6949444E-07  3.3776408E-01
    p31     31   7.4427334E-07  9.2568382E-07  1.8141050E-07  5.2489816E-07  1.0287252E-07  7.0777571E-01
    p32     32   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p33     33   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    s32     32  -1.4120633E-07  1.8530855E-05  1.8672061E-05  1.0507704E-05  1.0588373E-05 -3.3213869E-03
    s33     33   2.6868506E-08  9.8752366E-08  7.1883861E-08  5.5996374E-08  4.0763211E-08  1.3789153E-01
