# Initial mass = 3.000, Z =  0.0007, Y =  0.250, M_mix = 5.00E-04
# Final mass = 0.827, Mass expelled =   2.1731
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>         
  X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -9.6026421E-02  1.5325112E+00  1.6285377E+00  7.0523244E-01  7.4949098E-01 -2.6434153E-02
      d      2   1.2390054E-17  1.2390054E-17  0.0000000E+00  5.7016666E-18  0.0000000E+00  0.0000000E+00
    he3      3   1.6897867E-04  1.6897867E-04  0.0000000E+00  7.7760764E-05  0.0000000E+00  0.0000000E+00
    he4      4   7.2079778E-02  6.1540377E-01  5.4332399E-01  2.8319708E-01  2.5005037E-01  5.4061271E-02
    li7      7   9.7891539E-10  1.2897032E-09  3.1078784E-10  5.9349686E-10  1.4303181E-10  6.1798579E-01
    be7      7   2.5855032E-12  2.5855032E-12  0.0000000E+00  1.1897993E-12  0.0000000E+00  0.0000000E+00
     b8      8   1.5105070E-25  1.5105070E-25  0.0000000E+00  6.9510657E-26  0.0000000E+00  0.0000000E+00
    c12     12   1.9821817E-02  1.9953117E-02  1.3130011E-04  9.1820443E-03  6.0427374E-05  2.1817060E+00
    c13     13   1.1758924E-03  1.1769293E-03  1.0369077E-06  5.4160046E-04  4.7720908E-07  3.0549705E+00
    c14     14   5.6835045E-08  5.6835045E-08  0.0000000E+00  2.6154405E-08  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   3.3970739E-04  4.3691893E-04  9.7211538E-05  2.0106176E-04  4.4739012E-05  6.5264308E-01
    n15     15  -5.3290837E-08  9.0229930E-09  6.2313831E-08  4.1522092E-09  2.8678276E-08 -8.3927381E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   5.0489040E-04  1.0128506E-03  5.0796015E-04  4.6609453E-04  2.3377509E-04  2.9967576E-01
    o17     17   3.9279998E-06  4.0114055E-06  8.3405659E-08  1.8459724E-06  3.8385231E-08  1.6820611E+00
    o18     18  -3.5523510E-07  1.0965896E-07  4.6489407E-07  5.0462962E-08  2.1395509E-07 -6.2734991E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   2.3953655E-06  2.4087535E-06  1.3387894E-08  1.1084625E-06  6.1614212E-09  2.2550404E+00
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   3.2623393E-05  1.1703855E-04  8.4415158E-05  5.3858912E-05  3.8849827E-05  1.4186850E-01
   ne21     21   2.7122080E-06  2.8188897E-06  1.0668167E-07  1.2971993E-06  4.9097391E-08  1.4219484E+00
   ne22     22   1.6664881E-03  1.6699163E-03  3.4282052E-06  7.6846365E-04  1.5777398E-06  2.6875880E+00
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   9.3735810E-14  9.3735810E-14  0.0000000E+00  4.3135434E-14  0.0000000E+00  0.0000000E+00
   na23     23   2.0123995E-05  2.0704680E-05  5.8068508E-07  9.5278992E-06  2.6724481E-07  1.5520879E+00
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24   8.1149265E-06  5.2768857E-05  4.4653931E-05  2.4283223E-05  2.0550780E-05  7.2478011E-02
   mg25     25   8.3728672E-05  8.6394924E-05  2.6662537E-06  3.9757299E-05  1.2270722E-06  1.5105468E+00
   mg26     26   1.0151714E-04  1.0457009E-04  3.0529463E-06  4.8121165E-05  1.4050370E-06  1.5346485E+00
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   4.2129745E-06  5.6708541E-06  1.4578795E-06  2.6096191E-06  6.7095010E-07  5.8988696E-01
   al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si28     28   6.5999266E-06  3.8091595E-05  3.1491669E-05  1.7529026E-05  1.4493198E-05  8.2593575E-02
   si29     29   1.0063616E-06  2.1837425E-06  1.1773809E-06  1.0049166E-06  5.4185813E-07  2.6824445E-01
   si30     30   1.4665657E-06  2.2694246E-06  8.0285901E-07  1.0443459E-06  3.6949444E-07  4.5123646E-01
    p31     31   6.3017114E-07  8.5369857E-07  2.2352741E-07  3.9285581E-07  1.0287252E-07  5.8193386E-01
    p32     32   1.4449219E-33  1.4449219E-33  0.0000000E+00  6.6492550E-34  0.0000000E+00  0.0000000E+00
    p33     33   1.9517635E-34  1.9517635E-34  0.0000000E+00  8.9816435E-35  0.0000000E+00  0.0000000E+00
    s32     32  -4.0109080E-07  2.2605942E-05  2.3007033E-05  1.0402823E-05  1.0588373E-05 -7.6779993E-03
