# Initial mass = 4.000, Z =  0.0007, Y =  0.250, M_mix = 0.00E+00
# Final mass = 0.877, Mass expelled =   3.1227
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>         
  X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -2.1366501E-01  2.1265905E+00  2.3402555E+00  6.8101895E-01  7.4949098E-01 -4.1607253E-02
      d      2   1.6311671E-17  1.6311671E-17  0.0000000E+00  5.2236464E-18  0.0000000E+00  0.0000000E+00
    he3      3   1.6740800E-05  1.6740800E-05  0.0000000E+00  5.3610706E-06  0.0000000E+00  0.0000000E+00
    he4      4   1.9697559E-01  9.7774780E-01  7.8077221E-01  3.1311378E-01  2.5005037E-01  9.7674698E-02
    li7      7   2.2855430E-08  2.3302041E-08  4.4661108E-10  7.4622415E-09  1.4303181E-10  1.7174367E+00
    be7      7   4.4093850E-11  4.4093850E-11  0.0000000E+00  1.4120607E-11  0.0000000E+00  0.0000000E+00
     b8      8   2.1993809E-24  2.1993809E-24  0.0000000E+00  7.0432933E-25  0.0000000E+00  0.0000000E+00
    c12     12   1.8500257E-03  2.0387077E-03  1.8868205E-04  6.5287540E-04  6.0427374E-05  1.0335966E+00
    c13     13   3.6817818E-04  3.6966824E-04  1.4900663E-06  1.1838249E-04  4.7720908E-07  2.3945789E+00
    c14     14   2.8103843E-08  2.8103843E-08  0.0000000E+00  8.9999697E-09  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   1.4027983E-02  1.4167679E-02  1.3969577E-04  4.5370548E-03  4.4739012E-05  2.0060878E+00
    n15     15   1.6783775E-07  2.5738453E-07  8.9546774E-08  8.2424776E-08  2.8678276E-08  4.5850480E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   1.3430190E-04  8.6425524E-04  7.2995335E-04  2.7676893E-04  2.3377509E-04  7.3319092E-02
    o17     17   2.1721860E-06  2.2920424E-06  1.1985634E-07  7.3400321E-07  3.8385231E-08  1.2815338E+00
    o18     18  -6.5311167E-07  1.4954491E-08  6.6806615E-07  4.7890234E-09  2.1395509E-07 -1.6500758E+00
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   1.2679035E-07  1.4602915E-07  1.9238790E-08  4.6764349E-08  6.1614212E-09  8.8023400E-01
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20  -4.8638321E-07  1.2082064E-04  1.2130702E-04  3.8691578E-05  3.8849827E-05 -1.7726340E-03
   ne21     21  -2.8276872E-08  1.2502775E-07  1.5330463E-07  4.0038863E-08  4.9097391E-08 -8.8576660E-02
   ne22     22   2.4778355E-04  2.5270999E-04  4.9264295E-06  8.0927799E-05  1.5777398E-06  1.7100624E+00
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   9.9984986E-12  9.9984986E-12  0.0000000E+00  3.2019172E-12  0.0000000E+00  0.0000000E+00
   na23     23   8.6879118E-06  9.5223731E-06  8.3446122E-07  3.0494430E-06  2.6724481E-07  1.0573113E+00
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24  -8.2899351E-07  6.3339990E-05  6.4168984E-05  2.0283987E-05  2.0550780E-05 -5.6749843E-03
   mg25     25   1.4553367E-05  1.8384850E-05  3.8314834E-06  5.8875607E-06  1.2270722E-06  6.8106532E-01
   mg26     26   1.6087122E-05  2.0474294E-05  4.3871719E-06  6.5566842E-06  1.4050370E-06  6.6899657E-01
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   1.1003356E-06  3.1953505E-06  2.0950149E-06  1.0232784E-06  6.7095010E-07  1.8330362E-01
   al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si28     28   2.1324086E-06  4.7386842E-05  4.5254434E-05  1.5175154E-05  1.4493198E-05  1.9968856E-02
   si29     29   3.0548370E-07  1.9974141E-06  1.6919304E-06  6.3965149E-07  5.4185813E-07  7.2057806E-02
   si30     30   4.8857692E-07  1.6423085E-06  1.1537315E-06  5.2593253E-07  3.6949444E-07  1.5332210E-01
    p31     31   1.2468195E-07  4.4589726E-07  3.2121531E-07  1.4279405E-07  1.0287252E-07  1.4241074E-01
