# Initial mass = 1.900, Z =  0.0002, Y =  0.250, M_mix = 2.00E-03
# Final mass = 0.680, Mass expelled =   1.2201
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)     Net M(i) Mass(i) 
  p   1  12.000000  0.000000  0.000000  6.77796E-01 -9.51416E-02  8.26968E-01
 he   2  11.062331  0.132331  1.914635  3.10710E-01  7.38432E-02  3.79092E-01
  c   6   9.237631  0.767631  2.549934  1.39588E-02  1.69823E-02  1.70309E-02
  n   7   6.763038 -1.106962  0.675342  5.45785E-05  5.23480E-05  6.65903E-05
  o   8   7.737041 -0.992959  0.789345  5.87182E-04  6.00145E-04  7.16410E-04
  f   9   5.462499  1.002499  2.784803  3.70549E-06  4.51349E-06  4.52101E-06
 ne  10   8.201728  0.231728  2.014032  2.15917E-03  2.60854E-03  2.63437E-03
 na  11   6.307689 -0.002311  1.779993  3.13954E-05  3.76612E-05  3.83050E-05
 mg  12   6.560438 -1.079562  0.702742  5.93980E-05  5.79185E-05  7.24705E-05
 al  13   5.028793 -1.441206  0.341097  1.93868E-06  1.27314E-06  2.36535E-06
 si  14   5.799579 -1.750422  0.031882  1.19044E-05  8.55784E-07  1.45244E-05
  p  15   3.978942 -1.491058  0.291246  1.98417E-07  1.16704E-07  2.42085E-07
  s  16   5.382315 -1.777685  0.004619  5.19978E-06 -1.29853E-08  6.34416E-06
 cl  17   3.509240 -1.720760  0.061544  7.70073E-08  1.13737E-08  9.39553E-08
 ar  18   4.656250 -1.783750 -0.001446  1.21726E-06 -2.39459E-08  1.48516E-06
  k  19   3.319601 -1.760399  0.021905  5.48774E-08  2.56598E-09  6.69550E-08
 ca  20   4.504776 -1.785223 -0.002920  8.61630E-07 -2.05611E-08  1.05126E-06
 sc  21   1.451815 -1.598185  0.184119  8.55543E-10  3.51974E-10  1.04383E-09
 ti  22   3.164916 -1.745084  0.037220  4.70534E-08  4.04264E-09  5.74090E-08
  v  23   2.173842 -1.786158 -0.003854  5.11161E-09 -1.19928E-10  6.23659E-09
 cr  24   3.841823 -1.798177 -0.015873  2.42902E-07 -1.42902E-09  2.96361E-07
 mn  25   3.714406 -1.765594  0.016710  1.91390E-07  5.94407E-09  2.33511E-07
 fe  26   5.757696 -1.782304  0.000000  2.14941E-05 -3.34594E-07  2.62246E-05
 co  27   3.399413 -1.470587  0.311717  9.94054E-08  6.13608E-08  1.21283E-07
 ni  28   4.440807 -1.759193  0.023111  1.08901E-06  5.27715E-08  1.32868E-06
 cu  29   2.820683 -1.429317  0.352987  2.82755E-08  1.89989E-08  3.44985E-08
 zn  30   2.985846 -1.644155  0.138149  4.25717E-08  1.36697E-08  5.19410E-08
 ga  31   1.730037 -1.349963  0.432341  2.51798E-09  1.92238E-09  3.07214E-09
 ge  32   2.216239 -1.363761  0.418543  8.03625E-09  6.30519E-09  9.80489E-09
 as  33   0.840846 -1.459154  0.323150  3.49216E-10  2.21033E-10  4.26073E-10
 se  34   2.124011 -1.215989  0.566315  7.06410E-09  6.47732E-09  8.61879E-09
 br  35   1.295696 -1.244304  0.538000  1.06146E-09  9.15047E-10  1.29507E-09
 kr  36   2.330473 -0.919527  0.862777  1.20600E-08  1.26776E-08  1.47142E-08
 rb  37   1.585636 -0.774364  1.007940  2.21350E-09  2.43209E-09  2.70065E-09
 sr  38   2.475005 -0.404995  1.377309  1.75892E-08  2.05538E-08  2.14603E-08
  y  39   1.902934 -0.267066  1.515238  4.78084E-09  5.65265E-09  5.83303E-09
 zr  40   2.302396 -0.227604  1.554700  1.23068E-08  1.45913E-08  1.50153E-08
 nb  41   1.144082 -0.265918  1.516386  8.70491E-10  1.02932E-09  1.06207E-09
 mo  42   1.556059 -0.383941  1.398363  2.32112E-09  2.74526E-09  2.83196E-09
 ru  44   1.184586 -0.575414  1.206889  1.03955E-09  1.20933E-09  1.26834E-09
 rh  45   0.145392 -0.914608  0.867696  9.67103E-11  1.01789E-10  1.17995E-10
 pd  46   1.219942 -0.430058  1.352246  1.18742E-09  1.39185E-09  1.44875E-09
 ag  47   0.432594 -0.767406  1.014898  1.96393E-10  2.16167E-10  2.39616E-10
 cd  48   1.424150 -0.285851  1.496453  2.00723E-09  2.37683E-09  2.44899E-09
 in  49   0.300111 -0.459889  1.322415  1.54085E-10  1.79323E-10  1.87996E-10
 sn  50   1.897155 -0.172845  1.609459  6.29914E-09  7.51979E-09  7.68548E-09
 sb  51   0.381594 -0.628406  1.153898  1.97123E-10  2.30730E-10  2.40506E-10
 te  52   1.490120 -0.689880  1.092424  2.65222E-09  3.14563E-09  3.23593E-09
  i  53   0.390461 -1.159539  0.622765  2.09689E-10  1.94079E-10  2.55838E-10
 xe  54   1.640301 -0.599699  1.182605  3.85639E-09  4.41779E-09  4.70512E-09
 cs  55   0.432618 -0.647382  1.134922  2.41991E-10  2.73332E-10  2.95249E-10
 ba  56   2.462460  0.282459  2.064763  2.67827E-08  3.23926E-08  3.26771E-08
 la  57   1.466411  0.296411  2.078714  2.73383E-09  3.30734E-09  3.33550E-09
 ce  58   1.985884  0.405884  2.188188  9.12033E-09  1.10548E-08  1.11276E-08
 pr  59   0.967078  0.207078  1.989382  8.78320E-10  1.06050E-09  1.07162E-09
 nd  60   1.722393  0.272393  2.054697  5.11820E-09  6.19199E-09  6.24463E-09
 sm  62   0.924048 -0.015952  1.766352  8.48827E-10  1.02232E-09  1.03564E-09
 eu  63  -0.130288 -0.640288  1.142016  7.56992E-11  8.56145E-11  9.23594E-11
 gd  64   0.787190 -0.262810  1.519494  6.47769E-10  7.66132E-10  7.90332E-10
 tb  65  -0.217805 -0.537805  1.244499  6.47183E-11  7.44073E-11  7.89617E-11
 dy  66   0.906338 -0.223662  1.558642  8.80703E-10  1.04451E-09  1.07453E-09
 ho  67  -0.102627 -0.572627  1.209677  8.75614E-11  1.00156E-10  1.06832E-10
 er  68   0.779752 -0.140248  1.642056  6.77299E-10  8.07611E-10  8.26361E-10
 tm  69  -0.196826 -0.316826  1.465478  7.21988E-11  8.50340E-11  8.80886E-11
 yb  70   1.113744  0.193744  1.976048  1.51192E-09  1.82752E-09  1.84467E-09
 lu  71   0.146668  0.056668  1.838972  1.64916E-10  1.98259E-10  2.01212E-10
 hf  72   1.095307  0.385307  2.167611  1.49472E-09  1.81115E-09  1.82368E-09
 ta  73   0.127003  0.247003  2.029306  1.63003E-10  1.96995E-10  1.98877E-10
  w  74   1.043530  0.393530  2.175834  1.36650E-09  1.65599E-09  1.66724E-09
 re  75   0.112920 -0.147080  1.635224  1.62388E-10  1.93480E-10  1.98127E-10
 os  76   1.022726 -0.327274  1.455030  1.34786E-09  1.58609E-09  1.64450E-09
 ir  77   0.215940 -1.104061  0.678243  2.12505E-10  2.04190E-10  2.59274E-10
 pt  78   0.981388 -0.638612  1.143692  1.25671E-09  1.42975E-09  1.53329E-09
 au  79   0.193015 -0.606985  1.175319  2.06561E-10  2.34975E-10  2.52021E-10
 hg  80   1.500508  0.330508  2.112812  4.27028E-09  5.17226E-09  5.21010E-09
 tl  81   1.286708  0.516708  2.299012  2.65945E-09  3.22824E-09  3.24474E-09
 pb  82   3.393002  1.353002  3.135305  3.44374E-07  4.19853E-07  4.20165E-07
 bi  83   1.599520  0.949520  2.731823  5.58810E-09  6.80514E-09  6.81795E-09
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]
   -0.5468   1.4824   2.1106   0.6281   1.0248
