# Initial mass = 3.000, Z =  0.0002, Y =  0.250, M_mix = 1.00E-04
# Final mass = 0.840, Mass expelled =   2.1600
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)     Net M(i) Mass(i) 
  p   1  12.000000  0.000000  0.000000  7.21238E-01 -7.46021E-02  1.55789E+00
 he   2  10.988602  0.058601  1.866798  2.79001E-01  6.22396E-02  6.02650E-01
  c   6   8.777122  0.307122  2.115319  5.14422E-03  1.10256E-02  1.11117E-02
  n   7   6.964487 -0.905513  0.902684  9.23529E-05  1.74270E-04  1.99485E-04
  o   8   7.220148 -1.509851  0.298345  1.90046E-04  2.04670E-04  4.10505E-04
  f   9   4.324296 -0.135705  1.672492  2.86828E-07  6.06252E-07  6.19557E-07
 ne  10   6.918825 -1.051175  0.757022  1.19775E-04  2.12985E-04  2.58716E-04
 na  11   5.095726 -1.214274  0.593923  2.05061E-06  3.28951E-06  4.42938E-06
 mg  12   6.085014 -1.554986  0.253211  2.11509E-05  1.99237E-05  4.56865E-05
 al  13   4.757328 -1.712672  0.095524  1.10413E-06  4.51305E-07  2.38495E-06
 si  14   5.770213 -1.779787  0.028409  1.18392E-05  1.37420E-06  2.55729E-05
  p  15   3.794389 -1.675611  0.132586  1.38040E-07  7.61970E-08  2.98170E-07
  s  16   5.354326 -1.805674  0.002522  5.18770E-06 -4.90736E-08  1.12056E-05
 cl  17   3.450119 -1.779881  0.028316  7.15139E-08  8.27011E-09  1.54472E-07
 ar  18   4.633126 -1.806874  0.001322  1.22812E-06 -1.89500E-08  2.65276E-06
  k  19   3.287904 -1.792096  0.016100  5.42846E-08  3.26226E-09  1.17256E-07
 ca  20   4.481364 -1.808636 -0.000440  8.68737E-07 -2.10513E-08  1.87650E-06
 sc  21   1.363070 -1.686930  0.121266  7.42123E-10  3.78142E-10  1.60301E-09
 ti  22   3.108848 -1.801152  0.007044  4.40050E-08  5.72463E-10  9.50520E-08
  v  23   2.150060 -1.809940 -0.001744  5.14937E-09 -1.30766E-10  1.11228E-08
 cr  24   3.814355 -1.825645 -0.017448  2.42629E-07 -3.11974E-09  5.24086E-07
 mn  25   3.669542 -1.810458 -0.002261  1.83668E-07 -6.15537E-09  3.96728E-07
 fe  26   5.731803 -1.808197  0.000000  2.15480E-05 -4.76026E-07  4.65442E-05
 co  27   3.346006 -1.523993  0.284203  9.35370E-08  9.59566E-08  2.02042E-07
 ni  28   4.450221 -1.749779  0.058417  1.18420E-06  2.99041E-07  2.55790E-06
 cu  29   2.916610 -1.333390  0.474806  3.75246E-08  5.36138E-08  8.10541E-08
 zn  30   2.960082 -1.669918  0.138278  4.26912E-08  2.44588E-08  9.22141E-08
 ga  31   1.700383 -1.379617  0.428580  2.50252E-09  3.36999E-09  5.40552E-09
 ge  32   2.132274 -1.447726  0.360470  7.04804E-09  9.02809E-09  1.52239E-08
 as  33   0.742459 -1.557541  0.250656  2.96269E-10  2.76949E-10  6.39950E-10
 se  34   1.925340 -1.414660  0.393536  4.75736E-09  6.48478E-09  1.02760E-08
 br  35   1.100273 -1.439727  0.368470  7.20211E-10  8.82889E-10  1.55568E-09
 kr  36   1.968093 -1.281907  0.526289  5.57116E-09  8.42839E-09  1.20339E-08
 rb  37   1.264175 -1.095824  0.712372  1.12356E-09  1.95146E-09  2.42692E-09
 sr  38   1.514738 -1.365262  0.442935  2.05097E-09  2.82517E-09  4.43016E-09
  y  39   0.799767 -1.370234  0.437963  4.01158E-10  5.47175E-10  8.66513E-10
 zr  40   1.118029 -1.411971  0.396225  8.56556E-10  1.09958E-09  1.85018E-09
 nb  41  -0.055342 -1.465342  0.342855  5.85223E-11  6.84196E-11  1.26410E-10
 mo  42   0.393324 -1.546676  0.261520  1.69802E-10  2.13273E-10  3.66777E-10
 ru  44   0.077665 -1.682335  0.125862  8.64782E-11  8.23291E-11  1.86795E-10
 rh  45  -0.671414 -1.731414  0.076782  1.56908E-11  5.20175E-12  3.38925E-11
 pd  46  -0.007845 -1.657845  0.150352  7.47820E-11  6.08054E-11  1.61531E-10
 ag  47  -0.527531 -1.727531  0.080666  2.29076E-11  7.96723E-12  4.94811E-11
 cd  48   0.072028 -1.637972  0.170225  9.49414E-11  7.73179E-11  2.05076E-10
 in  49  -0.935958 -1.695958  0.112239  9.52074E-12  5.20936E-12  2.05651E-11
 sn  50   0.442183 -1.627817  0.180379  2.35119E-10  2.14535E-10  5.07864E-10
 sb  51  -0.898607 -1.908607 -0.100411  1.10031E-11  6.45793E-12  2.37670E-11
 te  52   0.103506 -2.076494 -0.268297  1.15871E-10  9.04105E-11  2.50285E-10
  i  53  -0.240457 -1.790457  0.017740  5.21960E-11  3.40698E-12  1.12745E-10
 xe  54   0.520279 -1.719721  0.088475  3.11271E-10  1.63656E-10  6.72355E-10
 cs  55  -0.648239 -1.728239  0.079957  2.13757E-11  7.37110E-12  4.61721E-11
 ba  56   0.930085 -1.249915  0.558282  8.36488E-10  1.30315E-09  1.80684E-09
 la  57  -0.081996 -1.251996  0.556201  8.22894E-11  1.27901E-10  1.77747E-10
 ce  58   0.466231 -1.113769  0.694428  2.93317E-10  5.04782E-10  6.33573E-10
