# Initial mass = 4.000, Z =  0.0002, Y =  0.250, M_mix = 0.00E+00
# Final mass = 0.880, Mass expelled =   3.1199
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)     Net M(i) Mass(i) 
  p   1  12.000000  0.000000  0.000000  6.83304E-01 -2.26101E-01  2.13183E+00
 he   2  11.067130  0.137130  1.921677  3.16716E-01  2.07563E-01  9.88116E-01
  c   6   8.046798 -0.423203  1.361344  9.06841E-04  2.70491E-03  2.82924E-03
  n   7   8.659900  0.789900  2.574447  4.33909E-03  1.35010E-02  1.35375E-02
  o   8   7.138984 -1.591016  0.193531  1.49359E-04  1.68679E-04  4.65981E-04
  f   9   3.542948 -0.917052  0.867495  4.49583E-08  1.21048E-07  1.40265E-07
 ne  10   6.841244 -1.128756  0.655791  9.49115E-05  2.30059E-04  2.96113E-04
 na  11   5.237037 -1.072963  0.711584  2.68986E-06  6.74567E-06  8.39205E-06
 mg  12   6.110091 -1.529909  0.254638  2.12295E-05  2.90227E-05  6.62337E-05
 al  13   4.832788 -1.637212  0.147335  1.24456E-06  1.08998E-06  3.88288E-06
 si  14   5.793728 -1.756272  0.028275  1.18405E-05  1.98913E-06  3.69411E-05
  p  15   3.787800 -1.682200  0.102347  1.28811E-07  8.12627E-08  4.01874E-07
  s  16   5.377243 -1.782757  0.001790  5.18118E-06 -9.12423E-08  1.61647E-05
 cl  17   3.469880 -1.760120  0.024427  7.09067E-08  1.00508E-08  2.21221E-07
 ar  18   4.657082 -1.782918  0.001628  1.22951E-06 -2.30320E-08  3.83591E-06
  k  19   3.310505 -1.769495  0.015052  5.41767E-08  4.37548E-09  1.69025E-07
 ca  20   4.505424 -1.784575 -0.000029  8.69930E-07 -2.66814E-08  2.71408E-06
 sc  21   1.375772 -1.674228  0.110318  7.23959E-10  4.89506E-10  2.25867E-09
 ti  22   3.131562 -1.778438  0.006109  4.39291E-08  5.90106E-10  1.37054E-07
  v  23   2.174064 -1.785936 -0.001390  5.15578E-09 -1.68871E-10  1.60854E-08
 cr  24   3.837772 -1.802227 -0.017681  2.42604E-07 -4.58658E-09  7.56894E-07
 mn  25   3.694865 -1.785135 -0.000588  1.84456E-07 -6.43342E-09  5.75480E-07
 fe  26   5.755453 -1.784547  0.000000  2.15572E-05 -6.58853E-07  6.72558E-05
 co  27   3.315798 -1.554202  0.230345  8.26628E-08  1.04671E-07  2.57898E-07
 ni  28   4.474215 -1.725785  0.058762  1.18565E-06  4.36438E-07  3.69908E-06
 cu  29   2.946712 -1.303288  0.481259  3.81026E-08  7.92415E-08  1.18875E-07
 zn  30   3.001658 -1.628342  0.156205  4.45092E-08  4.09996E-08  1.38863E-07
 ga  31   1.775943 -1.304057  0.480490  2.82146E-09  5.86255E-09  8.80261E-09
 ge  32   2.213818 -1.366182  0.418365  8.05653E-09  1.61863E-08  2.51354E-08
 as  33   0.815012 -1.484988  0.299559  3.31723E-10  5.10628E-10  1.03494E-09
 se  34   2.029408 -1.310592  0.473954  5.72755E-09  1.23933E-08  1.78693E-08
 br  35   1.200127 -1.339873  0.444674  8.58714E-10  1.70733E-09  2.67909E-09
 kr  36   2.106993 -1.143007  0.641540  7.26743E-09  1.74659E-08  2.26735E-08
 rb  37   1.428747 -0.931253  0.853294  1.55491E-09  4.16440E-09  4.85114E-09
 sr  38   1.640777 -1.239223  0.545323  2.59737E-09  5.78530E-09  8.10350E-09
  y  39   0.898625 -1.271375  0.513172  4.77211E-10  1.02760E-09  1.48884E-09
 zr  40   1.171731 -1.358269  0.426278  9.18319E-10  1.78090E-09  2.86505E-09
 nb  41  -0.013094 -1.423094  0.361453  6.11089E-11  1.06893E-10  1.90653E-10
 mo  42   0.413625 -1.526375  0.258172  1.68569E-10  3.04200E-10  5.25916E-10
 ru  44   0.109653 -1.650347  0.134200  8.81922E-11  1.24261E-10  2.75149E-10
 rh  45  -0.643808 -1.703808  0.080739  1.58411E-11  7.98227E-12  4.94224E-11
 pd  46   0.019524 -1.630476  0.154070  7.54574E-11  8.99328E-11  2.35418E-10
 ag  47  -0.503176 -1.703176  0.081371  2.29547E-11  1.16545E-11  7.16159E-11
 cd  48   0.080626 -1.629375  0.155172  9.17465E-11  1.01708E-10  2.86238E-10
 in  49  -0.929977 -1.689977  0.094569  9.14506E-12  6.35217E-12  2.85315E-11
 sn  50   0.392891 -1.677109  0.107438  1.98853E-10  1.96723E-10  6.20399E-10
 sb  51  -0.936026 -1.946026 -0.161479  9.56385E-12  4.83735E-12  2.98381E-11
 te  52   0.035009 -2.144991 -0.360444  9.37594E-11  6.16002E-11  2.92518E-10
  i  53  -0.228210 -1.778210  0.006336  5.08651E-11  7.68441E-13  1.58693E-10
 xe  54   0.474217 -1.765783  0.018764  2.65224E-10  9.27187E-11  8.27468E-10
 cs  55  -0.672789 -1.752789  0.031758  1.91384E-11  3.66668E-12  5.97097E-11
 ba  56   0.575350 -1.604650  0.179897  3.50155E-10  3.64934E-10  1.09244E-09
 la  57  -0.512509 -1.682509  0.102038  2.89311E-11  1.82655E-11  9.02617E-11
 ce  58  -0.114170 -1.694170  0.090377  7.30251E-11  4.18070E-11  2.27830E-10
 pr  59  -0.972037 -1.732037  0.052510  1.01872E-11  3.34359E-12  3.17827E-11
 nd  60  -0.307686 -1.757686  0.026861  4.81454E-11  1.56023E-11  1.50208E-10
 sm  62  -0.939743 -1.879743 -0.095196  1.17096E-11  2.46021E-12  3.65327E-11
 eu  63  -1.273157 -1.783157  0.001390  5.49209E-12 -1.12698E-13  1.71347E-11
 gd  64  -0.723095 -1.773095  0.011452  2.01674E-11  1.03669E-12  6.29198E-11
 tb  65  -1.460710 -1.780710  0.003837  3.72938E-12 -1.07891E-14  1.16352E-11
 dy  66  -0.642065 -1.772065  0.012482  2.51155E-11  1.58952E-12  7.83574E-11
 ho  67  -1.311509 -1.781509  0.003038  5.45688E-12 -4.70405E-14  1.70248E-11
 er  68  -0.855937 -1.775937  0.008610  1.57982E-11  1.34298E-12  4.92884E-11
 tm  69  -1.654538 -1.774538  0.010009  2.53708E-12  1.04557E-13  7.91538E-12
 yb  70  -0.881618 -1.801618 -0.017071  1.54057E-11  4.20108E-12  4.80641E-11
 lu  71  -1.666478 -1.756478  0.028069  2.55642E-12  4.25918E-13  7.97573E-12
 hf  72  -1.016536 -1.726536  0.058011  1.16475E-11  4.28460E-12  3.63388E-11
 ta  73  -1.859960 -1.739960  0.044587  1.69336E-12  4.69355E-13  5.28308E-12
  w  74  -1.079924 -1.729924  0.054623  1.03674E-11  3.57786E-12  3.23451E-11
 re  75  -1.510559 -1.770559  0.013988  3.89575E-12  2.69954E-13  1.21543E-11
 os  76  -0.426722 -1.776722  0.007825  4.82739E-11  1.26935E-12  1.50609E-10
 ir  77  -0.467404 -1.787404 -0.002858  4.44163E-11 -2.28216E-12  1.38573E-10
 pt  78  -0.194885 -1.814885 -0.030338  8.44262E-11 -1.35850E-12  2.63400E-10
 au  79  -0.982779 -1.782779  0.001768  1.38921E-11 -2.47139E-13  4.33418E-11
 hg  80  -0.603512 -1.773512  0.011035  3.38806E-11  8.94839E-12  1.05703E-10
 tl  81  -0.955604 -1.725604  0.058943  1.53460E-11  5.66661E-12  4.78777E-11
 pb  82   0.284282 -1.755718  0.028829  2.70287E-10  4.64324E-11  8.43265E-10
 bi  83  -1.117557 -1.767557  0.016990  1.08069E-11  9.75584E-13  3.37163E-11
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]
    0.4270   0.4949   0.1241  -0.3708  -0.0953
