# Initial mass = 2.750, Z =  0.0002, Y =  0.250, M_mix = 1.00E-03
# Final mass = 0.810, Mass expelled =   1.9403
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>         
  X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -1.0544777E-01  1.3492706E+00  1.4547184E+00  6.9539267E-01  7.4977738E-01 -3.2702208E-02
      d      2   1.2090511E-17  1.2090511E-17  0.0000000E+00  6.2312574E-18  0.0000000E+00  0.0000000E+00
    he3      3   1.9498932E-04  1.9498932E-04  0.0000000E+00  1.0049440E-04  0.0000000E+00  0.0000000E+00
    he4      4   7.9130143E-02  5.6417859E-01  4.8504844E-01  2.9076868E-01  2.4999915E-01  6.5609142E-02
    li7      7   4.1245293E-08  4.1522743E-08  2.7744770E-10  2.1400163E-08  1.4299950E-10  2.1750827E+00
    be7      7   1.6063651E-12  1.6063651E-12  0.0000000E+00  8.2789510E-13  0.0000000E+00  0.0000000E+00
     b8      8   5.6959948E-26  5.6959948E-26  0.0000000E+00  2.9356254E-26  0.0000000E+00  0.0000000E+00
    c12     12   2.1468760E-02  2.1545149E-02  7.6388969E-05  1.1104029E-02  3.9371691E-05  2.4502966E+00
    c13     13   6.6350779E-04  6.6443346E-04  9.2568439E-07  3.4243846E-04  4.7710762E-07  2.8559663E+00
    c14     14   6.6297375E-08  6.6297375E-08  0.0000000E+00  3.4168615E-08  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   1.5046394E-04  1.7304903E-04  2.2585096E-05  8.9186724E-05  1.1640600E-05  8.8432485E-01
    n15     15  -5.0493778E-08  5.1360094E-09  5.5629787E-08  2.6470177E-09  2.8672188E-08 -1.0347040E+00
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   6.6698401E-04  8.5144339E-04  1.8445941E-04  4.3882043E-04  9.5072355E-05  6.6423255E-01
    o17     17   1.4693087E-06  1.5437689E-06  7.4460253E-08  7.9563404E-07  3.8377614E-08  1.3166354E+00
    o18     18  -2.7267805E-07  1.4235563E-07  4.1503370E-07  7.3367836E-08  2.1391281E-07 -4.6473116E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   3.7789362E-06  3.7908881E-06  1.1951837E-08  1.9537636E-06  6.1601044E-09  2.5012841E+00
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   6.2058280E-05  9.9896657E-05  3.7838377E-05  5.1485153E-05  1.9502304E-05  4.2159608E-01
   ne21     21   4.6219097E-06  4.7171488E-06  9.5239258E-08  2.4311437E-06  4.9087333E-08  1.6948413E+00
   ne22     22   2.7619491E-03  2.7650096E-03  3.0605104E-06  1.4250422E-03  1.5774197E-06  2.9558806E+00
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   5.4088285E-14  5.4088285E-14  0.0000000E+00  2.7876244E-14  0.0000000E+00  0.0000000E+00
   na23     23   3.3510089E-05  3.4534391E-05  1.0243033E-06  1.7798477E-05  5.2793689E-07  1.5278009E+00
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24   1.6600912E-05  3.4650500E-05  1.8049588E-05  1.7858318E-05  9.3029503E-06  2.8321984E-01
   mg25     25   1.2151164E-04  1.2389189E-04  2.3802572E-06  6.3851920E-05  1.2268100E-06  1.7163967E+00
   mg26     26   1.4631574E-04  1.4904123E-04  2.7254875E-06  7.6813485E-05  1.4047455E-06  1.7378398E+00
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   6.8879403E-06  8.6259552E-06  1.7380147E-06  4.4456806E-06  8.9579135E-07  6.9573140E-01
   al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si28     28   9.8040691E-06  2.9789693E-05  1.9985624E-05  1.5353135E-05  1.0300805E-05  1.7332591E-01
   si29     29   1.3506879E-06  2.4017938E-06  1.0511060E-06  1.2378464E-06  5.4175126E-07  3.5886684E-01
   si30     30   1.8317614E-06  2.5485278E-06  7.1676635E-07  1.3134709E-06  3.6942902E-07  5.5088949E-01
    p31     31   1.1184303E-06  1.3179801E-06  1.9954983E-07  6.7926607E-07  1.0285012E-07  8.1983513E-01
    p32     32   4.0491134E-34  4.0491134E-34  0.0000000E+00  2.0868487E-34  0.0000000E+00  0.0000000E+00
    p33     33   3.2302573E-35  3.2302573E-35  0.0000000E+00  1.6648234E-35  0.0000000E+00  0.0000000E+00
    s32     32   5.5565579E-08  9.6328404E-06  9.5772748E-06  4.9646133E-06  4.9362297E-06  2.4900674E-03
    s33     33   1.8587841E-08  9.7658514E-08  7.9070674E-08  5.0331650E-08  4.0753871E-08  9.1672249E-02
    s34     34   2.3511276E-07  6.9496679E-07  4.5985402E-07  3.5817484E-07  2.3701368E-07  1.7932168E-01
    s35     35   1.7303113E-28  1.7303113E-28  0.0000000E+00  8.9177502E-29  0.0000000E+00  0.0000000E+00
    s36     36   3.6320394E-08  3.8590329E-08  2.2699367E-09  1.9888844E-08  1.1699497E-09  1.2304424E+00
   cl35     35   1.7025670E-09  9.9947862E-08  9.8245295E-08  5.1511542E-08  5.0636675E-08  7.4393796E-03
   cl36     36   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   cl37     37   2.1207249E-08  5.4401124E-08  3.3193874E-08  2.8037476E-08  1.7108476E-08  2.1452758E-01
   ar36     36  -8.5145871E-08  1.7443259E-06  1.8294718E-06  8.9899788E-07  9.4292932E-07 -2.0720474E-02
   ar37     37   3.8483715E-29  3.8483715E-29  0.0000000E+00  1.9833896E-29  0.0000000E+00  0.0000000E+00
   ar38     38   3.0787504E-08  3.8190456E-07  3.5111705E-07  1.9682756E-07  1.8096949E-07  3.6480524E-02
   ar39     39   8.3656224E-12  8.3656224E-12  0.0000000E+00  4.3115090E-12  0.0000000E+00  0.0000000E+00
   ar40     40   1.2105486E-08  1.2696614E-08  5.9112826E-10  6.5436336E-09  3.0467381E-10  1.3319839E+00
    k39     39   7.2665571E-09  1.0251395E-07  9.5247394E-08  5.2834064E-08  4.9091526E-08  3.1907473E-02
    k40     40  -1.5418746E-11  0.0000000E+00  1.5418746E-11  0.0000000E+00  7.9469868E-12  0.0000000E+00
    k41     41   1.6552044E-09  8.8813055E-09  7.2261011E-09  4.5772839E-09  3.7244097E-09  8.9550406E-02
   ca40     40  -6.4820938E-08  1.5842550E-06  1.6490759E-06  8.1649989E-07  8.4995133E-07 -1.7437899E-02
   ca41     41   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ca42     42   2.5397942E-09  1.4096686E-08  1.1556891E-08  7.2652080E-09  5.9565455E-09  8.6253569E-02
   ca43     43   7.8422091E-10  3.2529961E-09  2.4687752E-09  1.6765426E-09  1.2724332E-09  1.1977959E-01
   ca44     44   2.2852831E-09  4.1320405E-08  3.9035122E-08  2.1295881E-08  2.0119119E-08  2.4686629E-02
   ca45     45   3.4282921E-24  3.4282921E-24  0.0000000E+00  1.7668873E-24  0.0000000E+00  0.0000000E+00
   ca46     46   3.3829863E-09  3.4612406E-09  7.8254334E-11  1.7838685E-09  4.0333122E-11  1.6457011E+00
   ca47     47   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ca48     48   2.6341684E-10  4.0808530E-09  3.8174361E-09  2.1032069E-09  1.9675475E-09  2.8956786E-02
   sc45     45   1.2715329E-09  2.3728188E-09  1.1012860E-09  1.2229132E-09  5.6761457E-10  3.3334211E-01
   sc46     46   1.2437785E-32  1.2437785E-32  0.0000000E+00  6.4102374E-33  0.0000000E+00  0.0000000E+00
   sc47     47   5.6692760E-37  5.6692760E-37  0.0000000E+00  2.9218548E-37  0.0000000E+00  0.0000000E+00
   sc48     48   4.7932240E-32  7.4251897E-31  6.9458673E-31  3.8268249E-31  3.5799746E-31  0.0000000E+00
   ti46     46   1.4211743E-11  6.7424830E-09  6.7282713E-09  3.4749688E-09  3.4678229E-09  8.9395727E-04
   ti47     47   8.3305807E-11  6.2829146E-09  6.1996088E-09  3.2381144E-09  3.1953447E-09  5.7744961E-03
   ti48     48  -2.8172380E-09  5.9918385E-08  6.2735623E-08  3.0880987E-08  3.2334611E-08 -1.9976525E-02
   ti49     49   8.8192698E-10  5.5817413E-09  4.6998143E-09  2.8767408E-09  2.4223346E-09  7.4666619E-02
   ti50     50   5.6177187E-09  1.0209630E-08  4.5919117E-09  5.2618816E-09  2.3667204E-09  3.4699416E-01
    v51     51  -1.3592683E-10  9.9838466E-09  1.0119773E-08  5.1455160E-09  5.2158393E-09 -5.8952640E-03
   cr52     52  -1.6835827E-08  3.9800398E-07  4.1483980E-07  2.0512493E-07  2.1381287E-07 -1.8015396E-02
   cr53     53  -1.7735502E-09  4.6170328E-08  4.7943878E-08  2.3795454E-08  2.4710786E-08 -1.6392583E-02
   cr54     54   9.9180673E-09  2.2077502E-08  1.2159435E-08  1.1378394E-08  6.2671028E-09  2.5901416E-01
   mn55     55  -1.7239984E-08  3.4505030E-07  3.6229028E-07  1.7783344E-07  1.8672829E-07 -2.1196691E-02
   fe54     54  -1.3580529E-07  2.2512997E-06  2.3871050E-06  1.1602842E-06  1.2303394E-06 -2.5460521E-02
   fe55     55  -2.0618426E-17 -2.0618426E-17  0.0000000E+00 -1.0626410E-17  0.0000000E+00  0.0000000E+00
   fe56     56  -1.8857245E-06  3.6974026E-05  3.8859751E-05  1.9055828E-05  2.0028732E-05 -2.1625623E-02
   fe57     57   5.4875443E-08  9.6834640E-07  9.1347096E-07  4.9907038E-07  4.7081269E-07  2.5313657E-02
   fe58     58   4.9282920E-07  6.1652867E-07  1.2369948E-07  3.1774908E-07  6.3756033E-08  6.9756305E-01
   fe59     59   5.2687509E-31  5.2687509E-31  0.0000000E+00  2.7154307E-31  0.0000000E+00  0.0000000E+00
   fe60     60   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   co59     59   2.2089206E-07  3.1628977E-07  9.5397709E-08  1.6301072E-07  4.9169000E-08  5.2052486E-01
   co60     60   8.8244765E-13  8.8244765E-13  0.0000000E+00  4.5479950E-13  0.0000000E+00  0.0000000E+00
   ni58     58  -7.7970299E-08  1.2869821E-06  1.3649524E-06  6.6329017E-07  7.0351103E-07 -2.5567364E-02
   ni59     59   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ni60     60   5.4556858E-07  1.0894819E-06  5.4391330E-07  5.6150168E-07  2.8033872E-07  3.0166799E-01
   ni61     61   9.0604821E-08  1.1464292E-07  2.4038100E-08  5.9085142E-08  1.2389493E-08  6.7842478E-01
   ni62     62   1.8815457E-07  2.6605207E-07  7.7897496E-08  1.3711902E-07  4.0149203E-08  5.3342080E-01
   ni63     63   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ni64     64   1.8999833E-07  2.1047703E-07  2.0478687E-08  1.0847652E-07  1.0554935E-08  1.0118802E+00
   cu63     63   1.0801706E-07  1.2491945E-07  1.6902391E-08  6.4381503E-08  8.7116732E-09  8.6865956E-01
   cu64     64   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   cu65     65   3.1342658E-08  3.9115356E-08  7.7726972E-09  2.0159435E-08  4.0061314E-09  7.0175320E-01
   zn64     64  -1.3772929E-09  2.7581661E-08  2.8958954E-08  1.4215151E-08  1.4925755E-08 -2.1184841E-02
   zn65     65  -9.5507784E-25 -9.5507784E-25  0.0000000E+00 -4.9223195E-25  0.0000000E+00  0.0000000E+00
   zn66     66   2.8639910E-08  4.5773078E-08  1.7133168E-08  2.3590719E-08  8.8306189E-09  4.2675003E-01
