# Initial mass = 3.750, Z =  0.0002, Y =  0.250, M_mix = 1.00E-04
# Final mass = 0.873, Mass expelled =   2.8769
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>         
  X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -1.9115245E-01  1.9657670E+00  2.1569195E+00  6.8328232E-01  7.4977738E-01 -4.0332153E-02
      d      2   1.5907454E-17  1.5907454E-17  0.0000000E+00  5.5292830E-18  0.0000000E+00  0.0000000E+00
    he3      3   1.7032793E-05  1.7032793E-05  0.0000000E+00  5.9204403E-06  0.0000000E+00  0.0000000E+00
    he4      4   1.7545259E-01  8.9463681E-01  7.1918422E-01  3.1096742E-01  2.4999915E-01  9.4776377E-02
    li7      7   2.3073060E-08  2.3484434E-08  4.1137335E-10  8.1629707E-09  1.4299950E-10  1.7565137E+00
    be7      7   5.8365153E-11  5.8365153E-11  0.0000000E+00  2.0287183E-11  0.0000000E+00  0.0000000E+00
     b8      8   9.7745779E-23  9.7745779E-23  0.0000000E+00  3.3975523E-23  0.0000000E+00  0.0000000E+00
    c12     12   2.4805677E-03  2.5938300E-03  1.1326239E-04  9.0159115E-04  3.9371691E-05  1.3598256E+00
    c13     13   4.0992862E-04  4.1130112E-04  1.3725178E-06  1.4296443E-04  4.7710762E-07  2.4766119E+00
    c14     14   7.7002973E-08  7.7002973E-08  0.0000000E+00  2.6765516E-08  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   1.2258701E-02  1.2292188E-02  3.3487056E-05  4.2726500E-03  1.1640600E-05  2.5647221E+00
    n15     15   1.5364091E-07  2.3612353E-07  8.2482622E-08  8.2074337E-08  2.8672188E-08  4.5674658E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   2.2886143E-04  5.0236052E-04  2.7349908E-04  1.7461584E-04  9.5072355E-05  2.6402935E-01
    o17     17   1.0853565E-06  1.1957592E-06  1.1040267E-07  4.1563476E-07  3.8377614E-08  1.0346339E+00
    o18     18  -6.0294127E-07  1.2431738E-08  6.1537298E-07  4.3211563E-09  2.1391281E-07 -1.6946368E+00
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   4.4628105E-38  4.4628105E-38  0.0000000E+00  1.5512314E-38  0.0000000E+00  0.0000000E+00
    f19     19   2.3499906E-07  2.5272013E-07  1.7721060E-08  8.7843162E-08  6.1601044E-09  1.1541200E+00
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   3.8819708E-06  5.9985156E-05  5.6103185E-05  2.0850281E-05  1.9502304E-05  2.9025942E-02
   ne21     21   3.1393597E-08  1.7260541E-07  1.4121181E-07  5.9996033E-08  4.9087333E-08  8.7153092E-02
   ne22     22   2.5110692E-04  2.5564476E-04  4.5378370E-06  8.8859735E-05  1.5774197E-06  1.7507578E+00
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   1.1289226E-11  1.1289226E-11  0.0000000E+00  3.9240295E-12  0.0000000E+00  0.0000000E+00
   na23     23   6.0124366E-06  7.5311773E-06  1.5187406E-06  2.6177670E-06  5.2793689E-07  6.9534898E-01
   na24     24   9.4181077E-37  9.4181077E-37  0.0000000E+00  3.2736464E-37  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24   4.4299486E-07  2.7205228E-05  2.6762233E-05  9.4562838E-06  9.3029503E-06  7.0997928E-03
   mg25     25   1.3229766E-05  1.6758988E-05  3.5292217E-06  5.8252681E-06  1.2268100E-06  6.7653865E-01
   mg26     26   1.4444667E-05  1.8485764E-05  4.0410969E-06  6.4254791E-06  1.4047455E-06  6.6030788E-01
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   7.9321217E-07  3.3701770E-06  2.5769648E-06  1.1714421E-06  8.9579135E-07  1.1651395E-01
   al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si28     28   1.4238503E-06  3.1056657E-05  2.9632807E-05  1.0795005E-05  1.0300805E-05  2.0351641E-02
   si29     29   2.1241533E-07  1.7708965E-06  1.5584811E-06  6.1554709E-07  5.4175126E-07  5.5461328E-02
   si30     30   3.1668560E-07  1.3794394E-06  1.0627538E-06  4.7948026E-07  3.6942902E-07  1.1323975E-01
    p31     31   1.2381179E-07  4.1968551E-07  2.9587372E-07  1.4587877E-07  1.0285012E-07  1.5178728E-01
    p32     32   1.2448248E-30  1.2448248E-30  0.0000000E+00  4.3268950E-31  0.0000000E+00  0.0000000E+00
    p33     33   3.4736418E-31  3.4736418E-31  0.0000000E+00  1.2074055E-31  0.0000000E+00  0.0000000E+00
    s32     32  -9.6744770E-08  1.4103538E-05  1.4200283E-05  4.9022583E-06  4.9362297E-06 -2.9991779E-03
    s33     33   2.7107987E-09  1.1994936E-07  1.1723856E-07  4.1693280E-08  4.0753871E-08  9.8971426E-03
    s34     34   3.7729535E-08  7.1955782E-07  6.8182828E-07  2.5011158E-07  2.3701368E-07  2.3360386E-02
    s35     35   3.6638179E-24  3.6638179E-24  0.0000000E+00  1.2735089E-24  0.0000000E+00  0.0000000E+00
    s36     36   6.4668906E-09  9.8325392E-09  3.3656486E-09  3.4176990E-09  1.1699497E-09  4.6556661E-01
   cl35     35  -6.1999117E-10  1.4504889E-07  1.4566888E-07  5.0417643E-08  5.0636675E-08 -1.8826453E-03
   cl36     36   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   cl37     37   1.0960029E-08  6.0176781E-08  4.9216752E-08  2.0916888E-08  1.7108476E-08  8.7285705E-02
