# Initial mass = 4.000, Z =  0.0002, Y =  0.250, M_mix = 0.00E+00
# Final mass = 0.880, Mass expelled =   3.1199
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>           X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -2.2415686E-01  2.1149099E+00  2.3390667E+00  6.7788142E-01  7.4977738E-01 -4.3778580E-02
      d      2   1.6394533E-17  1.6394533E-17  0.0000000E+00  5.2548572E-18  0.0000000E+00  0.0000000E+00
    he3      3   9.1778984E-06  9.1778984E-06  0.0000000E+00  2.9417456E-06  0.0000000E+00  0.0000000E+00
    he4      4   2.0744497E-01  9.8736280E-01  7.7991784E-01  3.1647444E-01  2.4999915E-01  1.0240014E-01
    li7      7   1.5264304E-08  1.5710416E-08  4.4611298E-10  5.0355804E-09  1.4299950E-10  1.5467151E+00
    be7      7   5.6585420E-11  5.6585420E-11  0.0000000E+00  1.8137040E-11  0.0000000E+00  0.0000000E+00
     b8      8   3.0596889E-24  3.0596889E-24  0.0000000E+00  9.8070665E-25  0.0000000E+00  0.0000000E+00
    c12     12   2.3718972E-03  2.4947245E-03  1.2282716E-04  7.9962146E-04  3.9371691E-05  1.3077004E+00
    c13     13   3.5806408E-04  3.5955250E-04  1.4884240E-06  1.1524555E-04  4.7710762E-07  2.3830080E+00
    c14     14   3.0590993E-08  3.0590993E-08  0.0000000E+00  9.8051771E-09  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   1.3494121E-02  1.3530436E-02  3.6314970E-05  4.3368423E-03  1.1640600E-05  2.5711982E+00
    n15     15   1.8828899E-07  2.7773709E-07  8.9448100E-08  8.9021668E-08  2.8672188E-08  4.9203491E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   1.6827227E-04  4.6486777E-04  2.9659551E-04  1.4900173E-04  9.5072355E-05  1.9513704E-01
    o17     17   1.0867489E-06  1.2064747E-06  1.1972594E-07  3.8670527E-07  3.8377614E-08  1.0033021E+00
    o18     18  -6.5939616E-07  7.9437381E-09  6.6733992E-07  2.5461664E-09  2.1391281E-07 -1.9243500E+00
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   1.2106183E-07  1.4027940E-07  1.9217566E-08  4.4963048E-08  6.1601044E-09  8.6326772E-01
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   2.0081789E-06  6.2849162E-05  6.0840983E-05  2.0144726E-05  1.9502304E-05  1.4075410E-02
   ne21     21  -2.0884357E-08  1.3225250E-07  1.5313685E-07  4.2390226E-08  4.9087333E-08 -6.3703701E-02
   ne22     22   2.4862488E-04  2.5354594E-04  4.9210475E-06  8.1267804E-05  1.5774197E-06  1.7119713E+00
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   1.1642390E-11  1.1642390E-11  0.0000000E+00  3.7316769E-12  0.0000000E+00  0.0000000E+00
   na23     23   6.7486981E-06  8.3956929E-06  1.6469951E-06  2.6910291E-06  5.2793689E-07  7.0733643E-01
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24  -5.7677971E-07  2.8445467E-05  2.9022247E-05  9.1174825E-06  9.3029503E-06 -8.7457597E-03
   mg25     25   1.4825895E-05  1.8653152E-05  3.8272569E-06  5.9788008E-06  1.2268100E-06  6.8783677E-01
   mg26     26   1.6255159E-05  2.0637517E-05  4.3823588E-06  6.6148395E-06  1.4047455E-06  6.7292172E-01
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   1.0908843E-06  3.8854682E-06  2.7945839E-06  1.2453895E-06  8.9579135E-07  1.4309832E-01
   al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si28     28   1.4979341E-06  3.3633169E-05  3.2135235E-05  1.0780270E-05  1.0300805E-05  1.9758463E-02
   si29     29   2.0609377E-07  1.8961854E-06  1.6900916E-06  6.0777472E-07  5.4175126E-07  4.9942691E-02
   si30     30   3.0895364E-07  1.4614546E-06  1.1525010E-06  4.6843269E-07  3.6942902E-07  1.0311620E-01
    p31     31   8.1351516E-08  4.0221116E-07  3.2085964E-07  1.2891871E-07  1.0285012E-07  9.8111160E-02
    p32     32   2.7605603E-30  2.7605603E-30  0.0000000E+00  8.8482845E-31  0.0000000E+00  0.0000000E+00
    p33     33   1.8027131E-30  1.8027131E-30  0.0000000E+00  5.7781453E-31  0.0000000E+00  0.0000000E+00
    s32     32  -1.2526107E-07  1.5274205E-05  1.5399466E-05  4.8957641E-06  4.9362297E-06 -3.5748738E-03
    s33     33   2.0376802E-09  1.2917680E-07  1.2713912E-07  4.1404387E-08  4.0753871E-08  6.8774666E-03
    s34     34   3.0969602E-08  7.7037686E-07  7.3940726E-07  2.4692500E-07  2.3701368E-07  1.7791620E-02
    s35     35   3.9736558E-23  3.9736558E-23  0.0000000E+00  1.2736558E-23  0.0000000E+00  0.0000000E+00
    s36     36   4.6361563E-09  8.2860270E-09  3.6498706E-09  2.6558784E-09  1.1699497E-09  3.5604095E-01
   cl35     35  -1.9544188E-10  1.5777488E-07  1.5797032E-07  5.0570787E-08  5.0636675E-08 -5.6548457E-04
   cl36     36   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   cl37     37   1.0710053E-08  6.4083061E-08  5.3373007E-08  2.0540220E-08  1.7108476E-08  7.9393737E-02
   ar36     36  -4.0269242E-08  2.9013702E-06  2.9416394E-06  9.2996157E-07  9.4292932E-07 -6.0141464E-03
   ar37     37   7.3880626E-24  7.3880626E-24  0.0000000E+00  2.3680585E-24  0.0000000E+00  0.0000000E+00
   ar38     38   1.5857211E-08  5.8042446E-07  5.6456724E-07  1.8604052E-07  1.8096949E-07  1.2002178E-02
   ar39     39   4.6519798E-11  4.6519798E-11  0.0000000E+00  1.4910757E-11  0.0000000E+00  0.0000000E+00
   ar40     40   5.1895199E-09  6.1400054E-09  9.5048536E-10  1.9680251E-09  3.0467381E-10  8.1019545E-01
    k39     39   3.5684451E-09  1.5671839E-07  1.5314994E-07  5.0232156E-08  4.9091526E-08  9.9752704E-03
    k40     40  -2.4792071E-11  0.0000000E+00  2.4792071E-11  0.0000000E+00  7.9469868E-12  0.0000000E+00
    k41     41   8.7335561E-10  1.2492329E-08  1.1618973E-08  4.0041033E-09  3.7244097E-09  3.1447783E-02
   ca40     40  -2.9855073E-08  2.6217226E-06  2.6515777E-06  8.4032752E-07  8.4995133E-07 -4.9454533E-03
   ca41     41   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ca42     42   1.1927686E-09  1.9775296E-08  1.8582528E-08  6.3384760E-09  5.9565455E-09  2.6990335E-02
   ca43     43   3.5636427E-10  4.3259507E-09  3.9695864E-09  1.3865752E-09  1.2724332E-09  3.7308417E-02
   ca44     44   8.6861718E-10  6.3633870E-08  6.2765253E-08  2.0396243E-08  2.0119119E-08  5.9412159E-03
   ca45     45   4.7692855E-21  4.7692855E-21  0.0000000E+00  1.5286750E-21  0.0000000E+00  0.0000000E+00
   ca46     46   1.2853779E-09  1.4112044E-09  1.2582650E-10  4.5232623E-10  4.0333122E-11  1.0497899E+00
   ca47     47   4.3743230E-35  4.3743230E-35  0.0000000E+00  1.4020796E-35  0.0000000E+00  0.0000000E+00
   ca48     48   3.1914471E-11  6.1700365E-09  6.1381220E-09  1.9776507E-09  1.9675475E-09  2.2243699E-03
