# Initial mass = 5.000, Z =  0.0002, Y =  0.250, M_mix = 0.00E+00
# Final mass = 0.940, Mass expelled =   4.0602
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>         
  X0(i)   log10(<X(i)>/X0(i)) 
      n      1   6.6462319E-38  6.6462319E-38  0.0000000E+00  1.6369101E-38  0.0000000E+00  0.0000000E+00
      p      1  -3.8041544E-01  2.6636281E+00  3.0440435E+00  6.5602887E-01  7.4977738E-01 -5.8009375E-02
      d      2   2.0167022E-17  2.0167022E-17  0.0000000E+00  4.9669652E-18  0.0000000E+00  0.0000000E+00
    he3      3   1.3725306E-06  1.3725306E-06  0.0000000E+00  3.3804255E-07  0.0000000E+00  0.0000000E+00
    he4      4   3.6761522E-01  1.3825942E+00  1.0149790E+00  3.4052116E-01  2.4999915E-01  1.3420561E-01
    li7      7   3.4616758E-09  4.0422439E-09  5.8056798E-10  9.9557018E-10  1.4299950E-10  8.4273738E-01
    be7      7   4.5715577E-11  4.5715577E-11  0.0000000E+00  1.1259356E-11  0.0000000E+00  0.0000000E+00
     b8      8   9.9880006E-25  9.9880006E-25  0.0000000E+00  2.4599592E-25  0.0000000E+00  0.0000000E+00
    c12     12   9.4732753E-04  1.1071739E-03  1.5984631E-04  2.7268747E-04  3.9371691E-05  8.4048110E-01
    c13     13   1.9620711E-04  1.9814413E-04  1.9370234E-06  4.8801208E-05  4.7710762E-07  2.0098143E+00
    c14     14   9.7441362E-09  9.7441362E-09  0.0000000E+00  2.3998976E-09  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   1.1611760E-02  1.1659020E-02  4.7260019E-05  2.8715169E-03  1.1640600E-05  2.3921361E+00
    n15     15   2.0828423E-07  3.2469131E-07  1.1640707E-07  7.9968700E-08  2.8672188E-08  4.4545925E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -9.8218094E-05  2.8776901E-04  3.8598711E-04  7.0875052E-05  9.5072355E-05 -1.2756091E-01
    o17     17   9.9380281E-07  1.1496132E-06  1.5581041E-07  2.8313991E-07  3.8377614E-08  8.6792314E-01
    o18     18  -8.6646486E-07  2.0061410E-09  8.6847098E-07  4.9409538E-10  2.1391281E-07 -2.6364260E+00
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18  -1.2274303E-36 -1.2274303E-36  0.0000000E+00 -3.0230559E-37  0.0000000E+00  0.0000000E+00
