                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r23.05.1"          1.9999387088477472E+000          2.4999233860596839E-001          9.5697415834207084E+002                       "gfortran"                         "10.2.0"            "x86_64-linux-21.4.1"                       "20260310" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                               5          3.3615999999999997E+002          9.5697423354944658E+002          5.3550190196078677E+002          3.1456211046739848E+000          2.5164967724943985E+001          3.0000000985439073E+002          1.1809739777307968E+002         -3.0979418104143369E-001         -1.0000000000000000E+000          1.9999386204380787E+000          2.4999233860597364E-001         -1.7673973902808950E+001         -9.6160752931987101E+000         -1.7699550164032640E+001         -9.8999999999999986E+001         -1.8916646528204321E+001         -9.6160752969996022E+000         -9.8999999999999986E+001          1.0000000000000000E+000          8.2513522810775391E-009          4.6602799735131325E+052         -1.9859741859086466E+034          0.0000000000000000E+000         -1.6811398835533620E+025         -1.9859741842275068E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              10          4.5193651580790061E+002          9.5697425330403985E+002          5.3550190748790635E+002          3.1456211046739848E+000          2.5164967432739580E+001          3.0000001244282805E+002          1.1809739938502757E+002         -3.3473749938630043E-001         -1.0000000000000000E+000          1.9999385972156818E+000          2.4999233860597364E-001         -2.0300367246768552E+001         -9.7546493243476267E+000         -2.0325943507992243E+001         -9.8999999999999986E+001         -2.1543039872163924E+001         -9.7546493243599883E+000         -9.8999999999999986E+001          1.0000000000000000E+000          2.6835260552611309E-011          4.6602799675005658E+052         -1.4434427616553077E+034          0.0000000000000000E+000         -1.6811397538745380E+025         -1.4434427599741680E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              15          5.2320027993863243E+002          9.5697426280241166E+002          5.3550191014544725E+002          3.1456211046739844E+000          2.5164967292242334E+001          3.0000001368739623E+002          1.1809740016008180E+002         -3.5201791805393107E-001         -1.0000000000000000E+000          1.9999385860499270E+000          2.4999233860597364E-001         -2.2175306824982346E+001         -9.8399606091264413E+000         -2.2200883086206037E+001         -9.8999999999999986E+001         -2.3417979450377715E+001         -9.8399606091266421E+000         -9.8999999999999986E+001          1.0000000000000000E+000          4.3558962085305299E-013          4.6602799646096140E+052         -1.1860098246204495E+034          0.0000000000000000E+000         -1.6811396980436379E+025         -1.1860098229393099E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              20          5.7807127089666528E+002          9.5697426896010904E+002          5.3550191186830375E+002          3.1456211046739835E+000          2.5164967201159410E+001          3.0000001449423718E+002          1.1809740066254149E+002         -3.6600673328643368E-001         -1.0000000000000000E+000          1.9999385788112822E+000          2.4999233860597364E-001         -2.3811303215627007E+001         -9.9069167320662892E+000         -2.3836879476850701E+001         -9.8999999999999986E+001         -2.5053975841022378E+001         -9.9069167320662945E+000         -9.8999999999999986E+001          1.0000000000000000E+000          1.1749983458567419E-014          4.6602799627354392E+052         -1.0165580096375605E+034          0.0000000000000000E+000         -1.6811396624199255E+025         -1.0165580079564209E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              25          6.2251027751226229E+002          9.5697427330762162E+002          5.3550191308469039E+002          3.1456211046739853E+000          2.5164967136852223E+001          3.0000001506389020E+002          1.1809740101729258E+002         -3.7769083029554790E-001         -1.0000000000000000E+000          1.9999385737005888E+000          2.4999233860597364E-001         -2.5263681551428441E+001         -9.9613640318285590E+000         -2.5289257812652135E+001         -9.8999999999999986E+001         -2.6506354176823812E+001         -9.9613640318285590E+000         -9.8999999999999986E+001          1.0000000000000000E+000          4.7000904874716433E-016          4.6602799614122167E+052         -8.9677784184779297E+033          0.0000000000000000E+000         -1.6811396375014265E+025         -8.9677784016665333E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              30          6.5956325382349223E+002          9.5697427654392175E+002          5.3550191399017172E+002          3.1456211046739844E+000          2.5164967088981786E+001          3.0000001548794148E+002          1.1809740128137025E+002         -3.8764636174133499E-001         -1.0000000000000000E+000          1.9999385698961765E+000          2.4999233860597364E-001         -2.6575695553677946E+001         -1.0006920783056710E+001         -2.6601271814901637E+001         -9.8999999999999986E+001         -2.7818368179073314E+001         -1.0006920783056710E+001         -9.8999999999999986E+001          1.0000000000000000E+000          2.5447725305832781E-017          4.6602799604272077E+052         -8.0747320409166392E+033          0.0000000000000000E+000         -1.6811396190632350E+025         -8.0747320241052428E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              35          6.9105674192823426E+002          9.5697427904415758E+002          5.3550191468971047E+002          3.1456211046739844E+000          2.5164967051999000E+001          3.0000001581554648E+002          1.1809740148538607E+002         -3.9627972409644863E-001         -1.0000000000000000E+000          1.9999385669570386E+000          2.4999233860597364E-001         -2.7765352470332729E+001         -1.0045612757214307E+001         -2.7790928731556420E+001         -9.8999999999999986E+001         -2.9008025095728097E+001         -1.0045612757214307E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.7975626085374997E-018          4.6602799596662284E+052         -7.3864565297188757E+033          0.0000000000000000E+000         -1.6811396048814353E+025         -7.3864565129074793E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              40          7.1825134561201389E+002          9.5697428103255538E+002          5.3550191524604259E+002          3.1456211046739844E+000          2.5164967022587188E+001          3.0000001607608550E+002          1.1809740164763666E+002         -4.0390449743880513E-001         -1.0000000000000000E+000          1.9999385646195895E+000          2.4999233860597364E-001         -2.8860864755812990E+001         -1.0079341035458819E+001         -2.8886441017036681E+001         -9.8999999999999986E+001         -3.0103537381208358E+001         -1.0079341035458819E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.5591935100709616E-019          4.6602799590610341E+052         -6.8345176440802075E+033          0.0000000000000000E+000         -1.6811395936434124E+025         -6.8345176272688111E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              45          7.4209127049268182E+002          9.5697428265428289E+002          5.3550191569978415E+002          3.1456211046739848E+000          2.5164966998599052E+001          3.0000001628857990E+002          1.1809740177996743E+002         -4.1073287525231345E-001         -1.0000000000000000E+000          1.9999385627131772E+000          2.4999233860597364E-001         -2.9881099185505210E+001         -1.0109066146965867E+001         -2.9906675446728901E+001         -9.8999999999999986E+001         -3.1123771810900578E+001         -1.0109066146965867E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.5936417552224723E-020          4.6602799585674396E+052         -6.3823814737269722E+033          0.0000000000000000E+000         -1.6811395845089007E+025         -6.3823814569155758E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
