                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r23.05.1"                               "gfortran"                                 "10.2.0"                    "x86_64-linux-21.4.1"                                 "CRMATH"                               "20260307"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                           he_core_radius                              he_core_lgT                            he_core_lgRho                             co_core_mass                           co_core_radius                              co_core_lgT                            co_core_lgRho                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                            envelope_mass                   envelope_fraction_left                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                        center_degeneracy                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                               center_n14                              surface_c12                              surface_o16                              surface_n14                            total_mass_h1                           total_mass_he4                                rel_E_err                                tot_E_err                              num_retries                                num_iters                    num_solver_iterations                             elapsed_time                            alpha_mlt_max                        alpha_mlt_surface                                 min_beta                               varcontrol                             last_saved_R                                 min_kapR                                 max_kapR                                    min_T                                    max_T                     quasi_adiabatic_Mdot 
                                       1                                      871                  1.0000000000000001E-001                 -9.9999999999999989E-001                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.0000000000000000E+001                  0.0000000000000000E+000                  9.9999999995150002E-001                  3.9502963102910965E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999998900002E-001                  7.8131148883997525E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.0109073464638865E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.0109073464638865E+000                 -5.0109073466438314E+000                 -1.4393552192918644E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0000000000000000E+000                  1.0000000000000000E+000                  3.7033961868873440E+000                  8.5022029339019900E-001                  5.4097093378490924E-001                  3.6571557553972958E+000                  0.0000000000000000E+000                  1.4395467044626479E+001                 -3.8032001321831937E-001                  6.6426212705786600E+000                 -5.3356763243430771E+000                  6.1223046613610610E-001                  8.5900475343229010E-001                  1.2725124258818248E+000                  7.1799999999999975E-001                  2.6797147940625965E-001                  2.4805638980559168E-003                  6.0165994388079224E-003                  7.2709734142299373E-004                  2.4805638980559173E-003                  6.0165994388079224E-003                  7.2709734142299373E-004                  1.4360000000000011E+000                  5.3594295881251930E-001                  6.2173090266927219E-013                  1.1364639749118104E+036                                        0                                       22                                       22                  4.1231707000000001E-001                  1.9310000000000000E+000                  1.9310000000000000E+000                  9.9622646999153319E-001                  1.0000000000000000E-004                                        0                  4.9183131289874211E-003                  2.8616003295658019E+000                  5.0514987553152523E+003                  4.3915847730179876E+006                  4.7793667150550321E-004 
                                      10                                      863                  1.0923907887613282E+000                 -8.7624309800117040E-001                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.0000000000000000E+001                  0.0000000000000000E+000                  9.9999999883909496E-001                  6.3981101480704916E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999915542659E-001                  5.9751290818427638E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.0109059568618406E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.0109059568618406E+000                 -5.0109059570417847E+000                 -1.4393551805746085E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0000000000000000E+000                  1.0000000000000000E+000                  3.7033461885076950E+000                  8.5001779802208666E-001                  5.4096968286014979E-001                  3.6571582572468149E+000                  0.0000000000000000E+000                  1.4395467924003864E+001                 -3.8031901559427178E-001                  6.6426211593549338E+000                 -5.3356736384729970E+000                  6.1223046623467614E-001                  8.5900475343228966E-001                  1.2725124258818268E+000                  7.1799999999999808E-001                  2.6797147940625970E-001                  2.4805638980559168E-003                  6.0165994388079241E-003                  7.2709734142299383E-004                  2.4805638980559173E-003                  6.0165994388079224E-003                  7.2709734142299373E-004                  1.4359999999999997E+000                  5.3594295881251930E-001                  6.5226678349164852E-013                  1.1922811661410598E+036                                        0                                        5                                        5                  1.8299039349999999E+000                  1.9310000000000000E+000                  1.9310000000000000E+000                  9.9622648149795068E-001                  1.0000000000000000E-004                                        0                  4.9183282057086554E-003                  2.8618387312720115E+000                  5.0509025855877189E+003                  4.3915836483240668E+006                  4.5825845719411911E-004 
                                      20                                      863                  2.8485103516761501E+000                 -6.6435010730178945E-001                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.0000000000000000E+001                  0.0000000000000000E+000                  9.9999999883909496E-001                  4.9591223526829253E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999915542659E-001                  4.3656355634102384E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.0109032526091397E+000                 -9.8999999999999986E+001                 -2.0470039705150718E+001                 -5.0109032526091388E+000                 -5.0109032527890829E+000                 -1.4393550206304145E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0000000000000000E+000                  1.0000000000000000E+000                  3.7033461875918303E+000                  8.5001703844437038E-001                  5.4096930490302186E-001                  3.6571590131610705E+000                  0.0000000000000000E+000                  1.4395469557594406E+001                 -3.8031720356735238E-001                  6.6426209930895395E+000                 -5.3356688837826507E+000                  6.1223046639829071E-001                  8.5900475343228844E-001                  1.2725124258818299E+000                  7.1799999999999509E-001                  2.6797147940625970E-001                  2.4805638980559168E-003                  6.0165994388079224E-003                  7.2709734142299383E-004                  2.4805638980559173E-003                  6.0165994388079224E-003                  7.2709734142299373E-004                  1.4359999999999997E+000                  5.3594295881251930E-001                  6.2368299609538271E-013                  1.1400336790020531E+036                                        0                                        5                                        5                  3.3512725579999998E+000                  1.9310000000000000E+000                  1.9310000000000000E+000                  9.9622650147053560E-001                  1.0000000000000000E-004                                        0                  4.9183543755476743E-003                  2.8618426640931167E+000                  5.0509025756070914E+003                  4.3915819670495465E+006                  4.5825757504821120E-004 
                                      30                                      863                  5.7090440716868525E+000                 -4.5245711660240867E-001                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.0000000000000000E+001                  0.0000000000000000E+000                  9.9999999883909496E-001                  3.5776266768302306E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999915542659E-001                  2.8996936076585711E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.0108986203558556E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.0108986203558556E+000                 -5.0108986205357997E+000                 -1.4393546352836218E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0000000000000000E+000                  1.0000000000000000E+000                  3.7033462356069666E+000                  8.5001630223665892E-001                  5.4096884076889340E-001                  3.6571599414293274E+000                  0.0000000000000000E+000                  1.4395472324266944E+001                 -3.8031418831344344E-001                  6.6426207639826407E+000                 -5.3356611365123978E+000                  6.1223046665003311E-001                  8.5900475343228699E-001                  1.2725124258818352E+000                  7.1799999999999020E-001                  2.6797147940625970E-001                  2.4805638980559168E-003                  6.0165994388079224E-003                  7.2709734142299383E-004                  2.4805638980559173E-003                  6.0165994388079224E-003                  7.2709734142299373E-004                  1.4359999999999988E+000                  5.3594295881251919E-001                  6.5972186496750411E-013                  1.2059109453947137E+036                                        0                                        4                                        4                  4.9443556869999998E+000                  1.9310000000000000E+000                  1.9310000000000000E+000                  9.9622653347212564E-001                  1.0000000000000000E-004                                        0                  4.9183963071226799E-003                  2.8618447857104705E+000                  5.0509031348610379E+003                  4.3915796503232168E+006                  4.5825664552924967E-004 
                                      40                                      863                  1.0368552077927971E+001                 -2.4056412590302778E-001                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.0000000000000000E+001                  0.0000000000000000E+000                  9.9999999883909496E-001                  2.1464631076142468E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999915542659E-001                  1.4599543807467114E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.0108910728946086E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.0108910728946086E+000                 -5.0108910730745526E+000                 -1.4393538558662136E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0000000000000000E+000                  1.0000000000000000E+000                  3.7033463188217626E+000                  8.5001522189416423E-001                  5.4096813416805456E-001                  3.6571613546310049E+000                  0.0000000000000000E+000                  1.4395476960278602E+001                 -3.8030919892836851E-001                  6.6426204419006538E+000                 -5.3356485143863708E+000                  6.1223046704199902E-001                  8.5900475343228389E-001                  1.2725124258818439E+000                  7.1799999999998210E-001                  2.6797147940625965E-001                  2.4805638980559168E-003                  6.0165994388079198E-003                  7.2709734142299373E-004                  2.4805638980559168E-003                  6.0165994388079206E-003                  7.2709734142299373E-004                  1.4359999999999973E+000                  5.3594295881251919E-001                  6.3238002151670406E-013                  1.1559350881313160E+036                                        0                                        5                                        5                  6.5864878290000002E+000                  1.9310000000000000E+000                  1.9310000000000000E+000                  9.9622658494674854E-001                  1.0000000000000000E-004                                        0                  4.9184637552615379E-003                  2.8618474105376541E+000                  5.0509041039579288E+003                  4.3915763934359476E+006                  4.5825526522505955E-004 
                                      50                                      863                  1.7958399632720607E+001                 -2.8671135203646832E-002                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.0000000000000000E+001                  0.0000000000000000E+000                  9.9999999883909496E-001                  1.5204824130027200E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999915542659E-001                  8.7179128501794378E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.0108789821008655E+000                 -9.8999999999999986E+001                 -2.0771069700814699E+001                 -5.0108789821008655E+000                 -5.0108789822808095E+000                 -1.4393527459222277E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0000000000000000E+000                  1.0000000000000000E+000                  3.7033464092076853E+000                  8.5001297876554505E-001                  5.4096683183189809E-001                  3.6571639593033178E+000                  0.0000000000000000E+000                  1.4395484377500686E+001                 -3.8030115291838668E-001                  6.6426198645222465E+000                 -5.3356279589161799E+000                  6.1223046769910772E-001                  8.5900475343227967E-001                  1.2725124258818579E+000                  7.1799999999996911E-001                  2.6797147940625965E-001                  2.4805638980559168E-003                  6.0165994388079198E-003                  7.2709734142299373E-004                  2.4805638980559168E-003                  6.0165994388079206E-003                  7.2709734142299373E-004                  1.4359999999999946E+000                  5.3594295881251919E-001                  6.3220024139417539E-013                  1.1556105695776576E+036                                        0                                        5                                        5                  8.2110785590000006E+000                  1.9310000000000000E+000                  1.9310000000000000E+000                  9.9622666945760807E-001                  1.0000000000000000E-004                                        0                  4.9185744957756490E-003                  2.8618557311388417E+000                  5.0509051575030962E+003                  4.3915705550018763E+006                  4.5825251921259504E-004 
                                      60                                      863                  3.0321461532782237E+001                  1.8322185549573403E-001                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.0000000000000000E+001                  0.0000000000000000E+000                  9.9999999883909496E-001                  1.5197132140494177E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999915542659E-001                  8.7147490708978564E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.0108592813471979E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.0108592813471979E+000                 -5.0108592815271402E+000                 -1.4393509887047118E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0000000000000000E+000                  1.0000000000000000E+000                  3.7033465479445646E+000                  8.5000922841136528E-001                  5.4096467918105084E-001                  3.6571682646050125E+000                  0.0000000000000000E+000                  1.4395496414015426E+001                 -3.8028807477466597E-001                  6.6426189067690942E+000                 -5.3355944809388900E+000                  6.1223046877550957E-001                  8.5900475343227278E-001                  1.2725124258818807E+000                  7.1799999999994790E-001                  2.6797147940625959E-001                  2.4805638980559168E-003                  6.0165994388079189E-003                  7.2709734142299373E-004                  2.4805638980559168E-003                  6.0165994388079206E-003                  7.2709734142299373E-004                  1.4359999999999915E+000                  5.3594295881251919E-001                  6.3130891733812835E-013                  1.1539879768093654E+036                                        0                                        5                                        5                  9.8337971090000007E+000                  1.9310000000000000E+000                  1.9310000000000000E+000                  9.9622680731874680E-001                  1.0000000000000000E-004                                        0                  4.9187551556941662E-003                  2.8618700951034381E+000                  5.0509067749198066E+003                  4.3915608702463070E+006                  4.5824794891666595E-004 
                                      70                                      863                  5.0459586632309545E+001                  3.9511484619511505E-001                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.0000000000000000E+001                  0.0000000000000000E+000                  9.9999999883909496E-001                  1.5188436088220433E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999915542659E-001                  8.7111320967185657E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.0108271909748670E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.0108271909748670E+000                 -5.0108271911548083E+000                 -1.4393481245949003E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0000000000000000E+000                  1.0000000000000000E+000                  3.7033467744095598E+000                  8.5000312169257941E-001                  5.4096117289166690E-001                  3.6571752771837804E+000                  0.0000000000000000E+000                  1.4395516019659393E+001                 -3.8026677388000024E-001                  6.6426173481056230E+000                 -5.3355399584040644E+000                  6.1223047052817248E-001                  8.5900475343226113E-001                  1.2725124258819183E+000                  7.1799999999991315E-001                  2.6797147940625959E-001                  2.4805638980559168E-003                  6.0165994388079189E-003                  7.2709734142299373E-004                  2.4805638980559168E-003                  6.0165994388079206E-003                  7.2709734142299373E-004                  1.4359999999999862E+000                  5.3594295881251919E-001                  6.2313650787970687E-013                  1.1390601233410778E+036                                        0                                        5                                        5                  1.1458054173000001E+001                  1.9310000000000000E+000                  1.9310000000000000E+000                  9.9622703181508798E-001                  1.0000000000000000E-004                                        0                  4.9190493748568183E-003                  2.8618934616739882E+000                  5.0509094150694955E+003                  4.3915451091590542E+006                  4.5824050531110248E-004 
                                      80                                      863                  8.3262470400301538E+001                  6.0700783689449600E-001                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.0000000000000000E+001                  0.0000000000000000E+000                  9.9999999883909496E-001                  1.5120809212915706E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999915542659E-001                  8.5070441670107716E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.0107749194076661E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.0107749194076661E+000                 -5.0107749195876048E+000                 -1.4393434544906796E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0000000000000000E+000                  1.0000000000000000E+000                  3.7033471433317455E+000                  8.4999317524177764E-001                  5.4095546182189569E-001                  3.6571866993233226E+000                  0.0000000000000000E+000                  1.4395547953704977E+001                 -3.8023208230951328E-001                  6.6426148129670644E+000                 -5.3354511722665041E+000                  6.1223047338126468E-001                  8.5900475343224236E-001                  1.2725124258819791E+000                  7.1799999999985675E-001                  2.6797147940625959E-001                  2.4805638980559168E-003                  6.0165994388079189E-003                  7.2709734142299373E-004                  2.4805638980559168E-003                  6.0165994388079206E-003                  7.2709734142299373E-004                  1.4359999999999764E+000                  5.3594295881251919E-001                  6.3786185545854641E-013                  1.1659951632947272E+036                                        0                                        2                                        2                  1.3075172142000000E+001                  1.9310000000000000E+000                  1.9310000000000000E+000                  9.9622739732384680E-001                  1.0000000000000000E-004                                        0                  4.9195284762595303E-003                  2.8619315426159813E+000                  5.0509137159848597E+003                  4.3915194741502907E+006                  4.5822838045338497E-004 
