                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r23.05.1"          1.9999344735176228E+000          1.7999410261658604E+000          1.2002469190884854E+003                       "gfortran"                         "10.2.0"            "x86_64-linux-21.4.1"                       "20260321" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                              10          4.4439573587152285E+002          1.2002471009878186E+003          7.4166538851798089E+002          1.4808614547824135E+001          1.6454012935957337E+001          2.8782155529739941E+002          2.7429443650452617E+002         -2.4717220150036853E-001         -1.0000000000000000E+000          1.9999341285568644E+000          1.7999410688511177E+000         -1.4474208404979372E+001         -9.4734598049567822E+000         -1.4499784667490461E+001         -9.8999999999999986E+001         -1.5716881009151605E+001         -9.4734641404436886E+000         -9.8999999999999986E+001          1.0000000000000000E+000          9.4118530429676523E-006          3.0385476170225027E+053         -7.6660475206934353E+035          0.0000000000000000E+000         -3.6224354793594633E+026         -7.6660475170709995E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              20          5.1647019456185944E+002          1.2002471138816068E+003          7.4166539250169137E+002          1.4808614547824540E+001          1.6454012768035760E+001          2.8782155618344927E+002          2.7429443862779522E+002         -2.7384078296602193E-001         -1.0000000000000000E+000          1.9999341081465132E+000          1.7999410688511623E+000         -1.6339924006525283E+001         -9.6093619023954950E+000         -1.6365500269036374E+001         -9.8999999999999986E+001         -1.7582596610697475E+001         -9.6093619831603174E+000         -9.8999999999999986E+001          1.0000000000000000E+000          1.7533218028277193E-007          3.0385476023336163E+053         -5.6062617248683186E+035          0.0000000000000000E+000         -3.6224353176773154E+026         -5.6062617212458835E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              30          5.8352339565115221E+002          1.2002471228054160E+003          7.4166539525882388E+002          1.4808614547824545E+001          1.6454012651817315E+001          2.8782155679668824E+002          2.7429444009731066E+002         -3.0104845379846873E-001         -1.0000000000000000E+000          1.9999340940205224E+000          1.7999410688511626E+000         -1.8663445411346082E+001         -9.7345539059865374E+000         -1.8689021673857177E+001         -9.8999999999999986E+001         -1.9906118015518274E+001         -9.7345539064980944E+000         -9.8999999999999986E+001          1.0000000000000000E+000          1.1105349530927719E-009          3.0385475921674271E+053         -4.2022457147430506E+035          0.0000000000000000E+000         -3.6224352113509669E+026         -4.2022457111206155E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              40          6.5610853521022864E+002          1.2002471299059596E+003          7.4166539745263344E+002          1.4808614547824551E+001          1.6454012559343994E+001          2.8782155728463346E+002          2.7429444126658240E+002         -3.3252937354718043E-001         -1.0000000000000000E+000          1.9999340827806775E+000          1.7999410688511626E+000         -2.1780786257926071E+001         -9.8752599066349749E+000         -2.1806362520437165E+001         -9.8999999999999986E+001         -2.3023458862098266E+001         -9.8752599066355131E+000         -9.8999999999999986E+001          1.0000000000000000E+000          1.1719184354479386E-012          3.0385475840783372E+053         -3.0393131248918616E+035          0.0000000000000000E+000         -3.6224351262758911E+026         -3.0393131212694265E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              50          7.3571181858009754E+002          1.2002471354876511E+003          7.4166539917717307E+002          1.4808614547824551E+001          1.6454012486651322E+001          2.8782155766820404E+002          2.7429444218573934E+002         -3.6664187432237938E-001         -1.0000000000000000E+000          1.9999340739451084E+000          1.7999410688511626E+000         -2.5751998765431676E+001         -1.0020971729818205E+001         -2.5777575027942767E+001         -9.8999999999999986E+001         -2.6994671369603868E+001         -1.0020971729818205E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.7514457985113791E-016          3.0385475777195558E+053         -2.1730195050377901E+035          0.0000000000000000E+000         -3.6224350597310903E+026         -2.1730195014153550E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              60          8.3053666466580103E+002          1.2002471402266608E+003          7.4166540064135461E+002          1.4808614547824552E+001          1.6454012424933243E+001          2.8782155799386595E+002          2.7429444296612883E+002         -4.0195326587689933E-001         -1.0000000000000000E+000          1.9999340664434679E+000          1.7999410688511626E+000         -3.0677532446426756E+001         -1.0164722515780914E+001         -3.0703108708937847E+001         -9.8999999999999986E+001         -3.1920205050598948E+001         -1.0164722515780914E+001         -9.8999999999999986E+001          1.0000000000000000E+000          2.8947682915396556E-021          3.0385475723207766E+053         -1.5606763188880466E+035          0.0000000000000000E+000         -3.6224350037334112E+026         -1.5606763152656115E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              70          9.6820029846474404E+002          1.2002471452086759E+003          7.4166540218061584E+002          1.4808614547824552E+001          1.6454012360050399E+001          2.8782155833622704E+002          2.7429444378653500E+002         -4.3326594371311877E-001         -1.0000000000000000E+000          1.9999340585571590E+000          1.7999410688511626E+000         -3.6172909919211051E+001         -1.0291356478813920E+001         -3.6198486181722146E+001         -9.8999999999999986E+001         -3.7415582523383250E+001         -1.0291356478813920E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.2384266727137522E-026          3.0385475666451585E+053         -1.1659471890002138E+035          0.0000000000000000E+000         -3.6224349457754973E+026         -1.1659471853777789E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              80          1.2553010389507094E+003          1.2002471544091204E+003          7.4166540502321857E+002          1.4808614547824554E+001          1.6454012240229215E+001          2.8782155896847627E+002          2.7429444530160481E+002         -4.1528310624957676E-001         -1.0000000000000000E+000          1.9999340439932671E+000          1.7999410688511626E+000         -3.4247198558575299E+001         -1.0250315366213327E+001         -3.4272774821086387E+001         -9.8999999999999986E+001         -3.5489871162747491E+001         -1.0250315366213327E+001         -9.8999999999999986E+001          1.0000000000000000E+000          9.4959964836241333E-025          3.0385475561638193E+053         -1.2815040868218237E+035          0.0000000000000000E+000         -3.6224348416187216E+026         -1.2815040831993888E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              90          1.5948279407765549E+003          1.2002471692418792E+003          7.4166540960600128E+002          1.4808614547824559E+001          1.6454012047056082E+001          2.8782155998777478E+002          2.7429444774416788E+002         -3.8706051122231316E-001         -1.0000000000000000E+000          1.9999340205136726E+000          1.7999410688511626E+000         -2.9012439082406125E+001         -1.0119958979179298E+001         -2.9038015344917216E+001         -9.8999999999999986E+001         -3.0255111686578317E+001         -1.0119958979179298E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.2076570868559662E-019          3.0385475392660282E+053         -1.7301206415797053E+035          0.0000000000000000E+000         -3.6224346723744276E+026         -1.7301206379572705E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
