                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r23.05.1"          1.9986325976443591E+000          9.9931629882217954E-001          2.6399832823636543E+003                       "gfortran"                         "10.2.0"            "x86_64-linux-21.4.1"                       "20260316" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                               5          3.3615999999999997E+002          2.6403139907311956E+003          1.1591523419246946E+003          7.4042149015874079E+000          1.4807038620242359E+001          5.1002224606265372E+002          3.7185108757371773E+002         -3.6445110164661021E-001         -1.0000000000000000E+000          1.9984448358154585E+000          9.9931629901448993E-001         -1.6128096410928030E+001         -7.1012201198631644E+000         -1.6153672672162166E+001         -9.8999999999999986E+001         -1.7370769036151199E+001         -7.1012201202713969E+000         -9.8999999999999986E+001          1.0000000000000000E+000          8.8623204132063008E-010          2.3726824106154104E+053         -9.9341177829542162E+037          0.0000000000000000E+000         -2.0748904235732114E+025         -9.9341177829521421E+037          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              10          4.6223324512207563E+002          2.6403240358528074E+003          1.1591545469302246E+003          7.4042149015904775E+000          1.4806996368800414E+001          5.1002292175521796E+002          3.7185206180266397E+002         -3.8662217360788537E-001         -1.0000000000000000E+000          1.9984391333120490E+000          9.9931629901449048E-001         -1.8483313393247382E+001         -7.4705020515235931E+000         -1.8508889654481521E+001         -9.8999999999999986E+001         -1.9725986018470550E+001         -7.4705020515278102E+000         -9.8999999999999986E+001          1.0000000000000000E+000          9.1540313839559624E-012          2.3726801536756861E+053         -4.2447197869313132E+037          0.0000000000000000E+000         -2.0748550476250272E+025         -4.2447197869292382E+037          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              15          5.8853009348109390E+002          2.6403299578119290E+003          1.1591558468580959E+003          7.4042149015914127E+000          1.4806971460176616E+001          5.1002332009926039E+002          3.7185263614506761E+002         -4.0016468506710956E-001         -1.0000000000000000E+000          1.9984357714977383E+000          9.9931629901449048E-001         -1.9732781872690200E+001         -7.6403502174224371E+000         -1.9758358133924339E+001         -9.8999999999999986E+001         -2.0975454497913365E+001         -7.6403502174227880E+000         -9.8999999999999986E+001          1.0000000000000000E+000          7.6206511865630939E-013          2.3726788231313497E+053         -2.8707927049901855E+037          0.0000000000000000E+000         -2.0748383266108127E+025         -2.8707927049881105E+037          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              20          7.2383159245107629E+002          2.6403343288808501E+003          1.1591568063494979E+003          7.4042149015919270E+000          1.4806953074877383E+001          5.1002361412130563E+002          3.7185306007384924E+002         -4.1438099495076741E-001         -1.0000000000000000E+000          1.9984332901097102E+000          9.9931629901449048E-001         -2.1088608254055991E+001         -7.8078026755656520E+000         -2.1114184515290130E+001         -9.8999999999999986E+001         -2.2331280879279156E+001         -7.8078026755656751E+000         -9.8999999999999986E+001          1.0000000000000000E+000          4.9387627090840050E-014          2.3726778410417006E+053         -1.9523159159015032E+037          0.0000000000000000E+000         -2.0748256639187124E+025         -1.9523159158994284E+037          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              25          8.5283307863748064E+002          2.6403371769295491E+003          1.1591574315229882E+003          7.4042149015921428E+000          1.4806941095629330E+001          5.1002380569645783E+002          3.7185333629218229E+002         -4.2752197175020018E-001         -1.0000000000000000E+000          1.9984316733200274E+000          9.9931629901449048E-001         -2.2501153711544234E+001         -7.9639224830446018E+000         -2.2526729972778373E+001         -9.8999999999999986E+001         -2.3743826336767398E+001         -7.9639224830446027E+000         -9.8999999999999986E+001          1.0000000000000000E+000          2.7364814611121992E-015          2.3726772011440022E+053         -1.3627957037816979E+037          0.0000000000000000E+000         -2.0748174205091265E+025         -1.3627957037796231E+037          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              30          9.8157046410370833E+002          2.6403391668743811E+003          1.1591578683344076E+003          7.4042149015922520E+000          1.4806932725684778E+001          5.1002393955080674E+002          3.7185352928716497E+002         -4.4142654209776683E-001         -1.0000000000000000E+000          1.9984305436631571E+000          9.9931629901449048E-001         -2.4067713369558415E+001         -8.1227271962371184E+000         -2.4093289630792551E+001         -9.8999999999999986E+001         -2.5310385994781580E+001         -8.1227271962371184E+000         -9.8999999999999986E+001          1.0000000000000000E+000          1.0701325286621087E-016          2.3726767540447422E+053         -9.4542344933624937E+036          0.0000000000000000E+000         -2.0748116781257111E+025         -9.4542344933417460E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              35          1.1144400952937208E+003          2.6403406031468894E+003          1.1591581836094963E+003          7.4042149015923089E+000          1.4806926684557784E+001          5.1002403616213917E+002          3.7185366858416199E+002         -4.5457250647538183E-001         -1.0000000000000000E+000          1.9984297283171872E+000          9.9931629901449048E-001         -2.5688146218103981E+001         -8.2714847682576718E+000         -2.5713722479338117E+001         -9.8999999999999986E+001         -2.6930818843327145E+001         -8.2714847682576718E+000         -9.8999999999999986E+001          1.0000000000000000E+000          3.6121209908268920E-018          2.3726764313442675E+053         -6.7122640732699633E+036          0.0000000000000000E+000         -2.0748075769960904E+025         -6.7122640732492156E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              40          1.2571031694262176E+003          2.6403417174012916E+003          1.1591584281985763E+003          7.4042149015923391E+000          1.4806921997879313E+001          5.1002411111279076E+002          3.7185377665019473E+002         -4.6669125137225581E-001         -1.0000000000000000E+000          1.9984290957755457E+000          9.9931629901449048E-001         -2.7313752833677903E+001         -8.4067926921373797E+000         -2.7339329094912042E+001         -9.8999999999999986E+001         -2.8556425458901071E+001         -8.4067926921373797E+000         -9.8999999999999986E+001          1.0000000000000000E+000          1.1680558187511681E-019          2.3726761809946101E+053         -4.9154274848394216E+036          0.0000000000000000E+000         -2.0748044164190592E+025         -4.9154274848186733E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              45          1.4088995649649719E+003          2.6403426028116401E+003          1.1591586225542476E+003          7.4042149015923622E+000          1.4806918273746625E+001          5.1002417067016137E+002          3.7185386252176403E+002         -4.7805505832348527E-001         -1.0000000000000000E+000          1.9984285931447352E+000          9.9931629901449048E-001         -2.8931424737537917E+001         -8.5289697346330122E+000         -2.8957000998772056E+001         -9.8999999999999986E+001         -3.0174097362761085E+001         -8.5289697346330122E+000         -9.8999999999999986E+001          1.0000000000000000E+000          3.7322328910339390E-021          2.3726759820614660E+053         -3.7100895876907282E+036          0.0000000000000000E+000         -2.0748019073329847E+025         -3.7100895876699799E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
