                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r23.05.1"                               "gfortran"                                 "10.2.0"                    "x86_64-linux-21.4.1"                                 "CRMATH"                               "20260313"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                           he_core_radius                              he_core_lgT                            he_core_lgRho                             co_core_mass                           co_core_radius                              co_core_lgT                            co_core_lgRho                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                            envelope_mass                   envelope_fraction_left                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                        center_degeneracy                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                               center_n14                              surface_c12                              surface_o16                              surface_n14                            total_mass_h1                           total_mass_he4                                rel_E_err                                tot_E_err                              num_retries                                num_iters                    num_solver_iterations                             elapsed_time                            alpha_mlt_max                        alpha_mlt_surface                                 min_beta                               varcontrol                             last_saved_R                                 min_kapR                                 max_kapR                                    min_T                                    max_T                     quasi_adiabatic_Mdot 
                                       1                                     1900                  6.1206645516709578E+001                  1.7867985782656723E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  4.8840538077740241E-002                  9.9996961576598298E-001                  2.2161618362048480E-001                  2.3884501878219278E-002                  7.8131033648051740E-008                  9.9998064223540228E-001                  2.2152321308820530E-001                  2.3884501878219278E-002                  7.8131033648051740E-008                  3.2309837731808178E+000                  2.8188184345041032E+000                 -7.9454472634229723E-001                  3.3731242724073844E+000                 -4.8277810015275646E-001                  3.2308998147299932E+000                  2.8188184345041032E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.4044195204432873E+031                  1.0747124429772115E+032                  8.7409859051996993E+032                  8.7421251685528785E+032                  8.7648457245708349E+032                  8.7679042444414485E+032                  4.3984071039116257E-001                  2.7088694935776914E-002                  7.6771196826543040E+000                  1.8666397690800132E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5601592896088374E+000                  1.0000000000000000E+000                  3.5675991105897911E+000                  3.2368955932879784E+000                  2.0059027363289039E+000                  7.2729215030930661E-001                 -9.6814794719955002E-007                  2.2220592798262228E+001                  5.8444226572267679E+000                  8.0201434893084080E+000                  1.2742499580496201E+001                  1.3382847401976239E+000                  5.0000000000015710E-001                  4.0448961101430791E+000                  0.0000000000000000E+000                  9.8512684694317554E-001                  1.2641953911194282E-003                  3.0746814472227245E-004                  8.5256655652035541E-003                  1.9390247084679860E-003                  6.0147835494479048E-003                  1.3604819480022930E-003                  1.0965716172082915E+000                  8.7477650465210988E-001                  2.8606208633680184E-013                  4.7094132506910887E+036                                        2                                        5                                        5                  4.1310237000000000E-001                  1.9310000000000000E+000                  1.9310000000000000E+000                  8.3302570828379574E-001                  1.0000000000000000E-004                  9.6693193852633883E+001                  9.3758723821424543E-005                  8.0788936685971646E-001                  3.6948695603582037E+003                  1.0474745726528311E+008                  1.5112648605721685E-001 
                                      10                                     1805                  2.3366844237846803E+002                  1.2134284058858323E-002                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  1.1986243071499175E-001                  9.9996961576598309E-001                  2.2162699723168583E-001                  5.9289380658012703E-002                  7.8131033592540589E-008                  9.9998064223540239E-001                  2.2154099517707745E-001                  5.9289380658012703E-002                  7.8131033592540589E-008                  3.2000253077249505E+000                  5.2055855869213365E+000                  2.0045121010168727E+000                  5.2101228441088336E+000                 -4.4314990180625785E-001                  3.1999265301204614E+000                  5.2055855869213365E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.6579864723239367E+032                  2.1264667416550470E+032                  8.7411455955229663E+032                  8.7422740397562728E+032                  8.7650900791922112E+032                  8.7681522379789676E+032                  4.3984640697022304E-001                  2.7213244075345221E-002                  7.6740853412132823E+000                  1.8675352428939875E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5601535930297770E+000                  1.0000000000000000E+000                  3.5676367240109697E+000                  3.2364958708098324E+000                  2.0056276482474735E+000                  7.2784232647216729E-001                 -1.3992668707905454E-006                  2.2192934346912566E+001                  5.8191204704148776E+000                  8.0880218172774256E+000                  1.0484937019060052E+001                  1.3384864223220121E+000                  5.0000000000000000E-001                  4.0467390768313489E+000                  0.0000000000000000E+000                  9.8445154943280710E-001                  1.9367351763962760E-003                  3.0748172871766099E-004                  8.5279998030321647E-003                  1.9390247084679860E-003                  6.0147835494479048E-003                  1.3604819480022930E-003                  1.0965686867392250E+000                  8.7463141930415345E-001                  7.6768963572315602E-011                  1.2506893135027181E+039                                        6                                        5                                        5                  7.2319934970000004E+000                  1.9310000000000000E+000                  1.9310000000000000E+000                  8.3314860511706634E-001                  1.0000000000000000E-004                  9.6693193852633883E+001                  9.3841687431512062E-005                  6.1971747766303120E-001                  3.6951895798692963E+003                  1.2246777207984439E+008                  1.5096494008542177E-001 
                                      20                                     1799                  2.3638575465338033E+002                 -1.4623012542502980E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  1.8551195989364458E-001                  9.9996961576598309E-001                  2.2162742176067848E-001                  9.2165302483241340E-002                  7.8131033648051740E-008                  9.9998064223540239E-001                  2.2154333423157510E-001                  9.2165302483241340E-002                  7.8131033648051740E-008                  3.1206175324843115E+000                  6.9112238261107031E+000                  4.1628358365562397E+000                  6.9120685090666285E+000                 -4.7075544411276166E-001                  3.1205062397071188E+000                  6.9112238261107031E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5813138482105422E+032                  3.0493516261494983E+032                  8.7412268296008965E+032                  8.7423778464386540E+032                  8.7650200258611499E+032                  8.7681019003318949E+032                  4.3984640697022304E-001                  2.7497890300676741E-002                  7.6680806388615670E+000                  1.8596328892259446E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5601535930297770E+000                  1.0000000000000000E+000                  3.5676373225368141E+000                  3.2364893386347098E+000                  2.0056231851082233E+000                  7.2785125275066742E-001                 -9.6952140597580697E-007                  2.2145294496935232E+001                  5.7795363674486584E+000                  8.1459067946036168E+000                  8.6398570423985994E+000                  1.3387605923383237E+000                  5.0000000000000000E-001                  4.0492462391875508E+000                  0.0000000000000000E+000                  9.8353379547917674E-001                  2.8549755131670696E-003                  3.0947907942474530E-004                  8.5239730711937876E-003                  1.9390247084679860E-003                  6.0147835494479048E-003                  1.3604819480022930E-003                  1.0965686454408130E+000                  8.7434442105537846E-001                  1.7111524051536500E-011                  2.7305769949348805E+038                                        8                                        5                                        5                  1.3438605663000001E+001                  1.9310000000000000E+000                  1.9310000000000000E+000                  8.3318381710798062E-001                  1.0000000000000000E-004                  9.6693193852633883E+001                  9.3865468659948899E-005                  4.8575868305482772E-001                  3.6951946724230888E+003                  1.3992869846692994E+008                  1.5096230454456716E-001 
                                      30                                     1781                  2.3652601033913271E+002                 -2.6480658127472538E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  2.8256641933773069E-001                  9.9996961576598309E-001                  2.2162757186281179E-001                  1.3903168734816029E-001                  7.8131033648051740E-008                  9.9998064223540239E-001                  2.2154329616877194E-001                  1.3903168734816029E-001                  7.8131033648051740E-008                  2.8454127771871232E+000                  8.7576512410211826E+000                  6.6366637864866185E+000                  8.7609263706120490E+000                 -6.0933447908715543E-001                  2.8452603321552936E+000                  8.7576512410211826E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7814324501751857E+032                  4.2187125812376107E+032                  8.7415293874532609E+032                  8.7426851037007545E+032                  8.7646544072683232E+032                  8.7678592421549048E+032                  4.3984640697022309E-001                  2.8611666515656289E-002                  7.6469311742187598E+000                  1.8228587002065402E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5601535930297770E+000                  1.0000000000000000E+000                  3.5676374930706234E+000                  3.2364903247025905E+000                  2.0056233370745460E+000                  7.2785094881802215E-001                  6.8627296458477896E-006                  2.1996272981213849E+001                  5.6620060609731508E+000                  8.2260879603558621E+000                  5.9919740121193001E+000                  1.3394868014434629E+000                  5.0000000000000000E-001                  4.0558971550325733E+000                  0.0000000000000000E+000                  9.8110465088604148E-001                  5.2885881339389479E-003                  2.9399138004967317E-004                  8.5209138347592597E-003                  1.9390247084679860E-003                  6.0147835494479048E-003                  1.3604819480022930E-003                  1.0965686437962636E+000                  8.7339209408077190E-001                 -5.1842676298292160E-012                 -7.6965416334061750E+037                                        9                                        5                                        5                  1.9617119900999999E+001                  1.9310000000000000E+000                  1.9310000000000000E+000                  8.3334874975419193E-001                  1.0000000000000000E-004                  9.6693193852633883E+001                  9.3977006830156637E-005                  3.4247997384979967E-001                  3.6951961234103446E+003                  1.6830148980024153E+008                  1.5096264028263612E-001 
                                      40                                     1775                  2.3653835264993907E+002                 -2.9985564159162661E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  3.6512643885940499E-001                  9.9996961576598309E-001                  2.2162772199760936E-001                  1.8115547123856612E-001                  7.8131033703562891E-008                  9.9998064223540239E-001                  2.2154184406365654E-001                  1.8115547123856612E-001                  7.8131033703562891E-008                  2.2056025976129865E+000                  9.2007916723144305E+000                  7.5236853955210741E+000                  9.2098313396569349E+000                 -9.3680753431569608E-001                  2.2052896074667272E+000                  9.2007916723144305E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2575951487449510E+032                  4.6779783629898463E+032                  8.7422410418029259E+032                  8.7434718458839079E+032                  8.7632804289299411E+032                  8.7672260668912383E+032                  4.3984640697022309E-001                  3.1321615544852334E-002                  7.5982850659600922E+000                  1.7392540612889760E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5601535930297770E+000                  1.0000000000000000E+000                  3.5676376603600333E+000                  3.2364912811995068E+000                  2.0056234807441840E+000                  7.2785066147874633E-001                  1.2595292129319108E-005                  2.1714498913002210E+001                  5.4460561310684446E+000                  8.2664448375445740E+000                  3.8565648496979743E+000                  1.3405638252841021E+000                  5.0000000000000000E-001                  4.0657879463820796E+000                  0.0000000000000000E+000                  9.7751196486303404E-001                  8.8784520563765582E-003                  2.5907146822881492E-004                  8.4985768200668398E-003                  1.9390247084679860E-003                  6.0147835494479048E-003                  1.3604819480022930E-003                  1.0965686437470532E+000                  8.7165534540802092E-001                 -9.4607636358502495E-013                 -1.2113628570961753E+037                                        9                                        5                                        5                  2.5319999008000000E+001                  1.9310000000000000E+000                  1.9310000000000000E+000                  8.3374167858114256E-001                  1.0000000000000000E-004                  9.6693193852633883E+001                  9.4243623756989607E-005                  2.8907392051215125E-001                  3.6951975467931939E+003                  1.8469061929165703E+008                  1.5096296511096566E-001 
                                      50                                     1757                  2.3654781204362442E+002                 -3.0605095727307883E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  3.9091747208733618E-001                  9.9996961576598309E-001                  2.2162793206484407E-001                  1.9498505733600213E-001                  7.8131033703562891E-008                  9.9998064223540239E-001                  2.2154096920882810E-001                  1.9498505733600213E-001                  7.8131033703562891E-008                  1.7069967683936369E+000                  8.8465145005243038E+000                  7.2951356905473821E+000                  8.8585475637642173E+000                 -1.1940770611534346E+000                  1.7064510314910812E+000                  8.8465145005243038E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1313456477483982E+032                  4.5754249101276984E+032                  8.7428373714853282E+032                  8.7441016195274218E+032                  8.7565564169794388E+032                  8.7666723570405622E+032                  4.3984640697022309E-001                  3.3535019678367674E-002                  7.5612842977473278E+000                  1.6762672767621793E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5601535930297770E+000                  1.0000000000000000E+000                  3.5676379619626957E+000                  3.2364928751881479E+000                  2.0056236745331790E+000                  7.2785027390075629E-001                  2.1579129571409830E-005                  2.1528960259045594E+001                  5.3053367183825033E+000                  8.2642352807570330E+000                  3.0503583722640157E+000                  1.3411847956468337E+000                  5.0000000000000000E-001                  4.0715052924852486E+000                  1.7042020241624798E-026                  9.7544687633015059E-001                  1.0933005140625821E-002                  2.4881208650083682E-004                  8.4651064674967566E-003                  1.9390247084679860E-003                  6.0147835494479048E-003                  1.3604819480022930E-003                  1.0965686437388928E+000                  8.7061620746507851E-001                  2.1424751130783050E-012                  2.4795813647933069E+037                                        9                                        4                                        4                  3.0606481331000001E+001                  1.9310000000000000E+000                  1.9310000000000000E+000                  8.3405940003744938E-001                  1.0000000000000000E-004                  9.6693193852633883E+001                  9.4460133242262005E-005                  2.8718685873752964E-001                  3.6952001129825185E+003                  1.8375335648337969E+008                  1.5096350063146644E-001 
                                      60                                     1743                  2.3655739116096927E+002                 -2.9417301824498008E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  3.9972716093210020E-001                  9.9996961576598309E-001                  2.2162814151667196E-001                  1.9950982619030011E-001                  7.8131033703562891E-008                  9.9998064223540239E-001                  2.2154096551802399E-001                  1.9950982619030011E-001                  7.8131033703562891E-008                  1.4319059919040011E+000                  8.5659210590994910E+000                  7.0521302076882915E+000                  8.5790257172401105E+000                 -1.3368343821138540E+000                  1.4311656811808058E+000                  8.5659210590994910E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0001606013503318E+032                  4.4581297989715578E+032                  8.7431325527858099E+032                  8.7444689851882333E+032                  8.7559989827556482E+032                  8.7663526026779828E+032                  4.3984640697022309E-001                  3.4794424792334182E-002                  7.5413027167333455E+000                  1.6441119256501280E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5601535930297770E+000                  1.0000000000000000E+000                  3.5676387289431939E+000                  3.2364966612045243E+000                  2.0056240335803710E+000                  7.2784955580637156E-001                  4.1482840456342122E-005                  2.1434998222615306E+001                  5.2342734263048083E+000                  8.2584947502526287E+000                  2.7252707625448953E+000                  1.3414813219415316E+000                  5.0000000000000000E-001                  4.0742392482979026E+000                  0.0000000000000000E+000                  9.7446207785137817E-001                  1.1910993183525592E-002                  2.4550033524405556E-004                  8.4459293852330343E-003                  1.9390247084679860E-003                  6.0147835494479048E-003                  1.3604819480022930E-003                  1.0965686437354125E+000                  8.7012460412387005E-001                 -1.5279933800076845E-011                 -1.6791758233080169E+038                                        9                                        4                                        4                  3.5336824968999998E+001                  1.9310000000000000E+000                  1.9310000000000000E+000                  8.3424030799539561E-001                  1.0000000000000000E-004                  9.6693193852633883E+001                  9.4583782759101635E-005                  2.9278012336548226E-001                  3.6952066388515218E+003                  1.8134047553196946E+008                  1.5096475940700019E-001 
                                      70                                     1731                  2.3657173975531214E+002                 -2.7366699575246547E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  4.0470350213007950E-001                  9.9996961576598309E-001                  2.2162844704570306E-001                  2.0207097281770903E-001                  7.8131033703562891E-008                  9.9998064223540239E-001                  2.2154158065389309E-001                  2.0207097281770903E-001                  7.8131033703562891E-008                  1.1941098945889050E+000                  8.2938656687149752E+000                  6.8010344170689709E+000                  8.3076081381507869E+000                 -1.4600929831905305E+000                  1.1931459250087353E+000                  8.2938656687149752E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8724901991320146E+032                  4.3316971128876304E+032                  8.7434105497232820E+032                  8.7447793852026430E+032                  8.7555142289894945E+032                  8.7660778366852233E+032                  4.3984640697022309E-001                  3.5902580232494326E-002                  7.5242798176500054E+000                  1.6151240660866477E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5601535930297770E+000                  1.0000000000000000E+000                  3.5676456386566686E+000                  3.2365276019196476E+000                  2.0056256845109828E+000                  7.2784625394514846E-001                  1.7849744258129001E-004                  2.1357352500704838E+001                  5.1756145635308419E+000                  8.2520197000137543E+000                  2.4858866548100704E+000                  1.3417253473529751E+000                  5.0000000000000000E-001                  4.0764909964486344E+000                  0.0000000000000000E+000                  9.7365215540521943E-001                  1.2714601720547206E-002                  2.4365685792897412E-004                  8.4292851658852256E-003                  1.9390247084679860E-003                  6.0147835494479048E-003                  1.3604819480022930E-003                  1.0965686437325062E+000                  8.6973572858355119E-001                  4.1645960982497824E-012                  4.3839860450824183E+037                                        9                                        4                                        4                  4.0014591692000003E+001                  1.9310000000000000E+000                  1.9310000000000000E+000                  8.3440077283616387E-001                  1.0000000000000000E-004                  9.6693193852633883E+001                  9.4693685413546106E-005                  2.9568910650971253E-001                  3.6952654308081110E+003                  1.7865686134778729E+008                  1.5097487236328200E-001 
                                      80                                     1715                  2.3659611309363055E+002                 -2.5532259047395720E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  4.0906384732569223E-001                  9.9996961576598309E-001                  2.2162895251366890E-001                  2.0420511316232737E-001                  7.8131033703562891E-008                  9.9998064223540239E-001                  2.2154328814273569E-001                  2.0420511316232737E-001                  7.8131033703562891E-008                  9.6435205289056747E-001                  8.0117472000965329E+000                  6.5312263997196416E+000                  8.0258784284892499E+000                 -1.5784394640777393E+000                  9.6310577243165074E-001                  8.0117472000965329E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7104020551887984E+032                  4.1950141188748616E+032                  8.7437029158547742E+032                  8.7450691487207677E+032                  8.7550416318303545E+032                  8.7657716801019912E+032                  4.3984640697022309E-001                  3.6987630731731183E-002                  7.5081053725432412E+000                  1.5876241795182324E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5601535930297770E+000                  1.0000000000000000E+000                  3.5676426146249978E+000                  3.2365599326458803E+000                  2.0056478979374415E+000                  7.2780182709223096E-001                  1.0105144834424667E-003                  2.1285155070223620E+001                  5.1211111652068579E+000                  8.2448157150391328E+000                  2.2825269183595309E+000                  1.3419401424520907E+000                  4.9999999999999994E-001                  4.0784744033847753E+000                  0.0000000000000000E+000                  9.7293961680577168E-001                  1.3421327709243642E-002                  2.4208287400155076E-004                  8.4140433675247480E-003                  1.9390247084679860E-003                  6.0147835494479048E-003                  1.3604819480022930E-003                  1.0965686437296218E+000                  8.6938788893469032E-001                 -1.2011678827283658E-011                 -1.2146989078277839E+038                                        9                                        3                                        3                  4.4345496163999996E+001                  1.9310000000000000E+000                  1.9310000000000000E+000                  8.3455955728730358E-001                  1.0000000000000000E-004                  9.6693193852633883E+001                  9.4802761958480460E-005                  3.0137501832277802E-001                  3.6952397004302384E+003                  1.7571778293019786E+008                  1.5098837078608698E-001 
