                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r23.05.1"                               "gfortran"                                 "10.2.0"                    "x86_64-linux-21.4.1"                                 "CRMATH"                               "20260312"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                           he_core_radius                              he_core_lgT                            he_core_lgRho                             co_core_mass                           co_core_radius                              co_core_lgT                            co_core_lgRho                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                            envelope_mass                   envelope_fraction_left                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                        center_degeneracy                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                               center_n14                              surface_c12                              surface_o16                              surface_n14                            total_mass_h1                           total_mass_he4                                rel_E_err                                tot_E_err                              num_retries                                num_iters                    num_solver_iterations                             elapsed_time                            alpha_mlt_max                        alpha_mlt_surface                                 min_beta                               varcontrol                             last_saved_R                                 min_kapR                                 max_kapR                                    min_T                                    max_T                     quasi_adiabatic_Mdot 
                                       1                                      868                  1.0000000000000001E-001                 -9.9999999999999989E-001                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.0000000000000000E+001                  0.0000000000000000E+000                  9.9999999995150002E-001                  5.0852951331292169E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999997650002E-001                  7.8131147071211493E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9970215535657951E+000                 -9.8999999999999986E+001                 -2.0771069700814699E+001                 -4.9970215535657951E+000                 -4.9970215537588079E+000                 -1.4349221207914365E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0000000000000000E+000                  1.0000000000000000E+000                  3.7002623842793043E+000                  8.3477054667133210E-001                  5.3951366564155434E-001                  3.6600702916840056E+000                  0.0000000000000000E+000                  1.4401391319286494E+001                 -3.7589298887862627E-001                  6.6441171325942534E+000                 -5.3306441842522529E+000                  6.1223004701184613E-001                  8.5900475343229010E-001                  1.2725124258818248E+000                  7.1799999999999975E-001                  2.6797147940625965E-001                  2.4805638980559168E-003                  6.0165994388079224E-003                  7.2709734142299373E-004                  2.4805638980559164E-003                  6.0165994388079232E-003                  7.2709734142299373E-004                  1.4360000000000011E+000                  5.3594295881251941E-001                  6.2666074317638872E-013                  1.1494447170581475E+036                                        0                                       21                                       21                  6.3596053799999996E-001                  1.9310000000000000E+000                  1.9310000000000000E+000                  9.9622595580627060E-001                  1.0000000000000000E-004                                        0                  4.9176273254962332E-003                  2.8737287875672037E+000                  5.0153530528168421E+003                  4.4067370059926249E+006                  4.6376549572786592E-004 
                                      10                                      860                  1.0923907887613282E+000                 -8.7624309800117040E-001                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.0000000000000000E+001                  0.0000000000000000E+000                  9.9999999883914159E-001                  7.1896067452938828E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999913112847E-001                  6.8431316532364084E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9970202773893000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9970202773893000E+000                 -4.9970202775823118E+000                 -1.4349221220016556E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0000000000000000E+000                  1.0000000000000000E+000                  3.7002070637437630E+000                  8.3454643933353123E-001                  5.3951225304373707E-001                  3.6600731168796399E+000                  0.0000000000000000E+000                  1.4401392167312853E+001                 -3.7589200848451754E-001                  6.6441170073863001E+000                 -5.3306414896852372E+000                  6.1223004711468876E-001                  8.5900475343228966E-001                  1.2725124258818268E+000                  7.1799999999999808E-001                  2.6797147940625970E-001                  2.4805638980559168E-003                  6.0165994388079241E-003                  7.2709734142299383E-004                  2.4805638980559155E-003                  6.0165994388079232E-003                  7.2709734142299373E-004                  1.4360000000000004E+000                  5.3594295881251941E-001                  6.2312200789001079E-013                  1.1429543459849789E+036                                        0                                        2                                        2                  2.2964414899999999E+000                  1.9310000000000000E+000                  1.9310000000000000E+000                  9.9622596752790804E-001                  1.0000000000000000E-004                                        0                  4.9176426800579881E-003                  2.8739656203917185E+000                  5.0145360779775147E+003                  4.4067357355218520E+006                  4.4217645000205739E-004 
                                      20                                      860                  2.8485103516761501E+000                 -6.6435010730178945E-001                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.0000000000000000E+001                  0.0000000000000000E+000                  9.9999999883914159E-001                  6.3516008298677984E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999913112847E-001                  5.9173207738531863E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9970178633979119E+000                 -9.8999999999999986E+001                 -2.0293948446095037E+001                 -4.9970178633979119E+000                 -4.9970178635909228E+000                 -1.4349220701936524E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0000000000000000E+000                  1.0000000000000000E+000                  3.7002070020870188E+000                  8.3454518286950174E-001                  5.3951174812520986E-001                  3.6600741267166943E+000                  0.0000000000000000E+000                  1.4401393713709458E+001                 -3.7589024605290766E-001                  6.6441168038694469E+000                 -5.3306367203809524E+000                  6.1223004729033914E-001                  8.5900475343228844E-001                  1.2725124258818303E+000                  7.1799999999999498E-001                  2.6797147940625970E-001                  2.4805638980559168E-003                  6.0165994388079224E-003                  7.2709734142299383E-004                  2.4805638980559155E-003                  6.0165994388079232E-003                  7.2709734142299373E-004                  1.4360000000000004E+000                  5.3594295881251941E-001                  6.5567528010513366E-013                  1.2026657598581294E+036                                        0                                        2                                        2                  4.1495347610000000E+000                  1.9310000000000000E+000                  1.9310000000000000E+000                  9.9622598804035767E-001                  1.0000000000000000E-004                                        0                  4.9176695500984030E-003                  2.8739741864355466E+000                  5.0145353669641863E+003                  4.4067336704604281E+006                  4.4217510350988914E-004 
                                      30                                      860                  5.7090440716868525E+000                 -4.5245711660240867E-001                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.0000000000000000E+001                  0.0000000000000000E+000                  9.9999999883914159E-001                  5.4202603314047915E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999913112847E-001                  4.8878503599242140E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9970137112191741E+000                 -9.8999999999999986E+001                 -2.0771069700814699E+001                 -4.9970137112191741E+000                 -4.9970137114121842E+000                 -1.4349219032613238E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0000000000000000E+000                  1.0000000000000000E+000                  3.7002070103990672E+000                  8.3454405286219635E-001                  5.3951116649745989E-001                  3.6600752899721947E+000                  0.0000000000000000E+000                  1.4401396302592284E+001                 -3.7588733312679162E-001                  6.6441164999844951E+000                 -5.3306289501840425E+000                  6.1223004756675437E-001                  8.5900475343228666E-001                  1.2725124258818357E+000                  7.1799999999998976E-001                  2.6797147940625965E-001                  2.4805638980559168E-003                  6.0165994388079189E-003                  7.2709734142299373E-004                  2.4805638980559155E-003                  6.0165994388079232E-003                  7.2709734142299373E-004                  1.4359999999999997E+000                  5.3594295881251941E-001                  6.8645893481745456E-013                  1.2591319881946957E+036                                        0                                        2                                        2                  6.0259379890000000E+000                  1.9310000000000000E+000                  1.9310000000000000E+000                  9.9622602110058345E-001                  1.0000000000000000E-004                                        0                  4.9177128573679799E-003                  2.8739796335920844E+000                  5.0145354640110208E+003                  4.4067305869775917E+006                  4.4217378737298243E-004 
                                      40                                      860                  1.0368552077927971E+001                 -2.4056412590302778E-001                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.0000000000000000E+001                  0.0000000000000000E+000                  9.9999999883914159E-001                  4.3233481984910271E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999913112847E-001                  3.7071987186046229E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9970066182831054E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9970066182831054E+000                 -4.9970066184761137E+000                 -1.4349214784271798E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0000000000000000E+000                  1.0000000000000000E+000                  3.7002070926903659E+000                  8.3454291589086760E-001                  5.3951043342919880E-001                  3.6600767561087166E+000                  0.0000000000000000E+000                  1.4401400649195152E+001                 -3.7588251030959968E-001                  6.6441160561748926E+000                 -5.3306162907224088E+000                  6.1223004799902525E-001                  8.5900475343228389E-001                  1.2725124258818448E+000                  7.1799999999998154E-001                  2.6797147940625970E-001                  2.4805638980559168E-003                  6.0165994388079198E-003                  7.2709734142299383E-004                  2.4805638980559155E-003                  6.0165994388079232E-003                  7.2709734142299373E-004                  1.4359999999999984E+000                  5.3594295881251930E-001                  8.2180285238462662E-013                  1.5073886817433921E+036                                        0                                        2                                        2                  7.9117457320000000E+000                  1.9310000000000000E+000                  1.9310000000000000E+000                  9.9622607429844323E-001                  1.0000000000000000E-004                                        0                  4.9177825451728356E-003                  2.8739825053080694E+000                  5.0145364155637117E+003                  4.4067260837006010E+006                  4.4217234119751421E-004 
                                      50                                      860                  1.7958399632720607E+001                 -2.8671135203646832E-002                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.0000000000000000E+001                  0.0000000000000000E+000                  9.9999999883914159E-001                  3.4197576956729620E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999913112847E-001                  2.7231320617257559E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9969949627522707E+000                 -9.8999999999999986E+001                 -2.0771069700814699E+001                 -4.9969949627522707E+000                 -4.9969949629452772E+000                 -1.4349206633801282E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0000000000000000E+000                  1.0000000000000000E+000                  3.7002072108852526E+000                  8.3454103451458739E-001                  5.3950925635128510E-001                  3.6600791102645438E+000                  0.0000000000000000E+000                  1.4401407833433023E+001                 -3.7587459199651274E-001                  6.6441153745333299E+000                 -5.3305956686444134E+000                  6.1223004868863207E-001                  8.5900475343227922E-001                  1.2725124258818592E+000                  7.1799999999996811E-001                  2.6797147940625970E-001                  2.4805638980559168E-003                  6.0165994388079198E-003                  7.2709734142299383E-004                  2.4805638980559155E-003                  6.0165994388079224E-003                  7.2709734142299351E-004                  1.4359999999999957E+000                  5.3594295881251930E-001                  8.3099996033160496E-013                  1.5242636465336303E+036                                        0                                        2                                        2                  9.8205310949999998E+000                  1.9310000000000000E+000                  1.9310000000000000E+000                  9.9622616042021817E-001                  1.0000000000000000E-004                                        0                  4.9178953663135553E-003                  2.8739878864085093E+000                  5.0145377825060532E+003                  4.4067191671832995E+006                  4.4216997782466262E-004 
                                      60                                      860                  3.0321461532782237E+001                  1.8322185549573403E-001                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.0000000000000000E+001                  0.0000000000000000E+000                  9.9999999883914159E-001                  2.7735899427727950E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999913112847E-001                  2.0629572533092871E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9969760684904276E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9969760684904276E+000                 -4.9969760686834324E+000                 -1.4349192500650545E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0000000000000000E+000                  1.0000000000000000E+000                  3.7002073745360953E+000                  8.3453777991801414E-001                  5.3950730175131434E-001                  3.6600830194644853E+000                  0.0000000000000000E+000                  1.4401419607996631E+001                 -3.7586165105249247E-001                  6.6441142933076858E+000                 -5.3305620793542445E+000                  6.1223004980164608E-001                  8.5900475343227245E-001                  1.2725124258818832E+000                  7.1799999999994624E-001                  2.6797147940625970E-001                  2.4805638980559168E-003                  6.0165994388079198E-003                  7.2709734142299383E-004                  2.4805638980559155E-003                  6.0165994388079180E-003                  7.2709734142299340E-004                  1.4359999999999915E+000                  5.3594295881251930E-001                  8.5771032524603865E-013                  1.5732659481360528E+036                                        0                                        2                                        2                  1.1732690942000000E+001                  1.9310000000000000E+000                  1.9310000000000000E+000                  9.9622630031533344E-001                  1.0000000000000000E-004                                        0                  4.9180786423136053E-003                  2.8739985999048736E+000                  5.0145396757510835E+003                  4.4067081961670155E+006                  4.4216595675528302E-004 
                                      70                                      860                  5.0459586632309545E+001                  3.9511484619511505E-001                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.0000000000000000E+001                  0.0000000000000000E+000                  9.9999999883914159E-001                  2.1129323164336677E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999913112847E-001                  1.4164240294631020E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9969454587851008E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9969454587851017E+000                 -4.9969454589781028E+000                 -1.4349167853544978E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0000000000000000E+000                  1.0000000000000000E+000                  3.7002076411245630E+000                  8.3453252898483621E-001                  5.3950414310778971E-001                  3.6600893367515348E+000                  0.0000000000000000E+000                  1.4401438926360273E+001                 -3.7584048968288197E-001                  6.6441125885102901E+000                 -5.3305073722189622E+000                  6.1223005159464705E-001                  8.5900475343226013E-001                  1.2725124258819214E+000                  7.1799999999991049E-001                  2.6797147940625970E-001                  2.4805638980559168E-003                  6.0165994388079189E-003                  7.2709734142299383E-004                  2.4805638980559155E-003                  6.0165994388079180E-003                  7.2709734142299340E-004                  1.4359999999999868E+000                  5.3594295881251930E-001                  8.2444181116529178E-013                  1.5122564600482685E+036                                        0                                        2                                        2                  1.3653512471999999E+001                  1.9310000000000000E+000                  1.9310000000000000E+000                  9.9622652742461615E-001                  1.0000000000000000E-004                                        0                  4.9183762057817939E-003                  2.8740158759860885E+000                  5.0145427598168453E+003                  4.4066908979276111E+006                  4.4215946503435474E-004 
                                      80                                      860                  8.3262470400301538E+001                  6.0700783689449600E-001                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.0000000000000000E+001                  0.0000000000000000E+000                  9.9999999883914159E-001                  1.5580558081072546E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999913112847E-001                  9.0737363808197316E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9968958879074394E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9968958879074394E+000                 -4.9968958881004362E+000                 -1.4349129659868256E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0000000000000000E+000                  1.0000000000000000E+000                  3.7002080235649455E+000                  8.3452340084391863E-001                  5.3949881415656498E-001                  3.6600999946539843E+000                  0.0000000000000000E+000                  1.4401470228412023E+001                 -3.7580612425692661E-001                  6.6441097507049447E+000                 -5.3304182896965706E+000                  6.1223005453615564E-001                  8.5900475343224070E-001                  1.2725124258819844E+000                  7.1799999999985209E-001                  2.6797147940625976E-001                  2.4805638980559181E-003                  6.0165994388079215E-003                  7.2709734142299394E-004                  2.4805638980559155E-003                  6.0165994388079172E-003                  7.2709734142299340E-004                  1.4359999999999775E+000                  5.3594295881251930E-001                  6.1867606518355202E-013                  1.1348413821435183E+036                                        0                                        2                                        2                  1.5591553881999999E+001                  1.9310000000000000E+000                  1.9310000000000000E+000                  9.9622689800969078E-001                  1.0000000000000000E-004                                        0                  4.9188618317713723E-003                  2.8740487594536273E+000                  5.0145471856009444E+003                  4.4066621034329822E+006                  4.4214831365336886E-004 
