                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r23.05.1"          1.9999383045207220E+000          1.4999537283905415E+000          1.4451977914767533E+003                       "gfortran"                         "10.2.0"            "x86_64-linux-21.4.1"                       "20260315" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                               5          3.3615999999999997E+002          1.4451981732209551E+003          8.1672200431036435E+002          1.2253446361416326E+001          1.6337924702309014E+001          3.3000002694242124E+002          2.8936723158710271E+002         -2.6450736313041640E-001         -1.0000000000000000E+000          1.9999378420307510E+000          1.4999537285189661E+000         -1.4323167027505486E+001         -8.9562109915191375E+000         -1.4348743288733818E+001         -9.8999999999999986E+001         -1.5565839652824362E+001         -8.9562128571649957E+000         -9.8999999999999986E+001          1.0000000000000000E+000          4.0501182446770928E-006          2.7687065133118830E+053         -2.0795389632995433E+036          0.0000000000000000E+000         -1.7228688555462462E+026         -2.0795389631272564E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              10          4.4744584975124116E+002          1.4451982464725506E+003          8.1672202500862534E+002          1.2253446361416886E+001          1.6337923977714443E+001          3.3000003211591132E+002          2.8936724198066617E+002         -2.9942232591974677E-001         -1.0000000000000000E+000          1.9999377533325571E+000          1.4999537285190203E+000         -1.6604068227794727E+001         -9.2077325556881728E+000         -1.6629644489023068E+001         -9.8999999999999986E+001         -1.7846740853113459E+001         -9.2077325731242450E+000         -9.8999999999999986E+001          1.0000000000000000E+000          3.7851933346050773E-008          2.7687064606861413E+053         -1.1653253126786654E+036          0.0000000000000000E+000         -1.7228684424821488E+026         -1.1653253125063785E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              15          4.9471901178386446E+002          1.4451982671477340E+003          8.1672203085068804E+002          1.2253446361416882E+001          1.6337923773198632E+001          3.3000003357612547E+002          2.8936724491423678E+002         -3.1669069275822986E-001         -1.0000000000000000E+000          1.9999377282976207E+000          1.4999537285190203E+000         -1.8207336253802147E+001         -9.3198511494595895E+000         -1.8232912515030488E+001         -9.8999999999999986E+001         -1.9450008879120880E+001         -9.3198511500223180E+000         -9.8999999999999986E+001          1.0000000000000000E+000          1.2216270327427459E-009          2.7687064458325936E+053         -9.0017844145676699E+035          0.0000000000000000E+000         -1.7228683393383975E+026         -9.0017844128448016E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              20          5.3644122140551815E+002          1.4451982816495856E+003          8.1672203494838936E+002          1.2253446361416879E+001          1.6337923629748484E+001          3.3000003460033923E+002          2.8936724697188271E+002         -3.3315510389774777E-001         -1.0000000000000000E+000          1.9999377107377792E+000          1.4999537285190203E+000         -1.9724031265810833E+001         -9.4150603057242748E+000         -1.9749607527039174E+001         -9.8999999999999986E+001         -2.0966703891129569E+001         -9.4150603057455946E+000         -9.8999999999999986E+001          1.0000000000000000E+000          4.6286333340398618E-011          2.7687064354141147E+053         -7.2296863482051833E+035          0.0000000000000000E+000         -1.7228682723019099E+026         -7.2296863464823149E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              25          5.7770251174011855E+002          1.4451982931444386E+003          8.1672203819642107E+002          1.2253446361416882E+001          1.6337923516043116E+001          3.3000003541217956E+002          2.8936724860287012E+002         -3.5027326561161204E-001         -1.0000000000000000E+000          1.9999376968190181E+000          1.4999537285190203E+000         -2.1435030733871368E+001         -9.5114820331374563E+000         -2.1460606995099706E+001         -9.8999999999999986E+001         -2.2677703359190097E+001         -9.5114820331379750E+000         -9.8999999999999986E+001          1.0000000000000000E+000          1.1242814316840933E-012          2.7687064271559355E+053         -5.7902555619242796E+035          0.0000000000000000E+000         -1.7228682194483701E+026         -5.7902555602014113E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              30          6.1961632498483118E+002          1.4451983024731369E+003          8.1672204083237534E+002          1.2253446361416888E+001          1.6337923423765027E+001          3.3000003607103196E+002          2.8936724992650494E+002         -3.6808675407180208E-001         -1.0000000000000000E+000          1.9999376855231861E+000          1.4999537285190203E+000         -2.3379010068689947E+001         -9.6094261872297775E+000         -2.3404586329918285E+001         -9.8999999999999986E+001         -2.4621682694008680E+001         -9.6094261872297846E+000         -9.8999999999999986E+001          1.0000000000000000E+000          1.6026543154938144E-014          2.7687064204539727E+053         -4.6211874065914277E+035          0.0000000000000000E+000         -1.7228681766635703E+026         -4.6211874048685594E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              35          6.6342717615699473E+002          1.4451983102390652E+003          8.1672204302674709E+002          1.2253446361416886E+001          1.6337923346945633E+001          3.3000003661951172E+002          2.8936725102840091E+002         -3.8651940539293816E-001         -1.0000000000000000E+000          1.9999376761196648E+000          1.4999537285190203E+000         -2.5588999284519378E+001         -9.7081631011485339E+000         -2.5614575545747716E+001         -9.8999999999999986E+001         -2.6831671909838111E+001         -9.7081631011485356E+000         -9.8999999999999986E+001          1.0000000000000000E+000          1.2404736840714251E-016          2.7687064148747430E+053         -3.6814310388225787E+035          0.0000000000000000E+000         -1.7228681412024917E+026         -3.6814310370997103E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              40          7.1108621131490293E+002          1.4451983169595810E+003          8.1672204492572291E+002          1.2253446361416888E+001          1.6337923280467294E+001          3.3000003709415762E+002          2.8936725198196478E+002         -4.0557557378468084E-001         -1.0000000000000000E+000          1.9999376679820011E+000          1.4999537285190203E+000         -2.8110238009671789E+001         -9.8074607926660420E+000         -2.8135814270900131E+001         -9.8999999999999986E+001         -2.9352910634990522E+001         -9.8074607926660420E+000         -9.8999999999999986E+001          1.0000000000000000E+000          4.6951181094655213E-019          2.7687064100465628E+053         -2.9289973595193602E+035          0.0000000000000000E+000         -1.7228681106533005E+026         -2.9289973577964922E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              45          7.6394836819258626E+002          1.4451983229041084E+003          8.1672204660543264E+002          1.2253446361416886E+001          1.6337923221664926E+001          3.3000003751399839E+002          2.8936725282542488E+002         -4.2445084259635651E-001         -1.0000000000000000E+000          1.9999376607839581E+000          1.4999537285190203E+000         -3.0918024943957708E+001         -9.9041670069024050E+000         -3.0943601205186049E+001         -9.8999999999999986E+001         -3.2160697569276437E+001         -9.9041670069024050E+000         -9.8999999999999986E+001          1.0000000000000000E+000          9.1319978741108781E-022          2.7687064057758715E+053         -2.3442977340844400E+035          0.0000000000000000E+000         -1.7228680836788543E+026         -2.3442977323615720E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
